experiment,weight_m,weight_n,mem_m,mem_n,rounding,overflow,acc,total_bits
mem_only,,,0.0,0.0,nearest,saturate,9.8,1
mem_only,,,0.0,0.0,nearest,wrap,9.8,1
mem_only,,,0.0,0.0,stochastic,saturate,9.8,1
mem_only,,,0.0,0.0,stochastic,wrap,9.8,1
mem_only,,,0.0,0.0,floor,saturate,9.8,1
mem_only,,,0.0,0.0,floor,wrap,9.8,1
mem_only,,,0.0,0.0,ceil,saturate,9.8,1
mem_only,,,0.0,0.0,ceil,wrap,9.8,1
mem_only,,,0.0,0.0,trunc,saturate,9.8,1
mem_only,,,0.0,0.0,trunc,wrap,9.8,1
mem_only,,,0.0,1.0,nearest,saturate,9.8,2
mem_only,,,0.0,1.0,nearest,wrap,9.8,2
mem_only,,,0.0,1.0,stochastic,saturate,9.8,2
mem_only,,,0.0,1.0,stochastic,wrap,9.8,2
mem_only,,,0.0,1.0,floor,saturate,9.8,2
mem_only,,,0.0,1.0,floor,wrap,9.8,2
mem_only,,,0.0,1.0,ceil,saturate,9.8,2
mem_only,,,0.0,1.0,ceil,wrap,9.8,2
mem_only,,,0.0,1.0,trunc,saturate,9.8,2
mem_only,,,0.0,1.0,trunc,wrap,9.8,2
mem_only,,,0.0,2.0,nearest,saturate,98.56,3
mem_only,,,0.0,2.0,nearest,wrap,9.97,3
mem_only,,,0.0,2.0,stochastic,saturate,98.54,3
mem_only,,,0.0,2.0,stochastic,wrap,9.92,3
mem_only,,,0.0,2.0,floor,saturate,98.53,3
mem_only,,,0.0,2.0,floor,wrap,9.71,3
mem_only,,,0.0,2.0,ceil,saturate,98.52,3
mem_only,,,0.0,2.0,ceil,wrap,10.9,3
mem_only,,,0.0,2.0,trunc,saturate,98.61,3
mem_only,,,0.0,2.0,trunc,wrap,10.21,3
mem_only,,,0.0,3.0,nearest,saturate,98.56,4
mem_only,,,0.0,3.0,nearest,wrap,9.87,4
mem_only,,,0.0,3.0,stochastic,saturate,98.55,4
mem_only,,,0.0,3.0,stochastic,wrap,10.13,4
mem_only,,,0.0,3.0,floor,saturate,98.57,4
mem_only,,,0.0,3.0,floor,wrap,9.94,4
mem_only,,,0.0,3.0,ceil,saturate,98.53,4
mem_only,,,0.0,3.0,ceil,wrap,9.95,4
mem_only,,,0.0,3.0,trunc,saturate,98.57,4
mem_only,,,0.0,3.0,trunc,wrap,9.9,4
mem_only,,,0.0,4.0,nearest,saturate,98.54,5
mem_only,,,0.0,4.0,nearest,wrap,10.42,5
mem_only,,,0.0,4.0,stochastic,saturate,98.52,5
mem_only,,,0.0,4.0,stochastic,wrap,9.98,5
mem_only,,,0.0,4.0,floor,saturate,98.58,5
mem_only,,,0.0,4.0,floor,wrap,9.97,5
mem_only,,,0.0,4.0,ceil,saturate,98.55,5
mem_only,,,0.0,4.0,ceil,wrap,9.7,5
mem_only,,,0.0,4.0,trunc,saturate,98.51,5
mem_only,,,0.0,4.0,trunc,wrap,10.41,5
mem_only,,,0.0,5.0,nearest,saturate,98.62,6
mem_only,,,0.0,5.0,nearest,wrap,10.23,6
mem_only,,,0.0,5.0,stochastic,saturate,98.55,6
mem_only,,,0.0,5.0,stochastic,wrap,9.67,6
mem_only,,,0.0,5.0,floor,saturate,98.57,6
mem_only,,,0.0,5.0,floor,wrap,10.02,6
mem_only,,,0.0,5.0,ceil,saturate,98.53,6
