experiment,weight_m,weight_n,mem_m,mem_n,rounding,overflow,acc,total_bits
mem_only,,,0,0,nearest,saturate,9.8,1
mem_only,,,0,0,nearest,wrap,9.8,1
mem_only,,,0,0,stochastic,saturate,9.8,1
mem_only,,,0,0,stochastic,wrap,9.8,1
mem_only,,,0,0,floor,saturate,9.8,1
mem_only,,,0,0,floor,wrap,9.8,1
mem_only,,,0,0,ceil,saturate,9.8,1
mem_only,,,0,0,ceil,wrap,9.8,1
mem_only,,,0,0,trunc,saturate,9.8,1
mem_only,,,0,0,trunc,wrap,9.8,1
mem_only,,,0,1,nearest,saturate,9.8,2
mem_only,,,0,1,nearest,wrap,9.8,2
mem_only,,,0,1,stochastic,saturate,9.8,2
mem_only,,,0,1,stochastic,wrap,9.8,2
mem_only,,,0,1,floor,saturate,9.8,2
mem_only,,,0,1,floor,wrap,9.8,2
mem_only,,,0,1,ceil,saturate,9.8,2
mem_only,,,0,1,ceil,wrap,9.8,2
mem_only,,,0,1,trunc,saturate,9.8,2
mem_only,,,0,1,trunc,wrap,9.8,2
mem_only,,,0,2,nearest,saturate,98.56,3
mem_only,,,0,2,nearest,wrap,10.46,3
mem_only,,,0,2,stochastic,saturate,98.54,3
mem_only,,,0,2,stochastic,wrap,9.88,3
mem_only,,,0,2,floor,saturate,98.55,3
mem_only,,,0,2,floor,wrap,9.78,3
mem_only,,,0,2,ceil,saturate,98.52,3
mem_only,,,0,2,ceil,wrap,10.21,3
mem_only,,,0,2,trunc,saturate,98.56,3
mem_only,,,0,2,trunc,wrap,10.04,3
mem_only,,,0,3,nearest,saturate,98.54,4
mem_only,,,0,3,nearest,wrap,9.94,4
mem_only,,,0,3,stochastic,saturate,98.48,4
mem_only,,,0,3,stochastic,wrap,9.95,4
mem_only,,,0,3,floor,saturate,98.5,4
mem_only,,,0,3,floor,wrap,9.66,4
mem_only,,,0,3,ceil,saturate,98.5,4
mem_only,,,0,3,ceil,wrap,9.95,4
mem_only,,,0,3,trunc,saturate,98.58,4
mem_only,,,0,3,trunc,wrap,9.96,4
mem_only,,,1,0,nearest,saturate,98.52,2
mem_only,,,1,0,nearest,wrap,10.69,2
mem_only,,,1,0,stochastic,saturate,98.53,2
mem_only,,,1,0,stochastic,wrap,11.05,2
mem_only,,,1,0,floor,saturate,98.34,2
mem_only,,,1,0,floor,wrap,10.68,2
mem_only,,,1,0,ceil,saturate,98.24,2
mem_only,,,1,0,ceil,wrap,10.23,2
mem_only,,,1,0,trunc,saturate,98.38,2
mem_only,,,1,0,trunc,wrap,9.57,2
mem_only,,,1,1,nearest,saturate,98.52,3
mem_only,,,1,1,nearest,wrap,10.03,3
mem_only,,,1,1,stochastic,saturate,98.57,3
mem_only,,,1,1,stochastic,wrap,10.0,3
mem_only,,,1,1,floor,saturate,98.38,3
mem_only,,,1,1,floor,wrap,9.96,3
mem_only,,,1,1,ceil,saturate,98.52,3
mem_only,,,1,1,ceil,wrap,9.59,3
mem_only,,,1,1,trunc,saturate,98.36,3
mem_only,,,1,1,trunc,wrap,9.57,3
mem_only,,,1,2,nearest,saturate,98.6,4
mem_only,,,1,2,nearest,wrap,9.58,4
mem_only,,,1,2,stochastic,saturate,98.53,4
