m,n,rounding,overflow,acc,total_bits,format
,,none,none,98.47,,TI
0.0,0.0,nearest,saturate,9.8,1.0,TI
0.0,0.0,nearest,wrap,9.8,1.0,TI
0.0,0.0,ceil,saturate,9.8,1.0,TI
0.0,0.0,ceil,wrap,9.8,1.0,TI
0.0,0.0,floor,saturate,9.8,1.0,TI
0.0,0.0,floor,wrap,9.8,1.0,TI
0.0,0.0,trunc,saturate,9.8,1.0,TI
0.0,0.0,trunc,wrap,9.8,1.0,TI
0.0,0.0,stochastic,saturate,9.8,1.0,TI
0.0,0.0,stochastic,wrap,9.8,1.0,TI
0.0,1.0,nearest,saturate,61.9,2.0,TI
0.0,1.0,nearest,wrap,60.38,2.0,TI
0.0,1.0,ceil,saturate,9.8,2.0,TI
0.0,1.0,ceil,wrap,9.8,2.0,TI
0.0,1.0,floor,saturate,9.8,2.0,TI
0.0,1.0,floor,wrap,9.8,2.0,TI
0.0,1.0,trunc,saturate,9.75,2.0,TI
0.0,1.0,trunc,wrap,9.79,2.0,TI
0.0,1.0,stochastic,saturate,12.74,2.0,TI
0.0,1.0,stochastic,wrap,10.43,2.0,TI
0.0,2.0,nearest,saturate,98.01,3.0,TI
0.0,2.0,nearest,wrap,97.93,3.0,TI
0.0,2.0,ceil,saturate,9.8,3.0,TI
0.0,2.0,ceil,wrap,9.8,3.0,TI
0.0,2.0,floor,saturate,9.8,3.0,TI
0.0,2.0,floor,wrap,9.8,3.0,TI
0.0,2.0,trunc,saturate,45.11,3.0,TI
0.0,2.0,trunc,wrap,44.86,3.0,TI
0.0,2.0,stochastic,saturate,10.95,3.0,TI
0.0,2.0,stochastic,wrap,9.56,3.0,TI
0.0,3.0,nearest,saturate,98.3,4.0,TI
0.0,3.0,nearest,wrap,98.17,4.0,TI
0.0,3.0,ceil,saturate,20.11,4.0,TI
0.0,3.0,ceil,wrap,20.06,4.0,TI
0.0,3.0,floor,saturate,9.76,4.0,TI
0.0,3.0,floor,wrap,9.77,4.0,TI
0.0,3.0,trunc,saturate,96.93,4.0,TI
0.0,3.0,trunc,wrap,96.9,4.0,TI
0.0,3.0,stochastic,saturate,41.49,4.0,TI
0.0,3.0,stochastic,wrap,37.82,4.0,TI
0.0,4.0,nearest,saturate,98.53,5.0,TI
0.0,4.0,nearest,wrap,98.47,5.0,TI
0.0,4.0,ceil,saturate,33.31,5.0,TI
0.0,4.0,ceil,wrap,31.78,5.0,TI
0.0,4.0,floor,saturate,27.73,5.0,TI
0.0,4.0,floor,wrap,27.48,5.0,TI
0.0,4.0,trunc,saturate,98.49,5.0,TI
0.0,4.0,trunc,wrap,98.37,5.0,TI
0.0,4.0,stochastic,saturate,91.39,5.0,TI
0.0,4.0,stochastic,wrap,90.5,5.0,TI
0.0,5.0,nearest,saturate,98.49,6.0,TI
0.0,5.0,nearest,wrap,98.32,6.0,TI
0.0,5.0,ceil,saturate,87.2,6.0,TI
0.0,5.0,ceil,wrap,85.09,6.0,TI
0.0,5.0,floor,saturate,88.58,6.0,TI
0.0,5.0,floor,wrap,87.22,6.0,TI
0.0,5.0,trunc,saturate,98.53,6.0,TI
0.0,5.0,trunc,wrap,98.5,6.0,TI
0.0,5.0,stochastic,saturate,97.91,6.0,TI
0.0,5.0,stochastic,wrap,97.77,6.0,TI
0.0,6.0,nearest,saturate,98.5,7.0,TI
0.0,6.0,nearest,wrap,98.44,7.0,TI
0.0,6.0,ceil,saturate,97.57,7.0,TI
0.0,6.0,ceil,wrap,97.35,7.0,TI
0.0,6.0,floor,saturate,97.6,7.0,TI
0.0,6.0,floor,wrap,97.63,7.0,TI
0.0,6.0,trunc,saturate,98.51,7.0,TI
0.0,6.0,trunc,wrap,98.35,7.0,TI
0.0,6.0,stochastic,saturate,98.57,7.0,TI
0.0,6.0,stochastic,wrap,98.35,7.0,TI
0.0,7.0,nearest,saturate,98.56,8.0,TI
0.0,7.0,nearest,wrap,98.33,8.0,TI
0.0,7.0,ceil,saturate,98.34,8.0,TI
0.0,7.0,ceil,wrap,98.14,8.0,TI
0.0,7.0,floor,saturate,98.45,8.0,TI
0.0,7.0,floor,wrap,98.4,8.0,TI
0.0,7.0,trunc,saturate,98.48,8.0,TI
0.0,7.0,trunc,wrap,98.42,8.0,TI
0.0,7.0,stochastic,saturate,98.63,8.0,TI
0.0,7.0,stochastic,wrap,98.45,8.0,TI
0.0,8.0,nearest,saturate,98.43,9.0,TI
0.0,8.0,nearest,wrap,98.37,9.0,TI
0.0,8.0,ceil,saturate,98.44,9.0,TI
0.0,8.0,ceil,wrap,98.31,9.0,TI
0.0,8.0,floor,saturate,98.56,9.0,TI
0.0,8.0,floor,wrap,98.48,9.0,TI
0.0,8.0,trunc,saturate,98.48,9.0,TI
0.0,8.0,trunc,wrap,98.35,9.0,TI
0.0,8.0,stochastic,saturate,98.54,9.0,TI
0.0,8.0,stochastic,wrap,98.47,9.0,TI
1.0,0.0,nearest,saturate,9.84,2.0,TI
1.0,0.0,nearest,wrap,9.84,2.0,TI
1.0,0.0,ceil,saturate,9.8,2.0,TI
1.0,0.0,ceil,wrap,9.8,2.0,TI
1.0,0.0,floor,saturate,9.8,2.0,TI
1.0,0.0,floor,wrap,9.8,2.0,TI
1.0,0.0,trunc,saturate,9.8,2.0,TI
