m,n,rounding,overflow,acc,bits
0,0,floor,saturate,9.8,0
0,0,floor,wrap,9.8,0
0,0,ceil,saturate,9.8,0
0,0,ceil,wrap,9.8,0
0,0,trunc,saturate,9.8,0
0,0,trunc,wrap,9.8,0
0,0,nearest,saturate,9.8,0
0,0,nearest,wrap,9.8,0
0,0,stochastic,saturate,9.8,0
0,0,stochastic,wrap,9.8,0
1,0,stochastic,wrap,10.41,1
1,0,ceil,wrap,10.01,1
1,0,floor,wrap,10.0,1
0,1,floor,saturate,9.8,1
1,0,floor,saturate,9.8,1
0,1,floor,wrap,9.8,1
0,1,ceil,saturate,9.8,1
1,0,ceil,saturate,9.8,1
0,1,ceil,wrap,9.8,1
0,1,trunc,saturate,9.8,1
1,0,trunc,saturate,9.8,1
0,1,trunc,wrap,9.8,1
1,0,trunc,wrap,9.8,1
0,1,nearest,saturate,9.8,1
1,0,nearest,saturate,9.8,1
0,1,nearest,wrap,9.8,1
0,1,stochastic,saturate,9.8,1
0,1,stochastic,wrap,9.8,1
1,0,nearest,wrap,9.21,1
1,0,stochastic,saturate,9.08,1
0,2,nearest,saturate,96.2,2
1,1,nearest,saturate,28.67,2
0,2,stochastic,wrap,10.29,2
0,2,floor,wrap,10.24,2
1,1,stochastic,wrap,10.24,2
0,2,trunc,saturate,10.18,2
2,0,stochastic,saturate,9.99,2
2,0,ceil,wrap,9.97,2
0,2,nearest,wrap,9.97,2
1,1,ceil,wrap,9.95,2
0,2,ceil,wrap,9.86,2
2,0,stochastic,wrap,9.83,2
0,2,floor,saturate,9.8,2
1,1,floor,saturate,9.8,2
2,0,floor,saturate,9.8,2
1,1,floor,wrap,9.8,2
0,2,ceil,saturate,9.8,2
1,1,ceil,saturate,9.8,2
2,0,ceil,saturate,9.8,2
1,1,trunc,saturate,9.8,2
2,0,trunc,saturate,9.8,2
1,1,trunc,wrap,9.8,2
2,0,trunc,wrap,9.8,2
2,0,nearest,saturate,9.8,2
2,0,floor,wrap,9.75,2
0,2,trunc,wrap,9.75,2
1,1,stochastic,saturate,9.63,2
1,1,nearest,wrap,9.2,2
2,0,nearest,wrap,8.81,2
0,2,stochastic,saturate,7.51,2
0,3,nearest,saturate,97.9,3
1,2,nearest,saturate,96.05,3
0,3,trunc,saturate,91.12,3
2,1,nearest,saturate,28.8,3
0,3,stochastic,saturate,27.56,3
3,0,nearest,wrap,11.26,3
3,0,stochastic,wrap,10.7,3
2,1,ceil,wrap,10.45,3
1,2,stochastic,wrap,10.39,3
0,3,stochastic,wrap,10.25,3
0,3,nearest,wrap,10.24,3
1,2,trunc,saturate,10.23,3
3,0,stochastic,saturate,10.23,3
0,3,trunc,wrap,10.11,3
0,3,floor,wrap,10.1,3
2,1,stochastic,wrap,10.05,3
1,2,ceil,wrap,10.0,3
3,0,ceil,wrap,10.0,3
3,0,floor,wrap,9.96,3
2,1,floor,wrap,9.85,3
1,2,floor,saturate,9.8,3
2,1,floor,saturate,9.8,3
3,0,floor,saturate,9.8,3
0,3,ceil,saturate,9.8,3
1,2,ceil,saturate,9.8,3
2,1,ceil,saturate,9.8,3
3,0,ceil,saturate,9.8,3
2,1,trunc,saturate,9.8,3
3,0,trunc,saturate,9.8,3
2,1,trunc,wrap,9.8,3
3,0,trunc,wrap,9.8,3
3,0,nearest,saturate,9.8,3
0,3,ceil,wrap,9.76,3
1,2,floor,wrap,9.72,3
0,3,floor,saturate,9.68,3
2,1,stochastic,saturate,9.65,3
1,2,nearest,wrap,8.6,3
2,1,nearest,wrap,8.37,3
1,2,trunc,wrap,7.98,3
1,2,stochastic,saturate,7.83,3
0,4,nearest,saturate,98.27,4
1,3,nearest,saturate,97.9,4
0,4,trunc,saturate,97.74,4
2,2,nearest,saturate,96.08,4
1,3,trunc,saturate,91.26,4
0,4,stochastic,saturate,84.32,4
3,1,nearest,wrap,31.98,4
3,1,nearest,saturate,29.04,4
1,3,stochastic,saturate,26.69,4
0,4,floor,saturate,22.86,4
2,2,nearest,wrap,18.95,4
3,1,stochastic,wrap,16.74,4
4,0,ceil,wrap,14.27,4
4,0,floor,wrap,14.01,4
4,0,stochastic,wrap,13.71,4
3,1,floor,wrap,12.89,4
2,2,floor,wrap,11.83,4
0,4,floor,wrap,10.56,4
2,2,stochastic,wrap,10.36,4
0,4,ceil,saturate,10.31,4
2,2,trunc,saturate,10.2,4
0,4,ceil,wrap,10.17,4
0,4,stochastic,wrap,10.17,4
2,2,trunc,wrap,9.95,4
3,1,ceil,wrap,9.92,4
2,2,floor,saturate,9.8,4
3,1,floor,saturate,9.8,4
4,0,floor,saturate,9.8,4
1,3,ceil,saturate,9.8,4
2,2,ceil,saturate,9.8,4
3,1,ceil,saturate,9.8,4
4,0,ceil,saturate,9.8,4
3,1,trunc,saturate,9.8,4
4,0,trunc,saturate,9.8,4
3,1,trunc,wrap,9.8,4
4,0,trunc,wrap,9.8,4
4,0,nearest,saturate,9.8,4
4,0,nearest,wrap,9.8,4
2,2,ceil,wrap,9.79,4
1,3,floor,wrap,9.77,4
1,3,stochastic,wrap,9.65,4
0,4,trunc,wrap,9.64,4
4,0,stochastic,saturate,9.63,4
1,3,floor,saturate,9.59,4
1,3,ceil,wrap,9.59,4
0,4,nearest,wrap,9.51,4
1,3,trunc,wrap,9.32,4
1,3,nearest,wrap,9.1,4
3,1,stochastic,saturate,8.92,4
2,2,stochastic,saturate,6.78,4
0,5,trunc,saturate,98.25,5
1,4,nearest,saturate,98.18,5
0,5,nearest,saturate,98.15,5
2,3,nearest,saturate,97.96,5
1,4,trunc,saturate,97.64,5
0,5,stochastic,saturate,96.85,5
3,2,nearest,saturate,96.27,5
2,3,trunc,saturate,91.36,5
3,2,nearest,wrap,90.34,5
1,4,stochastic,saturate,85.85,5
0,5,floor,saturate,81.48,5
0,5,ceil,saturate,72.69,5
2,3,trunc,wrap,45.08,5
2,3,stochastic,saturate,30.03,5
4,1,nearest,wrap,29.22,5
4,1,nearest,saturate,28.91,5
1,4,floor,saturate,22.96,5
2,3,nearest,wrap,14.57,5
3,2,floor,wrap,13.72,5
5,0,floor,wrap,11.42,5
1,4,ceil,wrap,10.9,5
5,0,ceil,wrap,10.86,5
2,3,stochastic,wrap,10.81,5
0,5,ceil,wrap,10.63,5
0,5,floor,wrap,10.58,5
4,1,floor,wrap,10.44,5
1,4,ceil,saturate,10.37,5
3,2,trunc,wrap,10.28,5
0,5,trunc,wrap,10.27,5
3,2,trunc,saturate,10.2,5
0,5,stochastic,wrap,10.16,5
5,0,stochastic,wrap,10.15,5
0,5,nearest,wrap,9.9,5
5,0,stochastic,saturate,9.85,5
3,2,floor,saturate,9.8,5
4,1,floor,saturate,9.8,5
5,0,floor,saturate,9.8,5
2,3,ceil,saturate,9.8,5
3,2,ceil,saturate,9.8,5
4,1,ceil,saturate,9.8,5
5,0,ceil,saturate,9.8,5
4,1,trunc,saturate,9.8,5
5,0,trunc,saturate,9.8,5
4,1,trunc,wrap,9.8,5
5,0,trunc,wrap,9.8,5
5,0,nearest,saturate,9.8,5
5,0,nearest,wrap,9.8,5
1,4,stochastic,wrap,9.79,5
1,4,floor,wrap,9.73,5
2,3,floor,saturate,9.62,5
3,2,ceil,wrap,9.54,5
1,4,nearest,wrap,9.39,5
1,4,trunc,wrap,8.82,5
4,1,stochastic,saturate,8.74,5
2,3,floor,wrap,8.5,5
4,1,stochastic,wrap,8.28,5
2,3,ceil,wrap,7.95,5
3,2,stochastic,saturate,6.1,5
3,2,stochastic,wrap,5.78,5
4,1,ceil,wrap,5.37,5
0,6,nearest,saturate,98.36,6
0,6,trunc,saturate,98.23,6
1,5,trunc,saturate,98.23,6
1,5,nearest,saturate,98.19,6
2,4,nearest,saturate,98.05,6
3,3,nearest,saturate,97.94,6
0,6,stochastic,saturate,97.81,6
2,4,trunc,saturate,97.75,6
1,5,stochastic,saturate,96.67,6
0,6,floor,saturate,96.51,6
4,2,nearest,saturate,96.22,6
4,2,nearest,wrap,96.17,6
0,6,ceil,saturate,96.1,6
3,3,trunc,saturate,91.21,6
3,3,nearest,wrap,91.11,6
3,3,trunc,wrap,88.52,6
2,4,stochastic,saturate,85.32,6
1,5,floor,saturate,81.53,6
1,5,ceil,saturate,72.82,6
5,1,nearest,saturate,28.88,6
5,1,nearest,wrap,28.88,6
3,3,stochastic,saturate,27.86,6
2,4,trunc,wrap,27.3,6
2,4,floor,saturate,22.89,6
3,3,stochastic,wrap,20.85,6
2,4,nearest,wrap,16.29,6
2,4,stochastic,wrap,15.61,6
3,3,ceil,wrap,12.39,6
5,1,stochastic,wrap,11.56,6
2,4,ceil,wrap,11.31,6
4,2,stochastic,wrap,10.46,6
1,5,ceil,wrap,10.35,6
2,4,ceil,saturate,10.27,6
4,2,trunc,saturate,10.21,6
4,2,trunc,wrap,10.21,6
0,6,nearest,wrap,10.19,6
0,6,floor,wrap,10.09,6
1,5,stochastic,wrap,10.08,6
4,2,floor,wrap,9.88,6
0,6,stochastic,wrap,9.86,6
4,2,floor,saturate,9.8,6
5,1,floor,saturate,9.8,6
5,1,floor,wrap,9.8,6
3,3,ceil,saturate,9.8,6
4,2,ceil,saturate,9.8,6
5,1,ceil,saturate,9.8,6
4,2,ceil,wrap,9.8,6
5,1,ceil,wrap,9.8,6
5,1,trunc,saturate,9.8,6
5,1,trunc,wrap,9.8,6
1,5,floor,wrap,9.79,6
3,3,floor,saturate,9.61,6
0,6,ceil,wrap,9.6,6
0,6,trunc,wrap,9.5,6
1,5,trunc,wrap,9.3,6
1,5,nearest,wrap,8.97,6
5,1,stochastic,saturate,8.85,6
3,3,floor,wrap,8.73,6
2,4,floor,wrap,8.6,6
4,2,stochastic,saturate,7.76,6
3,4,nearest,saturate,98.3,7
0,7,nearest,saturate,98.24,7
0,7,trunc,saturate,98.23,7
1,6,trunc,saturate,98.21,7
1,6,nearest,saturate,98.17,7
0,7,stochastic,saturate,98.14,7
2,5,trunc,saturate,98.05,7
2,5,nearest,saturate,98.04,7
0,7,floor,saturate,97.94,7
1,6,stochastic,saturate,97.91,7
0,7,ceil,saturate,97.9,7
4,3,nearest,saturate,97.89,7
4,3,nearest,wrap,97.72,7
3,4,trunc,saturate,97.62,7
2,5,stochastic,saturate,96.83,7
1,6,floor,saturate,96.59,7
5,2,nearest,saturate,96.26,7
5,2,nearest,wrap,96.26,7
1,6,ceil,saturate,96.11,7
3,4,trunc,wrap,94.63,7
3,4,nearest,wrap,92.87,7
4,3,trunc,saturate,91.12,7
4,3,trunc,wrap,91.1,7
3,4,stochastic,saturate,84.16,7
2,5,floor,saturate,81.47,7
2,5,ceil,saturate,72.96,7
3,4,stochastic,wrap,58.47,7
4,3,stochastic,wrap,27.11,7
4,3,stochastic,saturate,25.69,7
3,4,floor,saturate,23.33,7
2,5,trunc,wrap,21.59,7
3,4,floor,wrap,18.52,7
2,5,floor,wrap,15.99,7
2,5,nearest,wrap,15.71,7
2,5,stochastic,wrap,14.54,7
0,7,trunc,wrap,10.69,7
0,7,ceil,wrap,10.62,7
3,4,ceil,wrap,10.39,7
3,4,ceil,saturate,10.28,7
5,2,trunc,saturate,10.2,7
5,2,trunc,wrap,10.2,7
1,6,stochastic,wrap,10.07,7
0,7,floor,wrap,10.05,7
0,7,stochastic,wrap,10.02,7
1,6,floor,wrap,10.01,7
0,7,nearest,wrap,9.98,7
5,2,floor,saturate,9.8,7
5,2,floor,wrap,9.8,7
4,3,ceil,saturate,9.8,7
5,2,ceil,saturate,9.8,7
4,3,ceil,wrap,9.8,7
5,2,ceil,wrap,9.8,7
1,6,nearest,wrap,9.8,7
1,6,trunc,wrap,9.63,7
4,3,floor,saturate,9.57,7
1,6,ceil,wrap,9.57,7
4,3,floor,wrap,7.14,7
2,5,ceil,wrap,6.94,7
5,2,stochastic,saturate,5.91,7
5,2,stochastic,wrap,5.77,7
3,5,nearest,saturate,98.29,8
0,8,trunc,saturate,98.28,8
1,7,trunc,saturate,98.26,8
2,6,trunc,saturate,98.25,8
1,7,nearest,saturate,98.25,8
4,4,nearest,saturate,98.23,8
0,8,nearest,saturate,98.2,8
2,6,nearest,saturate,98.19,8
4,4,nearest,wrap,98.17,8
3,5,trunc,saturate,98.16,8
1,7,stochastic,saturate,98.16,8
0,8,stochastic,saturate,98.15,8
0,8,ceil,saturate,98.13,8
0,8,floor,saturate,98.11,8
5,3,nearest,saturate,97.98,8
5,3,nearest,wrap,97.98,8
2,6,stochastic,saturate,97.93,8
1,7,floor,saturate,97.89,8
4,4,trunc,wrap,97.83,8
4,4,trunc,saturate,97.82,8
1,7,ceil,saturate,97.81,8
3,5,stochastic,saturate,96.81,8
2,6,floor,saturate,96.5,8
2,6,ceil,saturate,96.08,8
3,5,trunc,wrap,94.11,8
3,5,nearest,wrap,92.65,8
5,3,trunc,saturate,91.48,8
5,3,trunc,wrap,91.48,8
4,4,stochastic,saturate,85.21,8
4,4,stochastic,wrap,84.54,8
3,5,stochastic,wrap,82.47,8
3,5,floor,saturate,81.44,8
3,5,ceil,saturate,72.64,8
3,5,floor,wrap,59.28,8
3,5,ceil,wrap,42.09,8
5,3,stochastic,wrap,28.77,8
5,3,stochastic,saturate,28.75,8
4,4,floor,wrap,23.36,8
4,4,floor,saturate,22.94,8
2,6,trunc,wrap,18.46,8
2,6,nearest,wrap,15.73,8
2,6,stochastic,wrap,15.4,8
2,6,floor,wrap,15.06,8
2,6,ceil,wrap,11.32,8
0,8,floor,wrap,10.42,8
4,4,ceil,saturate,10.3,8
4,4,ceil,wrap,10.3,8
0,8,stochastic,wrap,10.21,8
0,8,ceil,wrap,10.12,8
0,8,trunc,wrap,10.05,8
1,7,floor,wrap,9.99,8
5,3,ceil,saturate,9.8,8
5,3,ceil,wrap,9.8,8
1,7,nearest,wrap,9.77,8
5,3,floor,saturate,9.66,8
1,7,stochastic,wrap,9.58,8
0,8,nearest,wrap,9.55,8
5,3,floor,wrap,9.54,8
1,7,trunc,wrap,9.22,8
1,7,ceil,wrap,8.77,8
1,8,nearest,saturate,98.27,9
1,8,floor,saturate,98.26,9
1,8,trunc,saturate,98.25,9
4,5,nearest,saturate,98.2,9
3,6,trunc,saturate,98.19,9
3,6,nearest,saturate,98.18,9
2,7,nearest,saturate,98.16,9
4,5,nearest,wrap,98.15,9
1,8,ceil,saturate,98.13,9
4,5,trunc,saturate,98.12,9
5,4,nearest,saturate,98.12,9
5,4,nearest,wrap,98.12,9
1,8,stochastic,saturate,98.12,9
3,6,stochastic,saturate,98.1,9
2,7,trunc,saturate,98.08,9
4,5,trunc,wrap,98.08,9
2,7,stochastic,saturate,98.08,9
2,7,ceil,saturate,97.89,9
2,7,floor,saturate,97.81,9
5,4,trunc,saturate,97.67,9
5,4,trunc,wrap,97.67,9
4,5,stochastic,saturate,96.76,9
4,5,stochastic,wrap,96.5,9
3,6,floor,saturate,96.44,9
3,6,ceil,saturate,96.02,9
3,6,trunc,wrap,93.62,9
3,6,nearest,wrap,92.7,9
3,6,stochastic,wrap,89.72,9
3,6,ceil,wrap,88.32,9
5,4,stochastic,saturate,85.81,9
5,4,stochastic,wrap,85.81,9
3,6,floor,wrap,83.35,9
4,5,floor,saturate,81.24,9
4,5,floor,wrap,81.1,9
4,5,ceil,wrap,73.01,9
4,5,ceil,saturate,72.76,9
5,4,floor,saturate,22.89,9
5,4,floor,wrap,22.88,9
2,7,trunc,wrap,16.89,9
2,7,floor,wrap,16.18,9
2,7,nearest,wrap,15.84,9
2,7,stochastic,wrap,15.25,9
2,7,ceil,wrap,13.37,9
5,4,ceil,saturate,10.28,9
5,4,ceil,wrap,10.28,9
1,8,floor,wrap,10.2,9
1,8,stochastic,wrap,9.53,9
1,8,ceil,wrap,9.46,9
1,8,nearest,wrap,9.35,9
1,8,trunc,wrap,9.15,9
5,5,nearest,saturate,98.27,10
5,5,nearest,wrap,98.27,10
2,8,nearest,saturate,98.26,10
2,8,stochastic,saturate,98.25,10
3,7,trunc,saturate,98.24,10
2,8,trunc,saturate,98.23,10
4,6,trunc,saturate,98.2,10
2,8,floor,saturate,98.19,10
3,7,nearest,saturate,98.19,10
2,8,ceil,saturate,98.18,10
4,6,nearest,saturate,98.18,10
5,5,trunc,saturate,98.13,10
5,5,trunc,wrap,98.13,10
4,6,nearest,wrap,98.13,10
3,7,stochastic,saturate,98.13,10
4,6,trunc,wrap,98.12,10
3,7,floor,saturate,97.91,10
3,7,ceil,saturate,97.85,10
4,6,stochastic,saturate,97.85,10
4,6,stochastic,wrap,97.82,10
5,5,stochastic,saturate,96.82,10
5,5,stochastic,wrap,96.82,10
4,6,floor,saturate,96.48,10
4,6,floor,wrap,96.28,10
4,6,ceil,saturate,96.09,10
4,6,ceil,wrap,95.98,10
3,7,trunc,wrap,93.31,10
3,7,nearest,wrap,92.95,10
3,7,ceil,wrap,92.66,10
3,7,stochastic,wrap,91.33,10
3,7,floor,wrap,89.94,10
5,5,floor,saturate,81.5,10
5,5,floor,wrap,81.5,10
5,5,ceil,saturate,72.27,10
5,5,ceil,wrap,72.27,10
2,8,trunc,wrap,16.35,10
2,8,floor,wrap,15.53,10
2,8,nearest,wrap,15.47,10
2,8,stochastic,wrap,14.94,10
2,8,ceil,wrap,14.78,10
4,7,nearest,saturate,98.27,11
4,7,nearest,wrap,98.24,11
3,8,floor,saturate,98.22,11
4,7,trunc,saturate,98.21,11
3,8,nearest,saturate,98.21,11
5,6,trunc,saturate,98.2,11
5,6,trunc,wrap,98.2,11
5,6,nearest,saturate,98.18,11
5,6,nearest,wrap,98.18,11
3,8,trunc,saturate,98.16,11
4,7,trunc,wrap,98.16,11
3,8,ceil,saturate,98.1,11
3,8,stochastic,saturate,98.08,11
5,6,stochastic,saturate,98.06,11
5,6,stochastic,wrap,98.06,11
4,7,stochastic,saturate,98.0,11
4,7,floor,saturate,97.95,11
4,7,stochastic,wrap,97.91,11
4,7,floor,wrap,97.89,11
4,7,ceil,saturate,97.89,11
4,7,ceil,wrap,97.8,11
5,6,floor,saturate,96.58,11
5,6,floor,wrap,96.58,11
5,6,ceil,saturate,96.2,11
5,6,ceil,wrap,96.2,11
3,8,trunc,wrap,93.08,11
3,8,ceil,wrap,92.92,11
3,8,nearest,wrap,92.88,11
3,8,stochastic,wrap,92.22,11
3,8,floor,wrap,91.82,11
5,7,trunc,saturate,98.29,12
5,7,trunc,wrap,98.29,12
4,8,trunc,saturate,98.28,12
5,7,nearest,saturate,98.24,12
5,7,nearest,wrap,98.24,12
4,8,trunc,wrap,98.22,12
4,8,nearest,saturate,98.22,12
5,7,stochastic,saturate,98.22,12
5,7,stochastic,wrap,98.22,12
4,8,floor,saturate,98.18,12
4,8,nearest,wrap,98.13,12
4,8,ceil,saturate,98.11,12
4,8,stochastic,saturate,98.11,12
4,8,floor,wrap,98.08,12
4,8,stochastic,wrap,98.07,12
4,8,ceil,wrap,97.98,12
5,7,ceil,saturate,97.85,12
5,7,ceil,wrap,97.85,12
5,7,floor,saturate,97.84,12
5,7,floor,wrap,97.84,12
5,8,nearest,saturate,98.28,13
5,8,nearest,wrap,98.28,13
5,8,stochastic,saturate,98.21,13
5,8,stochastic,wrap,98.21,13
5,8,trunc,saturate,98.18,13
5,8,trunc,wrap,98.18,13
