m,n,rounding,overflow,acc
0,0,floor,wrap,9.8
0,1,floor,wrap,9.8
0,2,floor,wrap,10.24
0,3,floor,wrap,10.1
0,4,floor,wrap,10.56
0,5,floor,wrap,10.58
0,6,floor,wrap,10.09
0,7,floor,wrap,10.05
0,8,floor,wrap,10.42
1,0,floor,wrap,10.0
1,1,floor,wrap,9.8
1,2,floor,wrap,9.72
1,3,floor,wrap,9.77
1,4,floor,wrap,9.73
1,5,floor,wrap,9.79
1,6,floor,wrap,10.01
1,7,floor,wrap,9.99
1,8,floor,wrap,10.2
2,0,floor,wrap,9.75
2,1,floor,wrap,9.85
2,2,floor,wrap,11.83
2,3,floor,wrap,8.5
2,4,floor,wrap,8.6
2,5,floor,wrap,15.99
2,6,floor,wrap,15.06
2,7,floor,wrap,16.18
2,8,floor,wrap,15.53
3,0,floor,wrap,9.96
3,1,floor,wrap,12.89
3,2,floor,wrap,13.72
3,3,floor,wrap,8.73
3,4,floor,wrap,18.52
3,5,floor,wrap,59.28
3,6,floor,wrap,83.35
3,7,floor,wrap,89.94
3,8,floor,wrap,91.82
4,0,floor,wrap,14.01
4,1,floor,wrap,10.44
4,2,floor,wrap,9.88
4,3,floor,wrap,7.14
4,4,floor,wrap,23.36
4,5,floor,wrap,81.1
4,6,floor,wrap,96.28
4,7,floor,wrap,97.89
4,8,floor,wrap,98.08
5,0,floor,wrap,11.42
5,1,floor,wrap,9.8
5,2,floor,wrap,9.8
5,3,floor,wrap,9.54
5,4,floor,wrap,22.88
5,5,floor,wrap,81.5
5,6,floor,wrap,96.58
5,7,floor,wrap,97.84
5,8,floor,wrap,98.08
