m,n,rounding,overflow,acc
0,0,nearest,saturate,9.8
0,1,nearest,saturate,9.8
0,2,nearest,saturate,96.2
0,3,nearest,saturate,97.9
0,4,nearest,saturate,98.27
0,5,nearest,saturate,98.15
0,6,nearest,saturate,98.36
0,7,nearest,saturate,98.24
0,8,nearest,saturate,98.2
1,0,nearest,saturate,9.8
1,1,nearest,saturate,28.67
1,2,nearest,saturate,96.05
1,3,nearest,saturate,97.9
1,4,nearest,saturate,98.18
1,5,nearest,saturate,98.19
1,6,nearest,saturate,98.17
1,7,nearest,saturate,98.25
1,8,nearest,saturate,98.27
2,0,nearest,saturate,9.8
2,1,nearest,saturate,28.8
2,2,nearest,saturate,96.08
2,3,nearest,saturate,97.96
2,4,nearest,saturate,98.05
2,5,nearest,saturate,98.04
2,6,nearest,saturate,98.19
2,7,nearest,saturate,98.16
2,8,nearest,saturate,98.26
3,0,nearest,saturate,9.8
3,1,nearest,saturate,29.04
3,2,nearest,saturate,96.27
3,3,nearest,saturate,97.94
3,4,nearest,saturate,98.3
3,5,nearest,saturate,98.29
3,6,nearest,saturate,98.18
3,7,nearest,saturate,98.19
3,8,nearest,saturate,98.21
4,0,nearest,saturate,9.8
4,1,nearest,saturate,28.91
4,2,nearest,saturate,96.22
4,3,nearest,saturate,97.89
4,4,nearest,saturate,98.23
4,5,nearest,saturate,98.2
4,6,nearest,saturate,98.18
4,7,nearest,saturate,98.27
4,8,nearest,saturate,98.22
5,0,nearest,saturate,9.8
5,1,nearest,saturate,28.88
5,2,nearest,saturate,96.26
5,3,nearest,saturate,97.98
5,4,nearest,saturate,98.12
5,5,nearest,saturate,98.27
5,6,nearest,saturate,98.18
5,7,nearest,saturate,98.24
5,8,nearest,saturate,98.28
