m,n,rounding,overflow,acc
0,0,nearest,wrap,9.8
0,1,nearest,wrap,9.8
0,2,nearest,wrap,9.97
0,3,nearest,wrap,10.24
0,4,nearest,wrap,9.51
0,5,nearest,wrap,9.9
0,6,nearest,wrap,10.19
0,7,nearest,wrap,9.98
0,8,nearest,wrap,9.55
1,0,nearest,wrap,9.21
1,1,nearest,wrap,9.2
1,2,nearest,wrap,8.6
1,3,nearest,wrap,9.1
1,4,nearest,wrap,9.39
1,5,nearest,wrap,8.97
1,6,nearest,wrap,9.8
1,7,nearest,wrap,9.77
1,8,nearest,wrap,9.35
2,0,nearest,wrap,8.81
2,1,nearest,wrap,8.37
2,2,nearest,wrap,18.95
2,3,nearest,wrap,14.57
2,4,nearest,wrap,16.29
2,5,nearest,wrap,15.71
2,6,nearest,wrap,15.73
2,7,nearest,wrap,15.84
2,8,nearest,wrap,15.47
3,0,nearest,wrap,11.26
3,1,nearest,wrap,31.98
3,2,nearest,wrap,90.34
3,3,nearest,wrap,91.11
3,4,nearest,wrap,92.87
3,5,nearest,wrap,92.65
3,6,nearest,wrap,92.7
3,7,nearest,wrap,92.95
3,8,nearest,wrap,92.88
4,0,nearest,wrap,9.8
4,1,nearest,wrap,29.22
4,2,nearest,wrap,96.17
4,3,nearest,wrap,97.72
4,4,nearest,wrap,98.17
4,5,nearest,wrap,98.15
4,6,nearest,wrap,98.13
4,7,nearest,wrap,98.24
4,8,nearest,wrap,98.13
5,0,nearest,wrap,9.8
5,1,nearest,wrap,28.88
5,2,nearest,wrap,96.26
5,3,nearest,wrap,97.98
5,4,nearest,wrap,98.12
5,5,nearest,wrap,98.27
5,6,nearest,wrap,98.18
5,7,nearest,wrap,98.24
5,8,nearest,wrap,98.28
