m,n,rounding,overflow,acc
0,0,stochastic,saturate,9.8
0,1,stochastic,saturate,9.8
0,2,stochastic,saturate,7.51
0,3,stochastic,saturate,27.56
0,4,stochastic,saturate,84.32
0,5,stochastic,saturate,96.85
0,6,stochastic,saturate,97.81
0,7,stochastic,saturate,98.14
0,8,stochastic,saturate,98.15
1,0,stochastic,saturate,9.08
1,1,stochastic,saturate,9.63
1,2,stochastic,saturate,7.83
1,3,stochastic,saturate,26.69
1,4,stochastic,saturate,85.85
1,5,stochastic,saturate,96.67
1,6,stochastic,saturate,97.91
1,7,stochastic,saturate,98.16
1,8,stochastic,saturate,98.12
2,0,stochastic,saturate,9.99
2,1,stochastic,saturate,9.65
2,2,stochastic,saturate,6.78
2,3,stochastic,saturate,30.03
2,4,stochastic,saturate,85.32
2,5,stochastic,saturate,96.83
2,6,stochastic,saturate,97.93
2,7,stochastic,saturate,98.08
2,8,stochastic,saturate,98.25
3,0,stochastic,saturate,10.23
3,1,stochastic,saturate,8.92
3,2,stochastic,saturate,6.1
3,3,stochastic,saturate,27.86
3,4,stochastic,saturate,84.16
3,5,stochastic,saturate,96.81
3,6,stochastic,saturate,98.1
3,7,stochastic,saturate,98.13
3,8,stochastic,saturate,98.08
4,0,stochastic,saturate,9.63
4,1,stochastic,saturate,8.74
4,2,stochastic,saturate,7.76
4,3,stochastic,saturate,25.69
4,4,stochastic,saturate,85.21
4,5,stochastic,saturate,96.76
4,6,stochastic,saturate,97.85
4,7,stochastic,saturate,98.0
4,8,stochastic,saturate,98.11
5,0,stochastic,saturate,9.85
5,1,stochastic,saturate,8.85
5,2,stochastic,saturate,5.91
5,3,stochastic,saturate,28.75
5,4,stochastic,saturate,85.81
5,5,stochastic,saturate,96.82
5,6,stochastic,saturate,98.06
5,7,stochastic,saturate,98.22
5,8,stochastic,saturate,98.21
