m,n,rounding,overflow,acc
0,0,ceil,wrap,9.8
0,1,ceil,wrap,9.8
0,2,ceil,wrap,10.33
0,3,ceil,wrap,10.26
0,4,ceil,wrap,9.75
0,5,ceil,wrap,10.12
0,6,ceil,wrap,10.35
0,7,ceil,wrap,10.53
0,8,ceil,wrap,9.9
1,0,ceil,wrap,10.32
1,1,ceil,wrap,10.31
1,2,ceil,wrap,9.7
1,3,ceil,wrap,10.69
1,4,ceil,wrap,9.63
1,5,ceil,wrap,10.95
1,6,ceil,wrap,10.6
1,7,ceil,wrap,10.01
1,8,ceil,wrap,10.05
2,0,ceil,wrap,10.24
2,1,ceil,wrap,8.73
2,2,ceil,wrap,7.83
2,3,ceil,wrap,6.77
2,4,ceil,wrap,10.09
2,5,ceil,wrap,9.3
2,6,ceil,wrap,9.21
2,7,ceil,wrap,9.42
2,8,ceil,wrap,9.55
3,0,ceil,wrap,10.02
3,1,ceil,wrap,15.23
3,2,ceil,wrap,8.08
3,3,ceil,wrap,10.95
3,4,ceil,wrap,26.16
3,5,ceil,wrap,70.8
3,6,ceil,wrap,89.59
3,7,ceil,wrap,90.73
3,8,ceil,wrap,90.02
4,0,ceil,wrap,19.01
4,1,ceil,wrap,9.81
4,2,ceil,wrap,4.59
4,3,ceil,wrap,11.37
4,4,ceil,wrap,29.8
4,5,ceil,wrap,80.32
4,6,ceil,wrap,96.7
4,7,ceil,wrap,98.19
4,8,ceil,wrap,98.26
5,0,ceil,wrap,12.1
5,1,ceil,wrap,13.34
5,2,ceil,wrap,9.79
5,3,ceil,wrap,11.37
5,4,ceil,wrap,29.69
5,5,ceil,wrap,80.37
5,6,ceil,wrap,96.67
5,7,ceil,wrap,98.05
5,8,ceil,wrap,98.22
