m,n,rounding,overflow,acc
0,0,floor,saturate,9.8
0,1,floor,saturate,9.8
0,2,floor,saturate,9.8
0,3,floor,saturate,9.88
0,4,floor,saturate,27.38
0,5,floor,saturate,86.38
0,6,floor,saturate,97.04
0,7,floor,saturate,98.13
0,8,floor,saturate,98.25
1,0,floor,saturate,9.8
1,1,floor,saturate,9.8
1,2,floor,saturate,9.8
1,3,floor,saturate,9.9
1,4,floor,saturate,27.4
1,5,floor,saturate,86.19
1,6,floor,saturate,96.89
1,7,floor,saturate,98.16
1,8,floor,saturate,98.33
2,0,floor,saturate,9.8
2,1,floor,saturate,9.8
2,2,floor,saturate,9.8
2,3,floor,saturate,9.84
2,4,floor,saturate,27.6
2,5,floor,saturate,86.33
2,6,floor,saturate,96.98
2,7,floor,saturate,98.14
2,8,floor,saturate,98.27
3,0,floor,saturate,9.8
3,1,floor,saturate,9.8
3,2,floor,saturate,9.8
3,3,floor,saturate,9.85
3,4,floor,saturate,27.3
3,5,floor,saturate,86.62
3,6,floor,saturate,97.04
3,7,floor,saturate,98.04
3,8,floor,saturate,98.26
4,0,floor,saturate,9.8
4,1,floor,saturate,9.8
4,2,floor,saturate,9.8
4,3,floor,saturate,9.87
4,4,floor,saturate,27.62
4,5,floor,saturate,86.2
4,6,floor,saturate,97.08
4,7,floor,saturate,98.16
4,8,floor,saturate,98.35
5,0,floor,saturate,9.8
5,1,floor,saturate,9.8
5,2,floor,saturate,9.8
5,3,floor,saturate,9.82
5,4,floor,saturate,27.45
5,5,floor,saturate,86.18
5,6,floor,saturate,97.04
5,7,floor,saturate,98.24
5,8,floor,saturate,98.3
