m,n,rounding,overflow,acc
0,0,floor,wrap,9.8
0,1,floor,wrap,9.8
0,2,floor,wrap,9.69
0,3,floor,wrap,10.36
0,4,floor,wrap,10.39
0,5,floor,wrap,9.89
0,6,floor,wrap,9.93
0,7,floor,wrap,9.99
0,8,floor,wrap,9.84
1,0,floor,wrap,9.88
1,1,floor,wrap,9.86
1,2,floor,wrap,9.96
1,3,floor,wrap,10.07
1,4,floor,wrap,10.29
1,5,floor,wrap,9.74
1,6,floor,wrap,10.29
1,7,floor,wrap,10.16
1,8,floor,wrap,9.85
2,0,floor,wrap,10.22
2,1,floor,wrap,9.85
2,2,floor,wrap,6.91
2,3,floor,wrap,11.14
2,4,floor,wrap,4.67
2,5,floor,wrap,5.8
2,6,floor,wrap,10.23
2,7,floor,wrap,10.01
2,8,floor,wrap,9.77
3,0,floor,wrap,9.55
3,1,floor,wrap,12.65
3,2,floor,wrap,9.56
3,3,floor,wrap,4.37
3,4,floor,wrap,16.89
3,5,floor,wrap,45.69
3,6,floor,wrap,71.12
3,7,floor,wrap,82.01
3,8,floor,wrap,85.35
4,0,floor,wrap,11.54
4,1,floor,wrap,8.92
4,2,floor,wrap,7.1
4,3,floor,wrap,8.15
4,4,floor,wrap,23.58
4,5,floor,wrap,85.62
4,6,floor,wrap,96.93
4,7,floor,wrap,98.16
4,8,floor,wrap,98.3
5,0,floor,wrap,10.65
5,1,floor,wrap,17.45
5,2,floor,wrap,7.91
5,3,floor,wrap,9.29
5,4,floor,wrap,27.43
5,5,floor,wrap,86.18
5,6,floor,wrap,97.04
5,7,floor,wrap,98.24
5,8,floor,wrap,98.3
