m,n,rounding,overflow,acc
0,0,nearest,saturate,9.8
0,1,nearest,saturate,9.8
0,2,nearest,saturate,96.68
0,3,nearest,saturate,98.04
0,4,nearest,saturate,98.31
0,5,nearest,saturate,98.35
0,6,nearest,saturate,98.3
0,7,nearest,saturate,98.41
0,8,nearest,saturate,98.3
1,0,nearest,saturate,10.82
1,1,nearest,saturate,58.04
1,2,nearest,saturate,96.59
1,3,nearest,saturate,98.08
1,4,nearest,saturate,98.2
1,5,nearest,saturate,98.27
1,6,nearest,saturate,98.32
1,7,nearest,saturate,98.27
1,8,nearest,saturate,98.39
2,0,nearest,saturate,10.85
2,1,nearest,saturate,58.08
2,2,nearest,saturate,96.73
2,3,nearest,saturate,98.0
2,4,nearest,saturate,98.17
2,5,nearest,saturate,98.26
2,6,nearest,saturate,98.32
2,7,nearest,saturate,98.3
2,8,nearest,saturate,98.25
3,0,nearest,saturate,10.71
3,1,nearest,saturate,57.87
3,2,nearest,saturate,96.74
3,3,nearest,saturate,98.1
3,4,nearest,saturate,98.25
3,5,nearest,saturate,98.38
3,6,nearest,saturate,98.31
3,7,nearest,saturate,98.28
3,8,nearest,saturate,98.35
4,0,nearest,saturate,10.77
4,1,nearest,saturate,58.26
4,2,nearest,saturate,96.64
4,3,nearest,saturate,98.02
4,4,nearest,saturate,98.32
4,5,nearest,saturate,98.28
4,6,nearest,saturate,98.43
4,7,nearest,saturate,98.34
4,8,nearest,saturate,98.35
5,0,nearest,saturate,10.9
5,1,nearest,saturate,57.98
5,2,nearest,saturate,96.5
5,3,nearest,saturate,98.1
5,4,nearest,saturate,98.25
5,5,nearest,saturate,98.35
5,6,nearest,saturate,98.31
5,7,nearest,saturate,98.37
5,8,nearest,saturate,98.3
