m,n,rounding,overflow,acc
0,0,stochastic,saturate,9.8
0,1,stochastic,saturate,9.8
0,2,stochastic,saturate,10.51
0,3,stochastic,saturate,42.25
0,4,stochastic,saturate,90.83
0,5,stochastic,saturate,97.31
0,6,stochastic,saturate,98.16
0,7,stochastic,saturate,98.35
0,8,stochastic,saturate,98.32
1,0,stochastic,saturate,9.46
1,1,stochastic,saturate,10.0
1,2,stochastic,saturate,10.82
1,3,stochastic,saturate,45.27
1,4,stochastic,saturate,89.39
1,5,stochastic,saturate,97.25
1,6,stochastic,saturate,98.14
1,7,stochastic,saturate,98.22
1,8,stochastic,saturate,98.41
2,0,stochastic,saturate,8.52
2,1,stochastic,saturate,9.95
2,2,stochastic,saturate,10.26
2,3,stochastic,saturate,41.0
2,4,stochastic,saturate,90.64
2,5,stochastic,saturate,97.21
2,6,stochastic,saturate,98.12
2,7,stochastic,saturate,98.3
2,8,stochastic,saturate,98.29
3,0,stochastic,saturate,9.27
3,1,stochastic,saturate,9.83
3,2,stochastic,saturate,8.16
3,3,stochastic,saturate,43.76
3,4,stochastic,saturate,90.27
3,5,stochastic,saturate,97.15
3,6,stochastic,saturate,98.15
3,7,stochastic,saturate,98.25
3,8,stochastic,saturate,98.3
4,0,stochastic,saturate,8.29
4,1,stochastic,saturate,9.18
4,2,stochastic,saturate,14.27
4,3,stochastic,saturate,42.28
4,4,stochastic,saturate,88.88
4,5,stochastic,saturate,97.36
4,6,stochastic,saturate,98.12
4,7,stochastic,saturate,98.31
4,8,stochastic,saturate,98.29
5,0,stochastic,saturate,10.11
5,1,stochastic,saturate,9.58
5,2,stochastic,saturate,11.95
5,3,stochastic,saturate,43.99
5,4,stochastic,saturate,89.02
5,5,stochastic,saturate,97.22
5,6,stochastic,saturate,98.21
5,7,stochastic,saturate,98.32
5,8,stochastic,saturate,98.39
