m,n,rounding,overflow,acc
0,0,trunc,saturate,9.8
0,1,trunc,saturate,9.8
0,2,trunc,saturate,32.41
0,3,trunc,saturate,93.55
0,4,trunc,saturate,97.89
0,5,trunc,saturate,98.4
0,6,trunc,saturate,98.38
0,7,trunc,saturate,98.41
0,8,trunc,saturate,98.27
1,0,trunc,saturate,9.8
1,1,trunc,saturate,9.8
1,2,trunc,saturate,32.62
1,3,trunc,saturate,93.61
1,4,trunc,saturate,97.91
1,5,trunc,saturate,98.33
1,6,trunc,saturate,98.33
1,7,trunc,saturate,98.34
1,8,trunc,saturate,98.36
2,0,trunc,saturate,9.8
2,1,trunc,saturate,9.8
2,2,trunc,saturate,32.69
2,3,trunc,saturate,93.56
2,4,trunc,saturate,98.02
2,5,trunc,saturate,98.34
2,6,trunc,saturate,98.35
2,7,trunc,saturate,98.35
2,8,trunc,saturate,98.26
3,0,trunc,saturate,9.8
3,1,trunc,saturate,9.8
3,2,trunc,saturate,32.11
3,3,trunc,saturate,93.71
3,4,trunc,saturate,97.88
3,5,trunc,saturate,98.4
3,6,trunc,saturate,98.28
3,7,trunc,saturate,98.35
3,8,trunc,saturate,98.39
4,0,trunc,saturate,9.8
4,1,trunc,saturate,9.8
4,2,trunc,saturate,32.65
4,3,trunc,saturate,93.67
4,4,trunc,saturate,97.89
4,5,trunc,saturate,98.42
4,6,trunc,saturate,98.39
4,7,trunc,saturate,98.36
4,8,trunc,saturate,98.39
5,0,trunc,saturate,9.8
5,1,trunc,saturate,9.8
5,2,trunc,saturate,32.58
5,3,trunc,saturate,93.52
5,4,trunc,saturate,97.94
5,5,trunc,saturate,98.36
5,6,trunc,saturate,98.42
5,7,trunc,saturate,98.42
5,8,trunc,saturate,98.27
