m,n,rounding,overflow,acc
0,0,ceil,saturate,9.8
0,1,ceil,saturate,9.8
0,2,ceil,saturate,9.8
0,3,ceil,saturate,9.8
0,4,ceil,saturate,10.94
0,5,ceil,saturate,84.03
0,6,ceil,saturate,97.31
0,7,ceil,saturate,98.29
0,8,ceil,saturate,98.59
1,0,ceil,saturate,9.8
1,1,ceil,saturate,9.8
1,2,ceil,saturate,9.8
1,3,ceil,saturate,9.8
1,4,ceil,saturate,10.89
1,5,ceil,saturate,83.5
1,6,ceil,saturate,97.33
1,7,ceil,saturate,98.44
1,8,ceil,saturate,98.49
2,0,ceil,saturate,9.8
2,1,ceil,saturate,9.8
2,2,ceil,saturate,9.8
2,3,ceil,saturate,9.8
2,4,ceil,saturate,10.87
2,5,ceil,saturate,83.6
2,6,ceil,saturate,97.35
2,7,ceil,saturate,98.44
2,8,ceil,saturate,98.47
3,0,ceil,saturate,9.8
3,1,ceil,saturate,9.8
3,2,ceil,saturate,9.8
3,3,ceil,saturate,9.8
3,4,ceil,saturate,10.81
3,5,ceil,saturate,83.8
3,6,ceil,saturate,97.41
3,7,ceil,saturate,98.4
3,8,ceil,saturate,98.45
4,0,ceil,saturate,9.8
4,1,ceil,saturate,9.8
4,2,ceil,saturate,9.8
4,3,ceil,saturate,9.8
4,4,ceil,saturate,10.93
4,5,ceil,saturate,83.74
4,6,ceil,saturate,97.3
4,7,ceil,saturate,98.38
4,8,ceil,saturate,98.49
5,0,ceil,saturate,9.8
5,1,ceil,saturate,9.8
5,2,ceil,saturate,9.8
5,3,ceil,saturate,9.8
5,4,ceil,saturate,10.79
5,5,ceil,saturate,83.62
5,6,ceil,saturate,97.37
5,7,ceil,saturate,98.32
5,8,ceil,saturate,98.57
