m,n,rounding,overflow,acc
0,0,ceil,saturate,9.8
0,1,ceil,saturate,9.8
0,2,ceil,saturate,9.8
0,3,ceil,saturate,12.1
0,4,ceil,saturate,32.95
0,5,ceil,saturate,86.99
0,6,ceil,saturate,97.45
0,7,ceil,saturate,98.35
0,8,ceil,saturate,98.43
1,0,ceil,saturate,9.8
1,1,ceil,saturate,9.8
1,2,ceil,saturate,9.8
1,3,ceil,saturate,12.18
1,4,ceil,saturate,33.12
1,5,ceil,saturate,87.02
1,6,ceil,saturate,97.61
1,7,ceil,saturate,98.35
1,8,ceil,saturate,98.42
2,0,ceil,saturate,9.8
2,1,ceil,saturate,9.8
2,2,ceil,saturate,9.8
2,3,ceil,saturate,12.17
2,4,ceil,saturate,33.51
2,5,ceil,saturate,87.04
2,6,ceil,saturate,97.56
2,7,ceil,saturate,98.39
2,8,ceil,saturate,98.47
3,0,ceil,saturate,9.8
3,1,ceil,saturate,9.8
3,2,ceil,saturate,9.8
3,3,ceil,saturate,12.15
3,4,ceil,saturate,33.08
3,5,ceil,saturate,86.91
3,6,ceil,saturate,97.45
3,7,ceil,saturate,98.29
3,8,ceil,saturate,98.39
4,0,ceil,saturate,9.8
4,1,ceil,saturate,9.8
4,2,ceil,saturate,9.8
4,3,ceil,saturate,12.15
4,4,ceil,saturate,33.07
4,5,ceil,saturate,86.78
4,6,ceil,saturate,97.64
4,7,ceil,saturate,98.38
4,8,ceil,saturate,98.49
5,0,ceil,saturate,9.8
5,1,ceil,saturate,9.8
5,2,ceil,saturate,9.8
5,3,ceil,saturate,12.2
5,4,ceil,saturate,33.36
5,5,ceil,saturate,87.14
5,6,ceil,saturate,97.56
5,7,ceil,saturate,98.39
5,8,ceil,saturate,98.47
