m,n,rounding,overflow,acc
0,0,stochastic,wrap,9.8
0,1,stochastic,wrap,9.8
0,2,stochastic,wrap,9.62
0,3,stochastic,wrap,9.85
0,4,stochastic,wrap,10.1
0,5,stochastic,wrap,10.02
0,6,stochastic,wrap,10.6
0,7,stochastic,wrap,10.04
0,8,stochastic,wrap,10.24
1,0,stochastic,wrap,10.23
1,1,stochastic,wrap,10.21
1,2,stochastic,wrap,10.16
1,3,stochastic,wrap,9.76
1,4,stochastic,wrap,10.58
1,5,stochastic,wrap,10.38
1,6,stochastic,wrap,10.21
1,7,stochastic,wrap,10.23
1,8,stochastic,wrap,10.04
2,0,stochastic,wrap,9.9
2,1,stochastic,wrap,9.91
2,2,stochastic,wrap,9.1
2,3,stochastic,wrap,7.73
2,4,stochastic,wrap,7.96
2,5,stochastic,wrap,7.84
2,6,stochastic,wrap,8.71
2,7,stochastic,wrap,9.67
2,8,stochastic,wrap,9.87
3,0,stochastic,wrap,10.59
3,1,stochastic,wrap,6.69
3,2,stochastic,wrap,5.05
3,3,stochastic,wrap,7.71
3,4,stochastic,wrap,18.48
3,5,stochastic,wrap,35.73
3,6,stochastic,wrap,47.56
3,7,stochastic,wrap,53.91
3,8,stochastic,wrap,56.16
4,0,stochastic,wrap,10.34
4,1,stochastic,wrap,16.29
4,2,stochastic,wrap,7.62
4,3,stochastic,wrap,31.9
4,4,stochastic,wrap,89.44
4,5,stochastic,wrap,97.29
4,6,stochastic,wrap,98.23
4,7,stochastic,wrap,98.37
4,8,stochastic,wrap,98.46
5,0,stochastic,wrap,17.77
5,1,stochastic,wrap,8.74
5,2,stochastic,wrap,7.86
5,3,stochastic,wrap,41.38
5,4,stochastic,wrap,92.42
5,5,stochastic,wrap,97.89
5,6,stochastic,wrap,98.41
5,7,stochastic,wrap,98.57
5,8,stochastic,wrap,98.49
