m,n,rounding,overflow,acc
0,0,trunc,wrap,9.8
0,1,trunc,wrap,9.8
0,2,trunc,wrap,10.18
0,3,trunc,wrap,10.01
0,4,trunc,wrap,9.64
0,5,trunc,wrap,10.48
0,6,trunc,wrap,9.88
0,7,trunc,wrap,9.82
0,8,trunc,wrap,10.01
1,0,trunc,wrap,9.8
1,1,trunc,wrap,6.5
1,2,trunc,wrap,8.17
1,3,trunc,wrap,9.69
1,4,trunc,wrap,9.8
1,5,trunc,wrap,10.22
1,6,trunc,wrap,9.98
1,7,trunc,wrap,10.13
1,8,trunc,wrap,10.56
2,0,trunc,wrap,9.8
2,1,trunc,wrap,8.88
2,2,trunc,wrap,12.61
2,3,trunc,wrap,11.92
2,4,trunc,wrap,9.41
2,5,trunc,wrap,8.88
2,6,trunc,wrap,9.44
2,7,trunc,wrap,9.68
2,8,trunc,wrap,9.76
3,0,trunc,wrap,9.8
3,1,trunc,wrap,9.8
3,2,trunc,wrap,22.5
3,3,trunc,wrap,81.17
3,4,trunc,wrap,74.82
3,5,trunc,wrap,68.25
3,6,trunc,wrap,64.13
3,7,trunc,wrap,61.84
3,8,trunc,wrap,60.2
4,0,trunc,wrap,9.8
4,1,trunc,wrap,9.8
4,2,trunc,wrap,22.98
4,3,trunc,wrap,95.54
4,4,trunc,wrap,98.26
4,5,trunc,wrap,98.46
4,6,trunc,wrap,98.45
4,7,trunc,wrap,98.39
4,8,trunc,wrap,98.49
5,0,trunc,wrap,9.8
5,1,trunc,wrap,9.8
5,2,trunc,wrap,22.64
5,3,trunc,wrap,95.61
5,4,trunc,wrap,98.27
5,5,trunc,wrap,98.49
5,6,trunc,wrap,98.54
5,7,trunc,wrap,98.56
5,8,trunc,wrap,98.5
