m,n,rounding,overflow,acc
0,0,ceil,wrap,9.8
0,1,ceil,wrap,9.8
0,2,ceil,wrap,10.24
0,3,ceil,wrap,9.73
0,4,ceil,wrap,10.68
0,5,ceil,wrap,10.18
0,6,ceil,wrap,10.65
0,7,ceil,wrap,9.78
0,8,ceil,wrap,10.46
1,0,ceil,wrap,10.49
1,1,ceil,wrap,10.27
1,2,ceil,wrap,10.3
1,3,ceil,wrap,9.75
1,4,ceil,wrap,10.57
1,5,ceil,wrap,9.81
1,6,ceil,wrap,9.95
1,7,ceil,wrap,9.98
1,8,ceil,wrap,10.0
2,0,ceil,wrap,9.89
2,1,ceil,wrap,9.84
2,2,ceil,wrap,11.01
2,3,ceil,wrap,8.15
2,4,ceil,wrap,10.12
2,5,ceil,wrap,6.92
2,6,ceil,wrap,7.31
2,7,ceil,wrap,8.49
2,8,ceil,wrap,8.16
3,0,ceil,wrap,9.24
3,1,ceil,wrap,11.77
3,2,ceil,wrap,7.57
3,3,ceil,wrap,7.43
3,4,ceil,wrap,12.35
3,5,ceil,wrap,23.76
3,6,ceil,wrap,70.55
3,7,ceil,wrap,76.12
3,8,ceil,wrap,77.78
4,0,ceil,wrap,10.17
4,1,ceil,wrap,12.03
4,2,ceil,wrap,10.29
4,3,ceil,wrap,9.6
4,4,ceil,wrap,3.32
4,5,ceil,wrap,89.1
4,6,ceil,wrap,98.09
4,7,ceil,wrap,98.59
4,8,ceil,wrap,98.7
5,0,ceil,wrap,11.29
5,1,ceil,wrap,13.86
5,2,ceil,wrap,9.88
5,3,ceil,wrap,9.79
5,4,ceil,wrap,10.34
5,5,ceil,wrap,90.15
5,6,ceil,wrap,98.14
5,7,ceil,wrap,98.6
5,8,ceil,wrap,98.69
