m,n,rounding,overflow,acc
0,0,floor,saturate,9.8
0,1,floor,saturate,9.8
0,2,floor,saturate,9.8
0,3,floor,saturate,9.82
0,4,floor,saturate,32.15
0,5,floor,saturate,91.5
0,6,floor,saturate,98.09
0,7,floor,saturate,98.61
0,8,floor,saturate,98.62
1,0,floor,saturate,9.8
1,1,floor,saturate,9.8
1,2,floor,saturate,9.8
1,3,floor,saturate,9.82
1,4,floor,saturate,32.22
1,5,floor,saturate,91.47
1,6,floor,saturate,97.96
1,7,floor,saturate,98.62
1,8,floor,saturate,98.72
2,0,floor,saturate,9.8
2,1,floor,saturate,9.8
2,2,floor,saturate,9.8
2,3,floor,saturate,9.82
2,4,floor,saturate,31.63
2,5,floor,saturate,91.49
2,6,floor,saturate,98.13
2,7,floor,saturate,98.53
2,8,floor,saturate,98.67
3,0,floor,saturate,9.8
3,1,floor,saturate,9.8
3,2,floor,saturate,9.8
3,3,floor,saturate,9.82
3,4,floor,saturate,31.97
3,5,floor,saturate,91.62
3,6,floor,saturate,98.1
3,7,floor,saturate,98.52
3,8,floor,saturate,98.64
4,0,floor,saturate,9.8
4,1,floor,saturate,9.8
4,2,floor,saturate,9.8
4,3,floor,saturate,9.82
4,4,floor,saturate,31.94
4,5,floor,saturate,91.56
4,6,floor,saturate,98.03
4,7,floor,saturate,98.57
4,8,floor,saturate,98.69
5,0,floor,saturate,9.8
5,1,floor,saturate,9.8
5,2,floor,saturate,9.8
5,3,floor,saturate,9.82
5,4,floor,saturate,31.92
5,5,floor,saturate,91.5
5,6,floor,saturate,98.07
5,7,floor,saturate,98.58
5,8,floor,saturate,98.71
