m,n,rounding,overflow,acc
0,0,trunc,saturate,9.8
0,1,trunc,saturate,9.8
0,2,trunc,saturate,10.14
0,3,trunc,saturate,97.09
0,4,trunc,saturate,98.57
0,5,trunc,saturate,98.67
0,6,trunc,saturate,98.68
0,7,trunc,saturate,98.72
0,8,trunc,saturate,98.69
1,0,trunc,saturate,9.8
1,1,trunc,saturate,9.8
1,2,trunc,saturate,10.13
1,3,trunc,saturate,97.24
1,4,trunc,saturate,98.61
1,5,trunc,saturate,98.75
1,6,trunc,saturate,98.68
1,7,trunc,saturate,98.71
1,8,trunc,saturate,98.72
2,0,trunc,saturate,9.8
2,1,trunc,saturate,9.8
2,2,trunc,saturate,10.17
2,3,trunc,saturate,97.02
2,4,trunc,saturate,98.61
2,5,trunc,saturate,98.7
2,6,trunc,saturate,98.77
2,7,trunc,saturate,98.8
2,8,trunc,saturate,98.69
3,0,trunc,saturate,9.8
3,1,trunc,saturate,9.8
3,2,trunc,saturate,10.15
3,3,trunc,saturate,97.21
3,4,trunc,saturate,98.62
3,5,trunc,saturate,98.79
3,6,trunc,saturate,98.74
3,7,trunc,saturate,98.74
3,8,trunc,saturate,98.69
4,0,trunc,saturate,9.8
4,1,trunc,saturate,9.8
4,2,trunc,saturate,10.12
4,3,trunc,saturate,97.12
4,4,trunc,saturate,98.56
4,5,trunc,saturate,98.72
4,6,trunc,saturate,98.65
4,7,trunc,saturate,98.76
4,8,trunc,saturate,98.72
5,0,trunc,saturate,9.8
5,1,trunc,saturate,9.8
5,2,trunc,saturate,10.16
5,3,trunc,saturate,97.28
5,4,trunc,saturate,98.62
5,5,trunc,saturate,98.74
5,6,trunc,saturate,98.72
5,7,trunc,saturate,98.72
5,8,trunc,saturate,98.77
