m,n,rounding,overflow,acc
0,0,trunc,wrap,9.8
0,1,trunc,wrap,9.8
0,2,trunc,wrap,9.79
0,3,trunc,wrap,10.37
0,4,trunc,wrap,10.45
0,5,trunc,wrap,10.02
0,6,trunc,wrap,10.23
0,7,trunc,wrap,10.03
0,8,trunc,wrap,9.72
1,0,trunc,wrap,9.8
1,1,trunc,wrap,9.8
1,2,trunc,wrap,8.05
1,3,trunc,wrap,8.75
1,4,trunc,wrap,9.46
1,5,trunc,wrap,10.12
1,6,trunc,wrap,11.11
1,7,trunc,wrap,9.78
1,8,trunc,wrap,10.09
2,0,trunc,wrap,9.8
2,1,trunc,wrap,9.8
2,2,trunc,wrap,8.42
2,3,trunc,wrap,9.46
2,4,trunc,wrap,10.96
2,5,trunc,wrap,9.6
2,6,trunc,wrap,7.67
2,7,trunc,wrap,6.57
2,8,trunc,wrap,6.68
3,0,trunc,wrap,9.8
3,1,trunc,wrap,9.8
3,2,trunc,wrap,10.08
3,3,trunc,wrap,94.58
3,4,trunc,wrap,95.01
3,5,trunc,wrap,90.75
3,6,trunc,wrap,85.75
3,7,trunc,wrap,82.28
3,8,trunc,wrap,80.35
4,0,trunc,wrap,9.8
4,1,trunc,wrap,9.8
4,2,trunc,wrap,10.13
4,3,trunc,wrap,97.14
4,4,trunc,wrap,98.54
4,5,trunc,wrap,98.71
4,6,trunc,wrap,98.65
4,7,trunc,wrap,98.75
4,8,trunc,wrap,98.73
5,0,trunc,wrap,9.8
5,1,trunc,wrap,9.8
5,2,trunc,wrap,10.16
5,3,trunc,wrap,97.28
5,4,trunc,wrap,98.62
5,5,trunc,wrap,98.74
5,6,trunc,wrap,98.72
5,7,trunc,wrap,98.72
5,8,trunc,wrap,98.77
