m,n,rounding,overflow,acc
0,0,stochastic,wrap,9.8
0,1,stochastic,wrap,9.8
0,2,stochastic,wrap,9.66
0,3,stochastic,wrap,10.1
0,4,stochastic,wrap,9.85
0,5,stochastic,wrap,9.72
0,6,stochastic,wrap,9.58
0,7,stochastic,wrap,10.25
0,8,stochastic,wrap,10.05
1,0,stochastic,wrap,9.6
1,1,stochastic,wrap,9.27
1,2,stochastic,wrap,9.2
1,3,stochastic,wrap,9.51
1,4,stochastic,wrap,9.17
1,5,stochastic,wrap,9.36
1,6,stochastic,wrap,9.32
1,7,stochastic,wrap,9.58
1,8,stochastic,wrap,9.34
2,0,stochastic,wrap,12.65
2,1,stochastic,wrap,18.53
2,2,stochastic,wrap,16.62
2,3,stochastic,wrap,16.49
2,4,stochastic,wrap,15.38
2,5,stochastic,wrap,15.24
2,6,stochastic,wrap,14.63
2,7,stochastic,wrap,14.98
2,8,stochastic,wrap,14.87
3,0,stochastic,wrap,89.93
3,1,stochastic,wrap,90.04
3,2,stochastic,wrap,90.7
3,3,stochastic,wrap,90.46
3,4,stochastic,wrap,90.11
3,5,stochastic,wrap,90.21
3,6,stochastic,wrap,90.22
3,7,stochastic,wrap,90.37
3,8,stochastic,wrap,90.19
4,0,stochastic,wrap,96.46
4,1,stochastic,wrap,95.69
4,2,stochastic,wrap,96.39
4,3,stochastic,wrap,96.31
4,4,stochastic,wrap,96.6
4,5,stochastic,wrap,96.38
4,6,stochastic,wrap,96.4
4,7,stochastic,wrap,96.45
4,8,stochastic,wrap,96.48
5,0,stochastic,wrap,96.42
5,1,stochastic,wrap,95.68
5,2,stochastic,wrap,96.29
5,3,stochastic,wrap,96.5
5,4,stochastic,wrap,96.58
5,5,stochastic,wrap,96.43
5,6,stochastic,wrap,96.43
5,7,stochastic,wrap,96.61
5,8,stochastic,wrap,96.57
