m,n,rounding,overflow,acc
0,0,floor,wrap,9.8
0,1,floor,wrap,9.8
0,2,floor,wrap,10.18
0,3,floor,wrap,9.95
0,4,floor,wrap,9.68
0,5,floor,wrap,10.25
0,6,floor,wrap,9.94
0,7,floor,wrap,10.38
0,8,floor,wrap,9.98
1,0,floor,wrap,9.69
1,1,floor,wrap,9.88
1,2,floor,wrap,9.6
1,3,floor,wrap,10.05
1,4,floor,wrap,9.53
1,5,floor,wrap,9.86
1,6,floor,wrap,9.72
1,7,floor,wrap,10.18
1,8,floor,wrap,9.67
2,0,floor,wrap,5.25
2,1,floor,wrap,5.46
2,2,floor,wrap,4.36
2,3,floor,wrap,4.17
2,4,floor,wrap,4.28
2,5,floor,wrap,3.97
2,6,floor,wrap,4.03
2,7,floor,wrap,3.86
2,8,floor,wrap,3.97
3,0,floor,wrap,91.88
3,1,floor,wrap,92.22
3,2,floor,wrap,92.46
3,3,floor,wrap,91.61
3,4,floor,wrap,91.71
3,5,floor,wrap,91.88
3,6,floor,wrap,91.27
3,7,floor,wrap,91.04
3,8,floor,wrap,90.85
4,0,floor,wrap,95.96
4,1,floor,wrap,96.46
4,2,floor,wrap,97.56
4,3,floor,wrap,97.7
4,4,floor,wrap,97.69
4,5,floor,wrap,97.66
4,6,floor,wrap,97.77
4,7,floor,wrap,97.84
4,8,floor,wrap,97.76
5,0,floor,wrap,95.88
5,1,floor,wrap,96.36
5,2,floor,wrap,97.46
5,3,floor,wrap,97.69
5,4,floor,wrap,97.64
5,5,floor,wrap,97.68
5,6,floor,wrap,97.7
5,7,floor,wrap,97.72
5,8,floor,wrap,97.73
