m,n,rounding,overflow,acc
0,0,stochastic,saturate,9.8
0,1,stochastic,saturate,9.8
0,2,stochastic,saturate,97.64
0,3,stochastic,saturate,97.82
0,4,stochastic,saturate,97.74
0,5,stochastic,saturate,97.62
0,6,stochastic,saturate,97.73
0,7,stochastic,saturate,97.77
0,8,stochastic,saturate,97.8
1,0,stochastic,saturate,97.74
1,1,stochastic,saturate,97.46
1,2,stochastic,saturate,97.69
1,3,stochastic,saturate,97.75
1,4,stochastic,saturate,97.69
1,5,stochastic,saturate,97.72
1,6,stochastic,saturate,97.66
1,7,stochastic,saturate,97.82
1,8,stochastic,saturate,97.67
2,0,stochastic,saturate,97.72
2,1,stochastic,saturate,97.45
2,2,stochastic,saturate,97.66
2,3,stochastic,saturate,97.71
2,4,stochastic,saturate,97.72
2,5,stochastic,saturate,97.62
2,6,stochastic,saturate,97.68
2,7,stochastic,saturate,97.68
2,8,stochastic,saturate,97.83
3,0,stochastic,saturate,97.68
3,1,stochastic,saturate,97.39
3,2,stochastic,saturate,97.67
3,3,stochastic,saturate,97.63
3,4,stochastic,saturate,97.68
3,5,stochastic,saturate,97.69
3,6,stochastic,saturate,97.8
3,7,stochastic,saturate,97.74
3,8,stochastic,saturate,97.72
4,0,stochastic,saturate,97.6
4,1,stochastic,saturate,97.46
4,2,stochastic,saturate,97.6
4,3,stochastic,saturate,97.79
4,4,stochastic,saturate,97.65
4,5,stochastic,saturate,97.73
4,6,stochastic,saturate,97.7
4,7,stochastic,saturate,97.81
4,8,stochastic,saturate,97.71
5,0,stochastic,saturate,97.78
5,1,stochastic,saturate,97.41
5,2,stochastic,saturate,97.61
5,3,stochastic,saturate,97.67
5,4,stochastic,saturate,97.67
5,5,stochastic,saturate,97.71
5,6,stochastic,saturate,97.82
5,7,stochastic,saturate,97.79
5,8,stochastic,saturate,97.79
