m,n,rounding,overflow,acc
0,0,ceil,wrap,9.8
0,1,ceil,wrap,9.8
0,2,ceil,wrap,10.3
0,3,ceil,wrap,9.9
0,4,ceil,wrap,9.53
0,5,ceil,wrap,10.33
0,6,ceil,wrap,9.61
0,7,ceil,wrap,9.89
0,8,ceil,wrap,10.05
1,0,ceil,wrap,10.08
1,1,ceil,wrap,10.37
1,2,ceil,wrap,9.78
1,3,ceil,wrap,9.77
1,4,ceil,wrap,9.82
1,5,ceil,wrap,10.14
1,6,ceil,wrap,9.81
1,7,ceil,wrap,10.18
1,8,ceil,wrap,9.6
2,0,ceil,wrap,11.14
2,1,ceil,wrap,9.95
2,2,ceil,wrap,9.98
2,3,ceil,wrap,10.28
2,4,ceil,wrap,9.23
2,5,ceil,wrap,9.94
2,6,ceil,wrap,9.91
2,7,ceil,wrap,9.81
2,8,ceil,wrap,9.81
3,0,ceil,wrap,61.23
3,1,ceil,wrap,58.51
3,2,ceil,wrap,53.21
3,3,ceil,wrap,50.01
3,4,ceil,wrap,49.28
3,5,ceil,wrap,48.32
3,6,ceil,wrap,47.53
3,7,ceil,wrap,48.03
3,8,ceil,wrap,47.54
4,0,ceil,wrap,97.22
4,1,ceil,wrap,97.63
4,2,ceil,wrap,97.7
4,3,ceil,wrap,97.63
4,4,ceil,wrap,97.57
4,5,ceil,wrap,97.64
4,6,ceil,wrap,97.55
4,7,ceil,wrap,97.62
4,8,ceil,wrap,97.69
5,0,ceil,wrap,97.32
5,1,ceil,wrap,97.9
5,2,ceil,wrap,97.82
5,3,ceil,wrap,97.77
5,4,ceil,wrap,97.79
5,5,ceil,wrap,97.79
5,6,ceil,wrap,97.7
5,7,ceil,wrap,97.73
5,8,ceil,wrap,97.72
