m,n,rounding,overflow,acc
0,0,nearest,saturate,9.8
0,1,nearest,saturate,9.8
0,2,nearest,saturate,97.6
0,3,nearest,saturate,97.69
0,4,nearest,saturate,97.81
0,5,nearest,saturate,97.7
0,6,nearest,saturate,97.69
0,7,nearest,saturate,97.63
0,8,nearest,saturate,97.74
1,0,nearest,saturate,97.9
1,1,nearest,saturate,97.7
1,2,nearest,saturate,97.62
1,3,nearest,saturate,97.68
1,4,nearest,saturate,97.78
1,5,nearest,saturate,97.8
1,6,nearest,saturate,97.84
1,7,nearest,saturate,97.72
1,8,nearest,saturate,97.75
2,0,nearest,saturate,97.77
2,1,nearest,saturate,97.63
2,2,nearest,saturate,97.65
2,3,nearest,saturate,97.74
2,4,nearest,saturate,97.7
2,5,nearest,saturate,97.72
2,6,nearest,saturate,97.63
2,7,nearest,saturate,97.8
2,8,nearest,saturate,97.78
3,0,nearest,saturate,97.87
3,1,nearest,saturate,97.57
3,2,nearest,saturate,97.61
3,3,nearest,saturate,97.67
3,4,nearest,saturate,97.71
3,5,nearest,saturate,97.73
3,6,nearest,saturate,97.81
3,7,nearest,saturate,97.72
3,8,nearest,saturate,97.73
4,0,nearest,saturate,97.73
4,1,nearest,saturate,97.64
4,2,nearest,saturate,97.68
4,3,nearest,saturate,97.68
4,4,nearest,saturate,97.82
4,5,nearest,saturate,97.81
4,6,nearest,saturate,97.69
4,7,nearest,saturate,97.71
4,8,nearest,saturate,97.87
5,0,nearest,saturate,97.85
5,1,nearest,saturate,97.59
5,2,nearest,saturate,97.73
5,3,nearest,saturate,97.79
5,4,nearest,saturate,97.74
5,5,nearest,saturate,97.74
5,6,nearest,saturate,97.77
5,7,nearest,saturate,97.71
5,8,nearest,saturate,97.74
