m,n,rounding,overflow,acc
0,0,nearest,wrap,9.8
0,1,nearest,wrap,9.8
0,2,nearest,wrap,10.23
0,3,nearest,wrap,10.19
0,4,nearest,wrap,10.77
0,5,nearest,wrap,9.86
0,6,nearest,wrap,10.23
0,7,nearest,wrap,9.98
0,8,nearest,wrap,10.29
1,0,nearest,wrap,10.17
1,1,nearest,wrap,10.3
1,2,nearest,wrap,10.74
1,3,nearest,wrap,10.18
1,4,nearest,wrap,10.08
1,5,nearest,wrap,10.09
1,6,nearest,wrap,10.64
1,7,nearest,wrap,9.56
1,8,nearest,wrap,9.66
2,0,nearest,wrap,10.1
2,1,nearest,wrap,9.57
2,2,nearest,wrap,9.36
2,3,nearest,wrap,9.97
2,4,nearest,wrap,9.37
2,5,nearest,wrap,10.0
2,6,nearest,wrap,9.76
2,7,nearest,wrap,9.62
2,8,nearest,wrap,9.74
3,0,nearest,wrap,58.39
3,1,nearest,wrap,53.06
3,2,nearest,wrap,49.53
3,3,nearest,wrap,48.84
3,4,nearest,wrap,47.68
3,5,nearest,wrap,47.74
3,6,nearest,wrap,47.45
3,7,nearest,wrap,47.81
3,8,nearest,wrap,47.56
4,0,nearest,wrap,97.58
4,1,nearest,wrap,97.52
4,2,nearest,wrap,97.57
4,3,nearest,wrap,97.56
4,4,nearest,wrap,97.61
4,5,nearest,wrap,97.65
4,6,nearest,wrap,97.57
4,7,nearest,wrap,97.59
4,8,nearest,wrap,97.71
5,0,nearest,wrap,97.85
5,1,nearest,wrap,97.59
5,2,nearest,wrap,97.73
5,3,nearest,wrap,97.79
5,4,nearest,wrap,97.74
5,5,nearest,wrap,97.74
5,6,nearest,wrap,97.77
5,7,nearest,wrap,97.71
5,8,nearest,wrap,97.74
