m,n,rounding,overflow,acc
0,0,stochastic,saturate,9.8
0,1,stochastic,saturate,9.8
0,2,stochastic,saturate,97.73
0,3,stochastic,saturate,97.68
0,4,stochastic,saturate,97.68
0,5,stochastic,saturate,97.68
0,6,stochastic,saturate,97.8
0,7,stochastic,saturate,97.87
0,8,stochastic,saturate,97.72
1,0,stochastic,saturate,97.68
1,1,stochastic,saturate,97.61
1,2,stochastic,saturate,97.73
1,3,stochastic,saturate,97.8
1,4,stochastic,saturate,97.72
1,5,stochastic,saturate,97.69
1,6,stochastic,saturate,97.75
1,7,stochastic,saturate,97.7
1,8,stochastic,saturate,97.8
2,0,stochastic,saturate,97.75
2,1,stochastic,saturate,97.51
2,2,stochastic,saturate,97.67
2,3,stochastic,saturate,97.73
2,4,stochastic,saturate,97.77
2,5,stochastic,saturate,97.8
2,6,stochastic,saturate,97.79
2,7,stochastic,saturate,97.81
2,8,stochastic,saturate,97.84
3,0,stochastic,saturate,97.64
3,1,stochastic,saturate,97.61
3,2,stochastic,saturate,97.62
3,3,stochastic,saturate,97.73
3,4,stochastic,saturate,97.63
3,5,stochastic,saturate,97.79
3,6,stochastic,saturate,97.81
3,7,stochastic,saturate,97.79
3,8,stochastic,saturate,97.73
4,0,stochastic,saturate,97.75
4,1,stochastic,saturate,97.6
4,2,stochastic,saturate,97.71
4,3,stochastic,saturate,97.65
4,4,stochastic,saturate,97.79
4,5,stochastic,saturate,97.84
4,6,stochastic,saturate,97.8
4,7,stochastic,saturate,97.76
4,8,stochastic,saturate,97.79
5,0,stochastic,saturate,97.71
5,1,stochastic,saturate,97.5
5,2,stochastic,saturate,97.71
5,3,stochastic,saturate,97.68
5,4,stochastic,saturate,97.74
5,5,stochastic,saturate,97.64
5,6,stochastic,saturate,97.81
5,7,stochastic,saturate,97.72
5,8,stochastic,saturate,97.79
