m,n,rounding,overflow,acc
0,0,trunc,saturate,9.8
0,1,trunc,saturate,9.8
0,2,trunc,saturate,97.54
0,3,trunc,saturate,97.7
0,4,trunc,saturate,97.79
0,5,trunc,saturate,97.69
0,6,trunc,saturate,97.72
0,7,trunc,saturate,97.64
0,8,trunc,saturate,97.77
1,0,trunc,saturate,96.9
1,1,trunc,saturate,97.02
1,2,trunc,saturate,97.63
1,3,trunc,saturate,97.69
1,4,trunc,saturate,97.78
1,5,trunc,saturate,97.72
1,6,trunc,saturate,97.79
1,7,trunc,saturate,97.78
1,8,trunc,saturate,97.75
2,0,trunc,saturate,96.83
2,1,trunc,saturate,97.09
2,2,trunc,saturate,97.57
2,3,trunc,saturate,97.66
2,4,trunc,saturate,97.74
2,5,trunc,saturate,97.7
2,6,trunc,saturate,97.66
2,7,trunc,saturate,97.8
2,8,trunc,saturate,97.76
3,0,trunc,saturate,97.02
3,1,trunc,saturate,96.96
3,2,trunc,saturate,97.58
3,3,trunc,saturate,97.72
3,4,trunc,saturate,97.71
3,5,trunc,saturate,97.69
3,6,trunc,saturate,97.83
3,7,trunc,saturate,97.69
3,8,trunc,saturate,97.71
4,0,trunc,saturate,97.01
4,1,trunc,saturate,97.09
4,2,trunc,saturate,97.61
4,3,trunc,saturate,97.57
4,4,trunc,saturate,97.82
4,5,trunc,saturate,97.76
4,6,trunc,saturate,97.66
4,7,trunc,saturate,97.7
4,8,trunc,saturate,97.86
5,0,trunc,saturate,96.85
5,1,trunc,saturate,97.07
5,2,trunc,saturate,97.61
5,3,trunc,saturate,97.64
5,4,trunc,saturate,97.72
5,5,trunc,saturate,97.73
5,6,trunc,saturate,97.76
5,7,trunc,saturate,97.71
5,8,trunc,saturate,97.7
