m,n,rounding,overflow,acc
0,0,trunc,wrap,9.8
0,1,trunc,wrap,9.8
0,2,trunc,wrap,9.83
0,3,trunc,wrap,10.37
0,4,trunc,wrap,10.56
0,5,trunc,wrap,10.41
0,6,trunc,wrap,10.31
0,7,trunc,wrap,9.84
0,8,trunc,wrap,9.77
1,0,trunc,wrap,8.73
1,1,trunc,wrap,9.2
1,2,trunc,wrap,9.99
1,3,trunc,wrap,10.02
1,4,trunc,wrap,9.84
1,5,trunc,wrap,10.04
1,6,trunc,wrap,9.77
1,7,trunc,wrap,10.35
1,8,trunc,wrap,9.72
2,0,trunc,wrap,9.83
2,1,trunc,wrap,8.82
2,2,trunc,wrap,9.37
2,3,trunc,wrap,9.97
2,4,trunc,wrap,9.53
2,5,trunc,wrap,9.78
2,6,trunc,wrap,9.8
2,7,trunc,wrap,9.55
2,8,trunc,wrap,9.73
3,0,trunc,wrap,66.95
3,1,trunc,wrap,57.01
3,2,trunc,wrap,53.22
3,3,trunc,wrap,50.06
3,4,trunc,wrap,48.68
3,5,trunc,wrap,47.57
3,6,trunc,wrap,47.23
3,7,trunc,wrap,47.77
3,8,trunc,wrap,47.29
4,0,trunc,wrap,96.9
4,1,trunc,wrap,96.95
4,2,trunc,wrap,97.43
4,3,trunc,wrap,97.39
4,4,trunc,wrap,97.61
4,5,trunc,wrap,97.58
4,6,trunc,wrap,97.52
4,7,trunc,wrap,97.59
4,8,trunc,wrap,97.71
5,0,trunc,wrap,96.85
5,1,trunc,wrap,97.07
5,2,trunc,wrap,97.61
5,3,trunc,wrap,97.64
5,4,trunc,wrap,97.72
5,5,trunc,wrap,97.73
5,6,trunc,wrap,97.76
5,7,trunc,wrap,97.71
5,8,trunc,wrap,97.7
