m,n,rounding,overflow,acc
0,0,ceil,saturate,9.8
0,1,ceil,saturate,9.8
0,2,ceil,saturate,98.08
0,3,ceil,saturate,98.18
0,4,ceil,saturate,98.23
0,5,ceil,saturate,98.12
0,6,ceil,saturate,98.12
0,7,ceil,saturate,98.24
0,8,ceil,saturate,98.1
1,0,ceil,saturate,97.69
1,1,ceil,saturate,98.19
1,2,ceil,saturate,98.11
1,3,ceil,saturate,98.18
1,4,ceil,saturate,98.23
1,5,ceil,saturate,97.96
1,6,ceil,saturate,98.13
1,7,ceil,saturate,98.16
1,8,ceil,saturate,98.14
2,0,ceil,saturate,97.68
2,1,ceil,saturate,98.15
2,2,ceil,saturate,98.11
2,3,ceil,saturate,98.16
2,4,ceil,saturate,98.26
2,5,ceil,saturate,98.11
2,6,ceil,saturate,98.16
2,7,ceil,saturate,98.19
2,8,ceil,saturate,98.13
3,0,ceil,saturate,97.73
3,1,ceil,saturate,98.2
3,2,ceil,saturate,98.07
3,3,ceil,saturate,98.12
3,4,ceil,saturate,98.21
3,5,ceil,saturate,98.17
3,6,ceil,saturate,98.12
3,7,ceil,saturate,98.14
3,8,ceil,saturate,98.11
4,0,ceil,saturate,97.62
4,1,ceil,saturate,98.19
4,2,ceil,saturate,98.1
4,3,ceil,saturate,98.03
4,4,ceil,saturate,98.23
4,5,ceil,saturate,98.12
4,6,ceil,saturate,98.15
4,7,ceil,saturate,98.1
4,8,ceil,saturate,98.15
5,0,ceil,saturate,97.68
5,1,ceil,saturate,98.22
5,2,ceil,saturate,98.19
5,3,ceil,saturate,98.16
5,4,ceil,saturate,98.17
5,5,ceil,saturate,98.02
5,6,ceil,saturate,98.17
5,7,ceil,saturate,98.12
5,8,ceil,saturate,98.04
