m,n,rounding,overflow,acc,bits
0,0,floor,saturate,9.8,0
0,0,floor,wrap,9.8,0
0,0,ceil,saturate,9.8,0
0,0,ceil,wrap,9.8,0
0,0,trunc,saturate,9.8,0
0,0,trunc,wrap,9.8,0
0,0,nearest,saturate,9.8,0
0,0,nearest,wrap,9.8,0
0,0,stochastic,saturate,9.8,0
0,0,stochastic,wrap,9.8,0
1,0,stochastic,saturate,98.18,1
1,0,nearest,saturate,98.13,1
1,0,trunc,saturate,97.77,1
1,0,floor,saturate,97.69,1
1,0,ceil,saturate,97.69,1
1,0,stochastic,wrap,10.74,1
1,0,ceil,wrap,9.96,1
0,1,floor,saturate,9.8,1
0,1,floor,wrap,9.8,1
0,1,ceil,saturate,9.8,1
0,1,ceil,wrap,9.8,1
0,1,trunc,saturate,9.8,1
0,1,trunc,wrap,9.8,1
0,1,nearest,saturate,9.8,1
0,1,nearest,wrap,9.8,1
0,1,stochastic,saturate,9.8,1
0,1,stochastic,wrap,9.8,1
1,0,floor,wrap,9.79,1
1,0,nearest,wrap,9.69,1
1,0,trunc,wrap,9.47,1
1,1,ceil,saturate,98.19,2
1,1,stochastic,saturate,98.18,2
1,1,nearest,saturate,98.15,2
0,2,stochastic,saturate,98.15,2
2,0,stochastic,saturate,98.14,2
0,2,trunc,saturate,98.11,2
0,2,nearest,saturate,98.11,2
2,0,nearest,saturate,98.11,2
0,2,floor,saturate,98.1,2
0,2,ceil,saturate,98.08,2
1,1,trunc,saturate,97.94,2
1,1,floor,saturate,97.9,2
2,0,trunc,saturate,97.75,2
2,0,ceil,saturate,97.68,2
2,0,floor,saturate,97.62,2
1,1,floor,wrap,10.43,2
1,1,ceil,wrap,10.32,2
0,2,floor,wrap,10.26,2
1,1,nearest,wrap,10.23,2
1,1,stochastic,wrap,10.17,2
0,2,stochastic,wrap,10.13,2
0,2,nearest,wrap,9.78,2
2,0,trunc,wrap,9.7,2
2,0,ceil,wrap,9.67,2
0,2,ceil,wrap,9.65,2
0,2,trunc,wrap,9.49,2
1,1,trunc,wrap,9.31,2
2,0,stochastic,wrap,9.0,2
2,0,floor,wrap,8.99,2
2,0,nearest,wrap,8.65,2
1,2,nearest,saturate,98.26,3
2,1,nearest,saturate,98.22,3
0,3,trunc,saturate,98.21,3
1,2,stochastic,saturate,98.21,3
0,3,floor,saturate,98.2,3
1,2,floor,saturate,98.19,3
0,3,ceil,saturate,98.18,3
0,3,nearest,saturate,98.17,3
3,0,nearest,saturate,98.16,3
0,3,stochastic,saturate,98.16,3
2,1,ceil,saturate,98.15,3
1,2,trunc,saturate,98.12,3
1,2,ceil,saturate,98.11,3
2,1,stochastic,saturate,98.1,3
3,0,stochastic,saturate,98.08,3
2,1,trunc,saturate,97.89,3
2,1,floor,saturate,97.85,3
3,0,ceil,saturate,97.73,3
3,0,trunc,saturate,97.63,3
3,0,floor,saturate,97.58,3
3,0,trunc,wrap,54.67,3
3,0,nearest,wrap,42.57,3
3,0,ceil,wrap,37.28,3
3,0,floor,wrap,34.53,3
3,0,stochastic,wrap,31.82,3
1,2,trunc,wrap,10.49,3
1,2,nearest,wrap,10.41,3
1,2,stochastic,wrap,10.25,3
1,2,floor,wrap,10.24,3
1,2,ceil,wrap,9.89,3
0,3,trunc,wrap,9.85,3
0,3,stochastic,wrap,9.85,3
0,3,ceil,wrap,9.82,3
0,3,floor,wrap,9.73,3
0,3,nearest,wrap,9.73,3
2,1,floor,wrap,9.4,3
2,1,trunc,wrap,8.93,3
2,1,stochastic,wrap,8.64,3
2,1,ceil,wrap,8.43,3
2,1,nearest,wrap,8.41,3
2,2,stochastic,saturate,98.26,4
1,3,floor,saturate,98.24,4
0,4,ceil,saturate,98.23,4
1,3,trunc,saturate,98.23,4
4,0,stochastic,saturate,98.22,4
3,1,ceil,saturate,98.2,4
3,1,nearest,saturate,98.2,4
2,2,trunc,saturate,98.19,4
0,4,stochastic,saturate,98.19,4
1,3,ceil,saturate,98.18,4
2,2,floor,saturate,98.17,4
1,3,nearest,saturate,98.17,4
0,4,floor,saturate,98.16,4
0,4,trunc,saturate,98.16,4
4,0,nearest,saturate,98.16,4
0,4,nearest,saturate,98.15,4
2,2,nearest,saturate,98.15,4
1,3,stochastic,saturate,98.15,4
2,2,ceil,saturate,98.11,4
3,1,stochastic,saturate,98.01,4
4,0,nearest,wrap,97.91,4
3,1,trunc,saturate,97.88,4
3,1,floor,saturate,97.86,4
4,0,trunc,saturate,97.85,4
4,0,stochastic,wrap,97.82,4
4,0,floor,saturate,97.72,4
4,0,ceil,saturate,97.62,4
4,0,trunc,wrap,97.57,4
4,0,ceil,wrap,97.48,4
4,0,floor,wrap,97.08,4
3,1,trunc,wrap,44.81,4
3,1,ceil,wrap,42.76,4
3,1,nearest,wrap,39.96,4
3,1,floor,wrap,34.96,4
3,1,stochastic,wrap,34.92,4
1,3,ceil,wrap,10.34,4
0,4,floor,wrap,10.29,4
0,4,ceil,wrap,10.26,4
1,3,trunc,wrap,10.24,4
1,3,nearest,wrap,10.11,4
1,3,floor,wrap,10.1,4
0,4,stochastic,wrap,9.93,4
0,4,trunc,wrap,9.9,4
1,3,stochastic,wrap,9.78,4
0,4,nearest,wrap,9.52,4
2,2,floor,wrap,8.95,4
2,2,stochastic,wrap,8.84,4
2,2,nearest,wrap,8.81,4
2,2,trunc,wrap,8.52,4
2,2,ceil,wrap,8.11,4
1,4,nearest,saturate,98.28,5
3,2,stochastic,saturate,98.26,5
1,4,floor,saturate,98.25,5
1,4,trunc,saturate,98.24,5
1,4,ceil,saturate,98.23,5
2,3,floor,saturate,98.2,5
2,3,trunc,saturate,98.2,5
0,5,floor,saturate,98.19,5
4,1,ceil,saturate,98.19,5
0,5,nearest,saturate,98.19,5
4,1,nearest,saturate,98.18,5
3,2,nearest,saturate,98.17,5
2,3,ceil,saturate,98.16,5
0,5,trunc,saturate,98.16,5
3,2,trunc,saturate,98.16,5
2,3,stochastic,saturate,98.16,5
4,1,stochastic,saturate,98.16,5
0,5,stochastic,saturate,98.15,5
1,4,stochastic,saturate,98.15,5
5,0,stochastic,saturate,98.13,5
5,0,stochastic,wrap,98.13,5
3,2,floor,saturate,98.12,5
0,5,ceil,saturate,98.12,5
2,3,nearest,saturate,98.12,5
5,0,nearest,saturate,98.08,5
5,0,nearest,wrap,98.08,5
3,2,ceil,saturate,98.07,5
4,1,trunc,saturate,97.93,5
4,1,ceil,wrap,97.9,5
4,1,floor,saturate,97.87,5
4,1,nearest,wrap,97.77,5
5,0,trunc,saturate,97.71,5
5,0,trunc,wrap,97.71,5
4,1,stochastic,wrap,97.69,5
5,0,ceil,saturate,97.68,5
5,0,ceil,wrap,97.68,5
5,0,floor,saturate,97.66,5
5,0,floor,wrap,97.66,5
4,1,trunc,wrap,97.48,5
4,1,floor,wrap,97.23,5
3,2,trunc,wrap,39.92,5
3,2,ceil,wrap,37.41,5
3,2,nearest,wrap,36.24,5
3,2,floor,wrap,35.36,5
3,2,stochastic,wrap,34.12,5
1,4,nearest,wrap,10.37,5
0,5,stochastic,wrap,10.35,5
1,4,stochastic,wrap,10.26,5
0,5,floor,wrap,10.13,5
0,5,trunc,wrap,9.95,5
0,5,ceil,wrap,9.93,5
1,4,trunc,wrap,9.89,5
1,4,floor,wrap,9.84,5
0,5,nearest,wrap,9.83,5
1,4,ceil,wrap,9.43,5
2,3,trunc,wrap,9.01,5
2,3,floor,wrap,8.73,5
2,3,ceil,wrap,8.7,5
2,3,nearest,wrap,8.54,5
2,3,stochastic,wrap,8.06,5
0,6,stochastic,saturate,98.27,6
2,4,ceil,saturate,98.26,6
5,1,nearest,saturate,98.26,6
5,1,nearest,wrap,98.26,6
1,5,stochastic,saturate,98.26,6
5,1,ceil,saturate,98.22,6
5,1,ceil,wrap,98.22,6
4,2,nearest,saturate,98.2,6
2,4,nearest,saturate,98.19,6
2,4,floor,saturate,98.18,6
3,3,stochastic,saturate,98.18,6
2,4,trunc,saturate,98.17,6
4,2,stochastic,saturate,98.16,6
0,6,floor,saturate,98.15,6
0,6,trunc,saturate,98.14,6
0,6,nearest,saturate,98.14,6
2,4,stochastic,saturate,98.13,6
3,3,floor,saturate,98.12,6
0,6,ceil,saturate,98.12,6
3,3,ceil,saturate,98.12,6
3,3,trunc,saturate,98.12,6
4,2,ceil,saturate,98.1,6
1,5,trunc,saturate,98.1,6
4,2,trunc,saturate,98.1,6
1,5,floor,saturate,98.08,6
4,2,floor,saturate,98.08,6
3,3,nearest,saturate,98.08,6
5,1,stochastic,saturate,98.08,6
5,1,stochastic,wrap,98.08,6
1,5,nearest,saturate,98.06,6
1,5,ceil,saturate,97.96,6
5,1,trunc,saturate,97.96,6
5,1,trunc,wrap,97.96,6
5,1,floor,saturate,97.9,6
5,1,floor,wrap,97.9,6
4,2,ceil,wrap,97.87,6
4,2,nearest,wrap,97.82,6
4,2,trunc,wrap,97.8,6
4,2,stochastic,wrap,97.75,6
4,2,floor,wrap,97.69,6
3,3,trunc,wrap,36.18,6
3,3,ceil,wrap,34.6,6
3,3,floor,wrap,34.55,6
3,3,nearest,wrap,34.18,6
3,3,stochastic,wrap,33.06,6
1,5,floor,wrap,10.54,6
1,5,nearest,wrap,10.46,6
1,5,trunc,wrap,10.43,6
0,6,stochastic,wrap,10.36,6
0,6,nearest,wrap,10.27,6
0,6,floor,wrap,10.16,6
1,5,stochastic,wrap,9.99,6
1,5,ceil,wrap,9.75,6
0,6,ceil,wrap,9.65,6
0,6,trunc,wrap,9.62,6
2,4,floor,wrap,9.18,6
2,4,nearest,wrap,9.1,6
2,4,trunc,wrap,8.78,6
2,4,stochastic,wrap,8.67,6
2,4,ceil,wrap,8.51,6
0,7,ceil,saturate,98.24,7
0,7,nearest,saturate,98.22,7
0,7,floor,saturate,98.21,7
3,4,ceil,saturate,98.21,7
0,7,trunc,saturate,98.21,7
5,2,nearest,saturate,98.2,7
5,2,nearest,wrap,98.2,7
5,2,floor,saturate,98.19,7
5,2,floor,wrap,98.19,7
5,2,ceil,saturate,98.19,7
5,2,ceil,wrap,98.19,7
1,6,nearest,saturate,98.19,7
1,6,floor,saturate,98.18,7
0,7,stochastic,saturate,98.18,7
3,4,stochastic,saturate,98.18,7
5,2,stochastic,saturate,98.18,7
5,2,stochastic,wrap,98.18,7
2,5,floor,saturate,98.17,7
1,6,trunc,saturate,98.17,7
3,4,nearest,saturate,98.17,7
2,5,trunc,saturate,98.16,7
5,2,trunc,saturate,98.16,7
5,2,trunc,wrap,98.16,7
4,3,stochastic,saturate,98.16,7
3,4,trunc,saturate,98.15,7
3,4,floor,saturate,98.14,7
2,5,nearest,saturate,98.14,7
1,6,ceil,saturate,98.13,7
1,6,stochastic,saturate,98.12,7
2,5,ceil,saturate,98.11,7
2,5,stochastic,saturate,98.1,7
4,3,floor,saturate,98.09,7
4,3,trunc,saturate,98.07,7
4,3,nearest,saturate,98.07,7
4,3,ceil,saturate,98.03,7
4,3,stochastic,wrap,97.79,7
4,3,floor,wrap,97.78,7
4,3,trunc,wrap,97.77,7
4,3,ceil,wrap,97.73,7
4,3,nearest,wrap,97.7,7
3,4,trunc,wrap,34.8,7
3,4,ceil,wrap,34.2,7
3,4,nearest,wrap,33.88,7
3,4,floor,wrap,33.69,7
3,4,stochastic,wrap,33.2,7
0,7,floor,wrap,10.29,7
0,7,nearest,wrap,10.28,7
1,6,stochastic,wrap,10.0,7
1,6,ceil,wrap,9.97,7
1,6,nearest,wrap,9.97,7
1,6,trunc,wrap,9.9,7
0,7,stochastic,wrap,9.72,7
1,6,floor,wrap,9.63,7
0,7,ceil,wrap,9.57,7
0,7,trunc,wrap,9.56,7
2,5,trunc,wrap,9.14,7
2,5,stochastic,wrap,8.83,7
2,5,floor,wrap,8.76,7
2,5,ceil,wrap,8.63,7
2,5,nearest,wrap,8.17,7
3,5,stochastic,saturate,98.25,8
4,4,ceil,saturate,98.23,8
5,3,trunc,saturate,98.2,8
5,3,trunc,wrap,98.2,8
4,4,nearest,saturate,98.2,8
4,4,trunc,saturate,98.18,8
3,5,nearest,saturate,98.18,8
4,4,stochastic,saturate,98.18,8
3,5,floor,saturate,98.17,8
5,3,floor,saturate,98.17,8
5,3,floor,wrap,98.17,8
3,5,ceil,saturate,98.17,8
1,7,trunc,saturate,98.17,8
3,5,trunc,saturate,98.17,8
1,7,nearest,saturate,98.17,8
1,7,floor,saturate,98.16,8
1,7,ceil,saturate,98.16,8
2,6,ceil,saturate,98.16,8
5,3,ceil,saturate,98.16,8
5,3,ceil,wrap,98.16,8
2,6,floor,saturate,98.14,8
4,4,floor,saturate,98.14,8
2,6,trunc,saturate,98.14,8
5,3,nearest,saturate,98.14,8
5,3,nearest,wrap,98.14,8
1,7,stochastic,saturate,98.14,8
2,6,nearest,saturate,98.13,8
5,3,stochastic,saturate,98.12,8
5,3,stochastic,wrap,98.12,8
0,8,ceil,saturate,98.1,8
2,6,stochastic,saturate,98.1,8
0,8,stochastic,saturate,98.09,8
0,8,trunc,saturate,98.08,8
0,8,nearest,saturate,98.08,8
0,8,floor,saturate,98.07,8
4,4,ceil,wrap,97.83,8
4,4,stochastic,wrap,97.83,8
4,4,trunc,wrap,97.82,8
4,4,nearest,wrap,97.8,8
4,4,floor,wrap,97.77,8
3,5,trunc,wrap,33.75,8
3,5,ceil,wrap,33.35,8
3,5,nearest,wrap,33.23,8
3,5,floor,wrap,33.17,8
3,5,stochastic,wrap,33.1,8
0,8,ceil,wrap,10.65,8
1,7,stochastic,wrap,10.53,8
0,8,stochastic,wrap,10.44,8
0,8,trunc,wrap,10.43,8
1,7,floor,wrap,10.24,8
1,7,nearest,wrap,10.24,8
1,7,trunc,wrap,9.95,8
0,8,floor,wrap,9.86,8
0,8,nearest,wrap,9.73,8
1,7,ceil,wrap,9.6,8
2,6,floor,wrap,9.39,8
2,6,trunc,wrap,9.37,8
2,6,nearest,wrap,9.25,8
2,6,ceil,wrap,9.03,8
2,6,stochastic,wrap,8.35,8
2,7,floor,saturate,98.25,9
2,7,trunc,saturate,98.25,9
3,6,trunc,saturate,98.24,9
5,4,trunc,saturate,98.24,9
5,4,trunc,wrap,98.24,9
3,6,floor,saturate,98.23,9
5,4,floor,saturate,98.21,9
5,4,floor,wrap,98.21,9
2,7,nearest,saturate,98.2,9
2,7,ceil,saturate,98.19,9
4,5,stochastic,saturate,98.18,9
5,4,ceil,saturate,98.17,9
5,4,ceil,wrap,98.17,9
4,5,trunc,saturate,98.15,9
5,4,nearest,saturate,98.15,9
5,4,nearest,wrap,98.15,9
5,4,stochastic,saturate,98.15,9
5,4,stochastic,wrap,98.15,9
1,8,floor,saturate,98.14,9
1,8,ceil,saturate,98.14,9
1,8,trunc,saturate,98.14,9
4,5,nearest,saturate,98.14,9
4,5,floor,saturate,98.13,9
3,6,ceil,saturate,98.12,9
4,5,ceil,saturate,98.12,9
1,8,nearest,saturate,98.11,9
3,6,stochastic,saturate,98.11,9
3,6,nearest,saturate,98.1,9
1,8,stochastic,saturate,98.1,9
2,7,stochastic,saturate,98.08,9
4,5,stochastic,wrap,97.86,9
4,5,nearest,wrap,97.8,9
4,5,floor,wrap,97.77,9
4,5,trunc,wrap,97.77,9
4,5,ceil,wrap,97.74,9
3,6,nearest,wrap,33.63,9
3,6,trunc,wrap,33.62,9
3,6,ceil,wrap,33.41,9
3,6,floor,wrap,32.97,9
3,6,stochastic,wrap,32.93,9
1,8,ceil,wrap,10.07,9
1,8,stochastic,wrap,9.98,9
1,8,trunc,wrap,9.87,9
1,8,nearest,wrap,9.86,9
1,8,floor,wrap,9.85,9
2,7,stochastic,wrap,9.03,9
2,7,floor,wrap,8.74,9
2,7,nearest,wrap,8.57,9
2,7,trunc,wrap,8.56,9
2,7,ceil,wrap,8.48,9
4,6,stochastic,saturate,98.19,10
4,6,ceil,saturate,98.15,10
3,7,nearest,saturate,98.15,10
2,8,floor,saturate,98.14,10
3,7,ceil,saturate,98.14,10
2,8,ceil,saturate,98.13,10
2,8,trunc,saturate,98.13,10
3,7,trunc,saturate,98.13,10
3,7,floor,saturate,98.12,10
2,8,nearest,saturate,98.12,10
4,6,nearest,saturate,98.12,10
4,6,floor,saturate,98.1,10
4,6,trunc,saturate,98.1,10
2,8,stochastic,saturate,98.1,10
5,5,stochastic,saturate,98.1,10
5,5,stochastic,wrap,98.1,10
3,7,stochastic,saturate,98.09,10
5,5,floor,saturate,98.08,10
5,5,floor,wrap,98.08,10
5,5,trunc,saturate,98.08,10
5,5,trunc,wrap,98.08,10
5,5,nearest,saturate,98.04,10
5,5,nearest,wrap,98.04,10
5,5,ceil,saturate,98.02,10
5,5,ceil,wrap,98.02,10
4,6,ceil,wrap,97.82,10
4,6,nearest,wrap,97.79,10
4,6,stochastic,wrap,97.79,10
4,6,floor,wrap,97.73,10
4,6,trunc,wrap,97.73,10
3,7,trunc,wrap,33.76,10
3,7,ceil,wrap,33.45,10
3,7,nearest,wrap,33.42,10
3,7,stochastic,wrap,33.36,10
3,7,floor,wrap,33.18,10
2,8,ceil,wrap,9.19,10
2,8,trunc,wrap,9.18,10
2,8,floor,wrap,9.01,10
2,8,nearest,wrap,9.0,10
2,8,stochastic,wrap,8.61,10
4,7,stochastic,saturate,98.22,11
5,6,nearest,saturate,98.18,11
5,6,nearest,wrap,98.18,11
5,6,ceil,saturate,98.17,11
5,6,ceil,wrap,98.17,11
4,7,floor,saturate,98.15,11
4,7,trunc,saturate,98.14,11
5,6,stochastic,saturate,98.14,11
5,6,stochastic,wrap,98.14,11
5,6,trunc,saturate,98.12,11
5,6,trunc,wrap,98.12,11
3,8,ceil,saturate,98.11,11
3,8,trunc,saturate,98.11,11
3,8,nearest,saturate,98.11,11
3,8,stochastic,saturate,98.11,11
3,8,floor,saturate,98.1,11
5,6,floor,saturate,98.1,11
5,6,floor,wrap,98.1,11
4,7,ceil,saturate,98.1,11
4,7,nearest,saturate,98.1,11
4,7,stochastic,wrap,97.89,11
4,7,floor,wrap,97.79,11
4,7,trunc,wrap,97.78,11
4,7,ceil,wrap,97.73,11
4,7,nearest,wrap,97.73,11
3,8,trunc,wrap,33.12,11
3,8,nearest,wrap,32.98,11
3,8,stochastic,wrap,32.93,11
3,8,floor,wrap,32.9,11
3,8,ceil,wrap,32.82,11
5,7,stochastic,saturate,98.23,12
5,7,stochastic,wrap,98.23,12
4,8,floor,saturate,98.19,12
4,8,trunc,saturate,98.19,12
4,8,stochastic,saturate,98.19,12
4,8,nearest,saturate,98.18,12
4,8,ceil,saturate,98.15,12
5,7,trunc,saturate,98.14,12
5,7,trunc,wrap,98.14,12
5,7,floor,saturate,98.13,12
5,7,floor,wrap,98.13,12
5,7,nearest,saturate,98.13,12
5,7,nearest,wrap,98.13,12
5,7,ceil,saturate,98.12,12
5,7,ceil,wrap,98.12,12
4,8,trunc,wrap,97.87,12
4,8,floor,wrap,97.85,12
4,8,stochastic,wrap,97.85,12
4,8,ceil,wrap,97.84,12
4,8,nearest,wrap,97.84,12
5,8,stochastic,saturate,98.09,13
5,8,stochastic,wrap,98.09,13
5,8,floor,saturate,98.04,13
5,8,floor,wrap,98.04,13
5,8,ceil,saturate,98.04,13
5,8,ceil,wrap,98.04,13
