m,n,rounding,overflow,acc
0,0,ceil,saturate,9.8
0,1,ceil,saturate,9.8
0,2,ceil,saturate,98.05
0,3,ceil,saturate,97.96
0,4,ceil,saturate,97.92
0,5,ceil,saturate,97.97
0,6,ceil,saturate,98.08
0,7,ceil,saturate,97.97
0,8,ceil,saturate,97.94
1,0,ceil,saturate,96.66
1,1,ceil,saturate,97.94
1,2,ceil,saturate,97.92
1,3,ceil,saturate,97.99
1,4,ceil,saturate,98.08
1,5,ceil,saturate,98.13
1,6,ceil,saturate,98.02
1,7,ceil,saturate,97.97
1,8,ceil,saturate,97.93
2,0,ceil,saturate,96.74
2,1,ceil,saturate,98.01
2,2,ceil,saturate,97.94
2,3,ceil,saturate,97.99
2,4,ceil,saturate,97.89
2,5,ceil,saturate,97.9
2,6,ceil,saturate,98.02
2,7,ceil,saturate,97.89
2,8,ceil,saturate,97.92
3,0,ceil,saturate,96.59
3,1,ceil,saturate,97.95
3,2,ceil,saturate,97.99
3,3,ceil,saturate,97.97
3,4,ceil,saturate,98.07
3,5,ceil,saturate,98.07
3,6,ceil,saturate,98.05
3,7,ceil,saturate,97.99
3,8,ceil,saturate,98.02
4,0,ceil,saturate,96.72
4,1,ceil,saturate,97.92
4,2,ceil,saturate,98.0
4,3,ceil,saturate,98.0
4,4,ceil,saturate,97.96
4,5,ceil,saturate,98.01
4,6,ceil,saturate,97.91
4,7,ceil,saturate,97.97
4,8,ceil,saturate,97.94
5,0,ceil,saturate,96.69
5,1,ceil,saturate,97.99
5,2,ceil,saturate,98.03
5,3,ceil,saturate,98.09
5,4,ceil,saturate,97.89
5,5,ceil,saturate,97.99
5,6,ceil,saturate,97.99
5,7,ceil,saturate,97.92
5,8,ceil,saturate,97.99
