m,n,rounding,overflow,acc,bits
0,0,floor,saturate,9.8,0
0,0,floor,wrap,9.8,0
0,0,ceil,saturate,9.8,0
0,0,ceil,wrap,9.8,0
0,0,trunc,saturate,9.8,0
0,0,trunc,wrap,9.8,0
0,0,nearest,saturate,9.8,0
0,0,nearest,wrap,9.8,0
0,0,stochastic,saturate,9.8,0
0,0,stochastic,wrap,9.8,0
1,0,stochastic,saturate,97.88,1
1,0,nearest,saturate,97.8,1
1,0,ceil,saturate,96.66,1
1,0,floor,saturate,96.4,1
1,0,trunc,saturate,96.29,1
1,0,trunc,wrap,16.78,1
1,0,nearest,wrap,10.27,1
1,0,ceil,wrap,9.84,1
0,1,floor,saturate,9.8,1
0,1,floor,wrap,9.8,1
0,1,ceil,saturate,9.8,1
0,1,ceil,wrap,9.8,1
0,1,trunc,saturate,9.8,1
0,1,trunc,wrap,9.8,1
0,1,nearest,saturate,9.8,1
0,1,nearest,wrap,9.8,1
0,1,stochastic,saturate,9.8,1
0,1,stochastic,wrap,9.8,1
1,0,stochastic,wrap,9.58,1
1,0,floor,wrap,8.91,1
0,2,ceil,saturate,98.05,2
0,2,nearest,saturate,98.05,2
1,1,ceil,saturate,97.94,2
2,0,nearest,saturate,97.93,2
2,0,stochastic,saturate,97.86,2
0,2,stochastic,saturate,97.84,2
0,2,floor,saturate,97.71,2
0,2,trunc,saturate,97.71,2
1,1,stochastic,saturate,97.67,2
1,1,nearest,saturate,97.65,2
2,0,ceil,saturate,96.74,2
1,1,floor,saturate,96.71,2
1,1,trunc,saturate,96.61,2
2,0,trunc,saturate,96.18,2
2,0,floor,saturate,96.15,2
2,0,trunc,wrap,55.96,2
2,0,floor,wrap,20.57,2
2,0,nearest,wrap,19.01,2
2,0,stochastic,wrap,11.63,2
2,0,ceil,wrap,10.97,2
1,1,trunc,wrap,10.93,2
1,1,ceil,wrap,10.34,2
1,1,nearest,wrap,10.08,2
0,2,floor,wrap,9.96,2
0,2,stochastic,wrap,9.94,2
0,2,ceil,wrap,9.82,2
0,2,trunc,wrap,9.76,2
0,2,nearest,wrap,9.7,2
1,1,stochastic,wrap,9.28,2
1,1,floor,wrap,8.43,2
2,1,ceil,saturate,98.01,3
0,3,stochastic,saturate,98.0,3
0,3,ceil,saturate,97.96,3
1,2,nearest,saturate,97.94,3
3,0,stochastic,saturate,97.94,3
0,3,floor,saturate,97.92,3
1,2,ceil,saturate,97.92,3
3,0,nearest,saturate,97.91,3
0,3,trunc,saturate,97.9,3
0,3,nearest,saturate,97.89,3
2,1,nearest,saturate,97.82,3
2,1,stochastic,saturate,97.74,3
1,2,stochastic,saturate,97.72,3
1,2,trunc,saturate,97.59,3
1,2,floor,saturate,97.56,3
2,1,floor,saturate,96.74,3
2,1,trunc,saturate,96.68,3
3,0,ceil,saturate,96.59,3
3,0,trunc,saturate,96.24,3
3,0,floor,saturate,96.21,3
3,0,trunc,wrap,92.61,3
3,0,nearest,wrap,92.14,3
3,0,stochastic,wrap,89.95,3
3,0,floor,wrap,89.9,3
3,0,ceil,wrap,83.92,3
2,1,trunc,wrap,38.99,3
2,1,nearest,wrap,23.13,3
2,1,floor,wrap,21.64,3
2,1,ceil,wrap,17.98,3
2,1,stochastic,wrap,17.35,3
0,3,trunc,wrap,10.34,3
0,3,stochastic,wrap,10.26,3
0,3,nearest,wrap,10.24,3
0,3,ceil,wrap,10.12,3
0,3,floor,wrap,9.82,3
1,2,ceil,wrap,9.8,3
1,2,nearest,wrap,9.17,3
1,2,trunc,wrap,9.11,3
1,2,floor,wrap,9.0,3
1,2,stochastic,wrap,8.99,3
1,3,ceil,saturate,97.99,4
2,2,stochastic,saturate,97.96,4
0,4,floor,saturate,97.95,4
3,1,ceil,saturate,97.95,4
0,4,trunc,saturate,97.95,4
0,4,nearest,saturate,97.95,4
0,4,stochastic,saturate,97.95,4
2,2,ceil,saturate,97.94,4
4,0,nearest,saturate,97.94,4
0,4,ceil,saturate,97.92,4
1,3,nearest,saturate,97.9,4
1,3,floor,saturate,97.87,4
2,2,nearest,saturate,97.87,4
4,0,stochastic,saturate,97.87,4
1,3,trunc,saturate,97.84,4
1,3,stochastic,saturate,97.83,4
4,0,nearest,wrap,97.74,4
2,2,floor,saturate,97.71,4
4,0,stochastic,wrap,97.71,4
3,1,stochastic,saturate,97.7,4
2,2,trunc,saturate,97.69,4
3,1,nearest,saturate,97.62,4
3,1,floor,saturate,96.78,4
3,1,trunc,saturate,96.74,4
4,0,ceil,saturate,96.72,4
4,0,ceil,wrap,96.67,4
4,0,trunc,saturate,96.3,4
4,0,floor,saturate,96.16,4
4,0,trunc,wrap,96.13,4
4,0,floor,wrap,95.94,4
3,1,ceil,wrap,92.25,4
3,1,nearest,wrap,92.09,4
3,1,trunc,wrap,92.07,4
3,1,stochastic,wrap,91.09,4
3,1,floor,wrap,90.39,4
2,2,trunc,wrap,23.02,4
2,2,floor,wrap,17.1,4
2,2,nearest,wrap,16.35,4
2,2,ceil,wrap,15.33,4
2,2,stochastic,wrap,14.33,4
0,4,nearest,wrap,10.5,4
0,4,trunc,wrap,10.41,4
0,4,floor,wrap,10.34,4
0,4,stochastic,wrap,10.11,4
0,4,ceil,wrap,9.68,4
1,3,stochastic,wrap,9.63,4
1,3,ceil,wrap,9.21,4
1,3,floor,wrap,9.15,4
1,3,nearest,wrap,9.1,4
1,3,trunc,wrap,8.51,4
1,4,ceil,saturate,98.08,5
1,4,stochastic,saturate,98.08,5
2,3,stochastic,saturate,98.04,5
1,4,floor,saturate,98.0,5
2,3,ceil,saturate,97.99,5
3,2,ceil,saturate,97.99,5
1,4,trunc,saturate,97.99,5
1,4,nearest,saturate,97.99,5
0,5,ceil,saturate,97.97,5
2,3,trunc,saturate,97.97,5
0,5,nearest,saturate,97.96,5
2,3,nearest,saturate,97.96,5
5,0,stochastic,saturate,97.96,5
5,0,stochastic,wrap,97.96,5
2,3,floor,saturate,97.94,5
4,1,ceil,saturate,97.92,5
0,5,trunc,saturate,97.92,5
5,0,nearest,saturate,97.89,5
5,0,nearest,wrap,97.89,5
0,5,floor,saturate,97.88,5
3,2,nearest,saturate,97.86,5
3,2,stochastic,saturate,97.86,5
0,5,stochastic,saturate,97.81,5
4,1,ceil,wrap,97.8,5
4,1,nearest,saturate,97.71,5
3,2,trunc,saturate,97.65,5
3,2,floor,saturate,97.62,5
4,1,stochastic,saturate,97.61,5
4,1,nearest,wrap,97.56,5
4,1,stochastic,wrap,97.44,5
5,0,ceil,saturate,96.69,5
5,0,ceil,wrap,96.69,5
4,1,trunc,saturate,96.57,5
4,1,floor,saturate,96.56,5
4,1,trunc,wrap,96.44,5
4,1,floor,wrap,96.42,5
5,0,floor,saturate,96.26,5
5,0,floor,wrap,96.26,5
5,0,trunc,saturate,96.21,5
5,0,trunc,wrap,96.21,5
3,2,trunc,wrap,92.21,5
3,2,nearest,wrap,91.38,5
3,2,ceil,wrap,91.33,5
3,2,floor,wrap,91.01,5
3,2,stochastic,wrap,90.82,5
2,3,trunc,wrap,16.76,5
2,3,nearest,wrap,14.57,5
2,3,floor,wrap,14.53,5
2,3,ceil,wrap,13.88,5
2,3,stochastic,wrap,13.18,5
0,5,ceil,wrap,10.67,5
0,5,trunc,wrap,10.18,5
0,5,stochastic,wrap,9.96,5
0,5,floor,wrap,9.95,5
0,5,nearest,wrap,9.91,5
1,4,floor,wrap,9.84,5
1,4,nearest,wrap,9.63,5
1,4,stochastic,wrap,9.55,5
1,4,trunc,wrap,9.54,5
1,4,ceil,wrap,8.98,5
1,5,ceil,saturate,98.13,6
0,6,ceil,saturate,98.08,6
1,5,trunc,saturate,98.07,6
1,5,floor,saturate,98.06,6
3,3,stochastic,saturate,98.05,6
0,6,trunc,saturate,98.03,6
0,6,nearest,saturate,98.03,6
1,5,stochastic,saturate,98.02,6
0,6,floor,saturate,98.01,6
1,5,nearest,saturate,98.01,6
4,2,ceil,saturate,98.0,6
5,1,ceil,saturate,97.99,6
5,1,ceil,wrap,97.99,6
3,3,trunc,saturate,97.98,6
3,3,ceil,saturate,97.97,6
2,4,floor,saturate,97.96,6
2,4,trunc,saturate,97.96,6
0,6,stochastic,saturate,97.96,6
3,3,floor,saturate,97.95,6
3,3,nearest,saturate,97.94,6
4,2,nearest,saturate,97.94,6
2,4,stochastic,saturate,97.92,6
4,2,stochastic,saturate,97.92,6
2,4,ceil,saturate,97.89,6
2,4,nearest,saturate,97.88,6
4,2,ceil,wrap,97.86,6
4,2,nearest,wrap,97.79,6
4,2,stochastic,wrap,97.76,6
5,1,stochastic,saturate,97.75,6
5,1,stochastic,wrap,97.75,6
4,2,trunc,saturate,97.69,6
4,2,floor,saturate,97.66,6
5,1,nearest,saturate,97.65,6
5,1,nearest,wrap,97.65,6
4,2,trunc,wrap,97.55,6
4,2,floor,wrap,97.49,6
5,1,floor,saturate,96.74,6
5,1,floor,wrap,96.74,6
5,1,trunc,saturate,96.71,6
5,1,trunc,wrap,96.71,6
3,3,trunc,wrap,91.55,6
3,3,nearest,wrap,91.11,6
3,3,floor,wrap,91.03,6
3,3,ceil,wrap,90.82,6
3,3,stochastic,wrap,90.62,6
2,4,trunc,wrap,14.64,6
2,4,floor,wrap,13.48,6
2,4,stochastic,wrap,12.86,6
2,4,nearest,wrap,12.79,6
2,4,ceil,wrap,12.69,6
0,6,floor,wrap,10.21,6
0,6,nearest,wrap,9.87,6
1,5,ceil,wrap,9.81,6
0,6,stochastic,wrap,9.76,6
1,5,floor,wrap,9.7,6
0,6,ceil,wrap,9.5,6
0,6,trunc,wrap,9.5,6
1,5,nearest,wrap,9.46,6
1,5,stochastic,wrap,9.4,6
1,5,trunc,wrap,9.32,6
3,4,ceil,saturate,98.07,7
3,4,trunc,saturate,98.06,7
3,4,floor,saturate,98.05,7
1,6,nearest,saturate,98.05,7
5,2,ceil,saturate,98.03,7
5,2,ceil,wrap,98.03,7
1,6,ceil,saturate,98.02,7
1,6,trunc,saturate,98.02,7
1,6,floor,saturate,98.01,7
4,3,ceil,saturate,98.0,7
3,4,nearest,saturate,98.0,7
0,7,ceil,saturate,97.97,7
0,7,nearest,saturate,97.97,7
1,6,stochastic,saturate,97.97,7
5,2,stochastic,saturate,97.95,7
5,2,stochastic,wrap,97.95,7
0,7,floor,saturate,97.94,7
0,7,trunc,saturate,97.94,7
4,3,trunc,saturate,97.94,7
2,5,floor,saturate,97.93,7
4,3,stochastic,saturate,97.93,7
2,5,stochastic,saturate,97.92,7
4,3,floor,saturate,97.91,7
3,4,stochastic,saturate,97.91,7
2,5,ceil,saturate,97.9,7
2,5,trunc,saturate,97.9,7
4,3,nearest,saturate,97.89,7
0,7,stochastic,saturate,97.89,7
2,5,nearest,saturate,97.87,7
4,3,ceil,wrap,97.81,7
4,3,trunc,wrap,97.81,7
5,2,nearest,saturate,97.8,7
5,2,nearest,wrap,97.8,7
4,3,stochastic,wrap,97.76,7
4,3,floor,wrap,97.75,7
5,2,floor,saturate,97.74,7
5,2,floor,wrap,97.74,7
5,2,trunc,saturate,97.72,7
5,2,trunc,wrap,97.72,7
4,3,nearest,wrap,97.72,7
3,4,trunc,wrap,91.16,7
3,4,nearest,wrap,90.85,7
3,4,floor,wrap,90.74,7
3,4,ceil,wrap,90.74,7
3,4,stochastic,wrap,90.48,7
2,5,trunc,wrap,13.71,7
2,5,floor,wrap,12.71,7
2,5,nearest,wrap,12.29,7
2,5,ceil,wrap,12.16,7
2,5,stochastic,wrap,12.02,7
0,7,trunc,wrap,10.25,7
1,6,nearest,wrap,10.13,7
0,7,floor,wrap,10.11,7
1,6,floor,wrap,10.02,7
1,6,stochastic,wrap,9.84,7
0,7,ceil,wrap,9.81,7
0,7,stochastic,wrap,9.7,7
0,7,nearest,wrap,9.59,7
1,6,trunc,wrap,9.44,7
1,6,ceil,wrap,9.21,7
5,3,ceil,saturate,98.09,8
5,3,ceil,wrap,98.09,8
3,5,ceil,saturate,98.07,8
3,5,nearest,saturate,98.04,8
2,6,ceil,saturate,98.02,8
2,6,nearest,saturate,98.0,8
4,4,floor,saturate,97.99,8
1,7,nearest,saturate,97.99,8
1,7,stochastic,saturate,97.99,8
1,7,floor,saturate,97.98,8
1,7,trunc,saturate,97.98,8
5,3,nearest,saturate,97.98,8
5,3,nearest,wrap,97.98,8
3,5,floor,saturate,97.97,8
1,7,ceil,saturate,97.97,8
4,4,ceil,saturate,97.96,8
3,5,trunc,saturate,97.96,8
0,8,stochastic,saturate,97.96,8
4,4,trunc,saturate,97.95,8
0,8,ceil,saturate,97.94,8
4,4,nearest,saturate,97.94,8
5,3,stochastic,saturate,97.94,8
5,3,stochastic,wrap,97.94,8
5,3,trunc,saturate,97.93,8
5,3,trunc,wrap,97.93,8
2,6,trunc,saturate,97.92,8
0,8,nearest,saturate,97.92,8
0,8,floor,saturate,97.9,8
2,6,floor,saturate,97.9,8
2,6,stochastic,saturate,97.9,8
0,8,trunc,saturate,97.89,8
5,3,floor,saturate,97.87,8
5,3,floor,wrap,97.87,8
3,5,stochastic,saturate,97.85,8
4,4,stochastic,saturate,97.84,8
4,4,floor,wrap,97.82,8
4,4,ceil,wrap,97.81,8
4,4,trunc,wrap,97.79,8
4,4,nearest,wrap,97.74,8
4,4,stochastic,wrap,97.74,8
3,5,nearest,wrap,90.73,8
3,5,trunc,wrap,90.63,8
3,5,floor,wrap,90.51,8
3,5,ceil,wrap,90.51,8
3,5,stochastic,wrap,90.31,8
2,6,trunc,wrap,12.91,8
2,6,stochastic,wrap,12.57,8
2,6,floor,wrap,12.3,8
2,6,nearest,wrap,12.18,8
2,6,ceil,wrap,12.16,8
0,8,trunc,wrap,10.27,8
0,8,ceil,wrap,10.17,8
0,8,nearest,wrap,10.15,8
1,7,floor,wrap,9.98,8
1,7,nearest,wrap,9.92,8
1,7,trunc,wrap,9.88,8
1,7,ceil,wrap,9.85,8
0,8,floor,wrap,9.8,8
1,7,stochastic,wrap,9.66,8
0,8,stochastic,wrap,9.63,8
3,6,nearest,saturate,98.08,9
3,6,ceil,saturate,98.05,9
3,6,floor,saturate,98.03,9
3,6,trunc,saturate,98.03,9
4,5,floor,saturate,98.02,9
3,6,stochastic,saturate,98.02,9
4,5,ceil,saturate,98.01,9
4,5,trunc,saturate,98.01,9
5,4,stochastic,saturate,98.0,9
5,4,stochastic,wrap,98.0,9
2,7,floor,saturate,97.99,9
2,7,trunc,saturate,97.99,9
4,5,nearest,saturate,97.97,9
4,5,stochastic,saturate,97.97,9
2,7,nearest,saturate,97.95,9
1,8,stochastic,saturate,97.95,9
5,4,trunc,saturate,97.94,9
5,4,trunc,wrap,97.94,9
1,8,nearest,saturate,97.94,9
5,4,floor,saturate,97.93,9
5,4,floor,wrap,97.93,9
1,8,ceil,saturate,97.93,9
5,4,nearest,saturate,97.93,9
5,4,nearest,wrap,97.93,9
1,8,trunc,saturate,97.92,9
1,8,floor,saturate,97.91,9
2,7,ceil,saturate,97.89,9
5,4,ceil,saturate,97.89,9
5,4,ceil,wrap,97.89,9
4,5,floor,wrap,97.85,9
4,5,trunc,wrap,97.85,9
2,7,stochastic,saturate,97.84,9
4,5,ceil,wrap,97.82,9
4,5,nearest,wrap,97.8,9
4,5,stochastic,wrap,97.79,9
3,6,trunc,wrap,90.67,9
3,6,floor,wrap,90.6,9
3,6,nearest,wrap,90.42,9
3,6,ceil,wrap,90.32,9
3,6,stochastic,wrap,90.25,9
2,7,floor,wrap,12.75,9
2,7,trunc,wrap,12.66,9
2,7,nearest,wrap,12.52,9
2,7,ceil,wrap,12.43,9
2,7,stochastic,wrap,12.31,9
1,8,floor,wrap,10.0,9
1,8,trunc,wrap,9.78,9
1,8,ceil,wrap,9.7,9
1,8,nearest,wrap,9.51,9
1,8,stochastic,wrap,9.1,9
4,6,stochastic,saturate,98.03,10
3,7,floor,saturate,97.99,10
3,7,ceil,saturate,97.99,10
5,5,ceil,saturate,97.99,10
5,5,ceil,wrap,97.99,10
3,7,trunc,saturate,97.98,10
3,7,nearest,saturate,97.97,10
4,6,nearest,saturate,97.96,10
5,5,nearest,saturate,97.93,10
5,5,nearest,wrap,97.93,10
2,8,stochastic,saturate,97.93,10
2,8,floor,saturate,97.92,10
2,8,ceil,saturate,97.92,10
2,8,trunc,saturate,97.92,10
4,6,trunc,saturate,97.92,10
4,6,ceil,saturate,97.91,10
2,8,nearest,saturate,97.91,10
3,7,stochastic,saturate,97.91,10
4,6,stochastic,wrap,97.9,10
4,6,floor,saturate,97.88,10
5,5,stochastic,saturate,97.87,10
5,5,stochastic,wrap,97.87,10
5,5,trunc,saturate,97.85,10
5,5,trunc,wrap,97.85,10
5,5,floor,saturate,97.84,10
5,5,floor,wrap,97.84,10
4,6,nearest,wrap,97.84,10
4,6,ceil,wrap,97.81,10
4,6,trunc,wrap,97.75,10
4,6,floor,wrap,97.74,10
3,7,ceil,wrap,90.42,10
3,7,nearest,wrap,90.42,10
3,7,trunc,wrap,90.4,10
3,7,floor,wrap,90.38,10
3,7,stochastic,wrap,90.35,10
2,8,trunc,wrap,12.15,10
2,8,stochastic,wrap,12.13,10
2,8,floor,wrap,12.11,10
2,8,ceil,wrap,12.03,10
2,8,nearest,wrap,11.97,10
4,7,stochastic,saturate,98.07,11
3,8,floor,saturate,98.03,11
3,8,trunc,saturate,98.03,11
3,8,nearest,saturate,98.03,11
3,8,ceil,saturate,98.02,11
4,7,floor,saturate,98.01,11
5,6,nearest,saturate,98.0,11
5,6,nearest,wrap,98.0,11
5,6,ceil,saturate,97.99,11
5,6,ceil,wrap,97.99,11
4,7,trunc,saturate,97.99,11
3,8,stochastic,saturate,97.99,11
4,7,ceil,saturate,97.97,11
4,7,nearest,saturate,97.97,11
5,6,floor,saturate,97.94,11
5,6,floor,wrap,97.94,11
5,6,stochastic,saturate,97.94,11
5,6,stochastic,wrap,97.94,11
5,6,trunc,saturate,97.93,11
5,6,trunc,wrap,97.93,11
4,7,stochastic,wrap,97.86,11
4,7,floor,wrap,97.85,11
4,7,trunc,wrap,97.83,11
4,7,ceil,wrap,97.82,11
4,7,nearest,wrap,97.81,11
3,8,floor,wrap,90.44,11
3,8,trunc,wrap,90.42,11
3,8,stochastic,wrap,90.4,11
3,8,ceil,wrap,90.35,11
3,8,nearest,wrap,90.33,11
4,8,floor,saturate,97.95,12
4,8,trunc,saturate,97.95,12
5,7,trunc,saturate,97.95,12
5,7,trunc,wrap,97.95,12
4,8,ceil,saturate,97.94,12
5,7,nearest,saturate,97.94,12
5,7,nearest,wrap,97.94,12
5,7,stochastic,saturate,97.93,12
5,7,stochastic,wrap,97.93,12
5,7,floor,saturate,97.92,12
5,7,floor,wrap,97.92,12
5,7,ceil,saturate,97.92,12
5,7,ceil,wrap,97.92,12
4,8,nearest,saturate,97.92,12
4,8,stochastic,saturate,97.84,12
4,8,ceil,wrap,97.82,12
4,8,floor,wrap,97.79,12
4,8,trunc,wrap,97.79,12
4,8,nearest,wrap,97.78,12
4,8,stochastic,wrap,97.66,12
5,8,nearest,saturate,98.01,13
5,8,nearest,wrap,98.01,13
5,8,ceil,saturate,97.99,13
5,8,ceil,wrap,97.99,13
5,8,trunc,saturate,97.98,13
5,8,trunc,wrap,97.98,13
