m,n,rounding,overflow,acc
0,0,floor,wrap,9.8
0,1,floor,wrap,9.8
0,2,floor,wrap,10.61
0,3,floor,wrap,10.48
0,4,floor,wrap,9.69
0,5,floor,wrap,10.26
0,6,floor,wrap,9.69
0,7,floor,wrap,9.94
0,8,floor,wrap,10.2
1,0,floor,wrap,9.6
1,1,floor,wrap,10.0
1,2,floor,wrap,10.35
1,3,floor,wrap,10.12
1,4,floor,wrap,9.96
1,5,floor,wrap,10.09
1,6,floor,wrap,10.07
1,7,floor,wrap,9.84
1,8,floor,wrap,9.93
2,0,floor,wrap,10.56
2,1,floor,wrap,10.79
2,2,floor,wrap,9.86
2,3,floor,wrap,8.4
2,4,floor,wrap,8.56
2,5,floor,wrap,8.18
2,6,floor,wrap,8.31
2,7,floor,wrap,7.83
2,8,floor,wrap,8.22
3,0,floor,wrap,82.41
3,1,floor,wrap,83.25
3,2,floor,wrap,85.06
3,3,floor,wrap,85.79
3,4,floor,wrap,85.95
3,5,floor,wrap,86.36
3,6,floor,wrap,86.4
3,7,floor,wrap,86.26
3,8,floor,wrap,86.4
4,0,floor,wrap,97.0
4,1,floor,wrap,97.29
4,2,floor,wrap,97.81
4,3,floor,wrap,98.02
4,4,floor,wrap,97.95
4,5,floor,wrap,98.06
4,6,floor,wrap,97.95
4,7,floor,wrap,98.06
4,8,floor,wrap,97.97
5,0,floor,wrap,97.28
5,1,floor,wrap,97.32
5,2,floor,wrap,97.89
5,3,floor,wrap,98.0
5,4,floor,wrap,98.02
5,5,floor,wrap,98.01
5,6,floor,wrap,98.1
5,7,floor,wrap,98.12
5,8,floor,wrap,98.14
