m,n,rounding,overflow,acc
0,0,ceil,wrap,9.8
0,1,ceil,wrap,9.8
0,2,ceil,wrap,10.35
0,3,ceil,wrap,10.16
0,4,ceil,wrap,10.09
0,5,ceil,wrap,9.32
0,6,ceil,wrap,9.7
0,7,ceil,wrap,10.06
0,8,ceil,wrap,9.97
1,0,ceil,wrap,10.47
1,1,ceil,wrap,10.41
1,2,ceil,wrap,10.15
1,3,ceil,wrap,9.89
1,4,ceil,wrap,10.06
1,5,ceil,wrap,9.39
1,6,ceil,wrap,9.87
1,7,ceil,wrap,9.78
1,8,ceil,wrap,10.3
2,0,ceil,wrap,3.75
2,1,ceil,wrap,3.96
2,2,ceil,wrap,3.14
2,3,ceil,wrap,3.4
2,4,ceil,wrap,3.77
2,5,ceil,wrap,4.16
2,6,ceil,wrap,4.3
2,7,ceil,wrap,4.28
2,8,ceil,wrap,4.32
3,0,ceil,wrap,94.07
3,1,ceil,wrap,95.94
3,2,ceil,wrap,95.3
3,3,ceil,wrap,94.66
3,4,ceil,wrap,94.71
3,5,ceil,wrap,94.54
3,6,ceil,wrap,94.49
3,7,ceil,wrap,94.51
3,8,ceil,wrap,94.45
4,0,ceil,wrap,97.77
4,1,ceil,wrap,98.46
4,2,ceil,wrap,98.45
4,3,ceil,wrap,98.41
4,4,ceil,wrap,98.44
4,5,ceil,wrap,98.43
4,6,ceil,wrap,98.39
4,7,ceil,wrap,98.51
4,8,ceil,wrap,98.4
5,0,ceil,wrap,97.74
5,1,ceil,wrap,98.42
5,2,ceil,wrap,98.46
5,3,ceil,wrap,98.44
5,4,ceil,wrap,98.45
5,5,ceil,wrap,98.5
5,6,ceil,wrap,98.45
5,7,ceil,wrap,98.46
5,8,ceil,wrap,98.41
