m,n,rounding,overflow,acc
0,0,trunc,wrap,9.8
0,1,trunc,wrap,9.8
0,2,trunc,wrap,10.43
0,3,trunc,wrap,10.32
0,4,trunc,wrap,10.09
0,5,trunc,wrap,9.35
0,6,trunc,wrap,9.53
0,7,trunc,wrap,10.44
0,8,trunc,wrap,9.53
1,0,trunc,wrap,8.26
1,1,trunc,wrap,8.97
1,2,trunc,wrap,10.73
1,3,trunc,wrap,9.81
1,4,trunc,wrap,9.65
1,5,trunc,wrap,9.73
1,6,trunc,wrap,9.74
1,7,trunc,wrap,9.73
1,8,trunc,wrap,9.84
2,0,trunc,wrap,35.0
2,1,trunc,wrap,11.54
2,2,trunc,wrap,4.39
2,3,trunc,wrap,4.03
2,4,trunc,wrap,4.03
2,5,trunc,wrap,4.17
2,6,trunc,wrap,4.13
2,7,trunc,wrap,4.26
2,8,trunc,wrap,4.28
3,0,trunc,wrap,96.6
3,1,trunc,wrap,95.99
3,2,trunc,wrap,95.93
3,3,trunc,wrap,95.41
3,4,trunc,wrap,95.03
3,5,trunc,wrap,94.87
3,6,trunc,wrap,94.72
3,7,trunc,wrap,94.51
3,8,trunc,wrap,94.4
4,0,trunc,wrap,97.87
4,1,trunc,wrap,97.93
4,2,trunc,wrap,98.39
4,3,trunc,wrap,98.4
4,4,trunc,wrap,98.48
4,5,trunc,wrap,98.44
4,6,trunc,wrap,98.49
4,7,trunc,wrap,98.53
4,8,trunc,wrap,98.39
5,0,trunc,wrap,97.82
5,1,trunc,wrap,97.92
5,2,trunc,wrap,98.36
5,3,trunc,wrap,98.49
5,4,trunc,wrap,98.5
5,5,trunc,wrap,98.44
5,6,trunc,wrap,98.4
5,7,trunc,wrap,98.48
5,8,trunc,wrap,98.39
