m,n,rounding,overflow,acc
0,0,nearest,saturate,9.8
0,1,nearest,saturate,9.8
0,2,nearest,saturate,98.6
0,3,nearest,saturate,98.59
0,4,nearest,saturate,98.64
0,5,nearest,saturate,98.6
0,6,nearest,saturate,98.63
0,7,nearest,saturate,98.56
0,8,nearest,saturate,98.62
1,0,nearest,saturate,98.61
1,1,nearest,saturate,98.54
1,2,nearest,saturate,98.59
1,3,nearest,saturate,98.68
1,4,nearest,saturate,98.62
1,5,nearest,saturate,98.56
1,6,nearest,saturate,98.61
1,7,nearest,saturate,98.64
1,8,nearest,saturate,98.59
2,0,nearest,saturate,98.61
2,1,nearest,saturate,98.56
2,2,nearest,saturate,98.6
2,3,nearest,saturate,98.64
2,4,nearest,saturate,98.64
2,5,nearest,saturate,98.59
2,6,nearest,saturate,98.71
2,7,nearest,saturate,98.67
2,8,nearest,saturate,98.65
3,0,nearest,saturate,98.5
3,1,nearest,saturate,98.56
3,2,nearest,saturate,98.46
3,3,nearest,saturate,98.62
3,4,nearest,saturate,98.67
3,5,nearest,saturate,98.62
3,6,nearest,saturate,98.59
3,7,nearest,saturate,98.56
3,8,nearest,saturate,98.63
4,0,nearest,saturate,98.64
4,1,nearest,saturate,98.53
4,2,nearest,saturate,98.59
4,3,nearest,saturate,98.64
4,4,nearest,saturate,98.61
4,5,nearest,saturate,98.52
4,6,nearest,saturate,98.61
4,7,nearest,saturate,98.57
4,8,nearest,saturate,98.51
5,0,nearest,saturate,98.61
5,1,nearest,saturate,98.56
5,2,nearest,saturate,98.64
5,3,nearest,saturate,98.65
5,4,nearest,saturate,98.67
5,5,nearest,saturate,98.63
5,6,nearest,saturate,98.58
5,7,nearest,saturate,98.57
5,8,nearest,saturate,98.63
