m,n,rounding,overflow,acc
0,0,trunc,saturate,9.8
0,1,trunc,saturate,9.8
0,2,trunc,saturate,98.54
0,3,trunc,saturate,98.61
0,4,trunc,saturate,98.6
0,5,trunc,saturate,98.56
0,6,trunc,saturate,98.63
0,7,trunc,saturate,98.56
0,8,trunc,saturate,98.63
1,0,trunc,saturate,98.23
1,1,trunc,saturate,98.29
1,2,trunc,saturate,98.55
1,3,trunc,saturate,98.61
1,4,trunc,saturate,98.61
1,5,trunc,saturate,98.62
1,6,trunc,saturate,98.67
1,7,trunc,saturate,98.63
1,8,trunc,saturate,98.6
2,0,trunc,saturate,98.34
2,1,trunc,saturate,98.43
2,2,trunc,saturate,98.53
2,3,trunc,saturate,98.64
2,4,trunc,saturate,98.66
2,5,trunc,saturate,98.58
2,6,trunc,saturate,98.7
2,7,trunc,saturate,98.64
2,8,trunc,saturate,98.66
3,0,trunc,saturate,98.27
3,1,trunc,saturate,98.29
3,2,trunc,saturate,98.49
3,3,trunc,saturate,98.54
3,4,trunc,saturate,98.68
3,5,trunc,saturate,98.59
3,6,trunc,saturate,98.61
3,7,trunc,saturate,98.58
3,8,trunc,saturate,98.6
4,0,trunc,saturate,98.31
4,1,trunc,saturate,98.35
4,2,trunc,saturate,98.52
4,3,trunc,saturate,98.57
4,4,trunc,saturate,98.62
4,5,trunc,saturate,98.57
4,6,trunc,saturate,98.61
4,7,trunc,saturate,98.57
4,8,trunc,saturate,98.51
5,0,trunc,saturate,98.29
5,1,trunc,saturate,98.33
5,2,trunc,saturate,98.56
5,3,trunc,saturate,98.6
5,4,trunc,saturate,98.67
5,5,trunc,saturate,98.62
5,6,trunc,saturate,98.53
5,7,trunc,saturate,98.57
5,8,trunc,saturate,98.63
