m,n,rounding,overflow,acc
0,0,trunc,saturate,9.8
0,1,trunc,saturate,9.8
0,2,trunc,saturate,10.18
0,3,trunc,saturate,91.12
0,4,trunc,saturate,97.74
0,5,trunc,saturate,98.25
0,6,trunc,saturate,98.23
0,7,trunc,saturate,98.23
0,8,trunc,saturate,98.28
1,0,trunc,saturate,9.8
1,1,trunc,saturate,9.8
1,2,trunc,saturate,10.23
1,3,trunc,saturate,91.26
1,4,trunc,saturate,97.64
1,5,trunc,saturate,98.23
1,6,trunc,saturate,98.21
1,7,trunc,saturate,98.26
1,8,trunc,saturate,98.25
2,0,trunc,saturate,9.8
2,1,trunc,saturate,9.8
2,2,trunc,saturate,10.2
2,3,trunc,saturate,91.36
2,4,trunc,saturate,97.75
2,5,trunc,saturate,98.05
2,6,trunc,saturate,98.25
2,7,trunc,saturate,98.08
2,8,trunc,saturate,98.23
3,0,trunc,saturate,9.8
3,1,trunc,saturate,9.8
3,2,trunc,saturate,10.2
3,3,trunc,saturate,91.21
3,4,trunc,saturate,97.62
3,5,trunc,saturate,98.16
3,6,trunc,saturate,98.19
3,7,trunc,saturate,98.24
3,8,trunc,saturate,98.16
4,0,trunc,saturate,9.8
4,1,trunc,saturate,9.8
4,2,trunc,saturate,10.21
4,3,trunc,saturate,91.12
4,4,trunc,saturate,97.82
4,5,trunc,saturate,98.12
4,6,trunc,saturate,98.2
4,7,trunc,saturate,98.21
4,8,trunc,saturate,98.28
5,0,trunc,saturate,9.8
5,1,trunc,saturate,9.8
5,2,trunc,saturate,10.2
5,3,trunc,saturate,91.48
5,4,trunc,saturate,97.67
5,5,trunc,saturate,98.13
5,6,trunc,saturate,98.2
5,7,trunc,saturate,98.29
5,8,trunc,saturate,98.18
