m,n,rounding,overflow,acc
0,0,ceil,wrap,9.8
0,1,ceil,wrap,9.8
0,2,ceil,wrap,10.02
0,3,ceil,wrap,10.38
0,4,ceil,wrap,10.21
0,5,ceil,wrap,9.94
0,6,ceil,wrap,9.69
0,7,ceil,wrap,9.48
0,8,ceil,wrap,10.35
1,0,ceil,wrap,10.06
1,1,ceil,wrap,9.58
1,2,ceil,wrap,9.66
1,3,ceil,wrap,9.93
1,4,ceil,wrap,9.83
1,5,ceil,wrap,10.3
1,6,ceil,wrap,9.66
1,7,ceil,wrap,10.16
1,8,ceil,wrap,9.94
2,0,ceil,wrap,9.81
2,1,ceil,wrap,9.8
2,2,ceil,wrap,8.39
2,3,ceil,wrap,10.45
2,4,ceil,wrap,9.66
2,5,ceil,wrap,5.34
2,6,ceil,wrap,2.53
2,7,ceil,wrap,2.48
2,8,ceil,wrap,2.97
3,0,ceil,wrap,9.65
3,1,ceil,wrap,11.33
3,2,ceil,wrap,9.14
3,3,ceil,wrap,8.3
3,4,ceil,wrap,4.37
3,5,ceil,wrap,45.96
3,6,ceil,wrap,90.27
3,7,ceil,wrap,93.52
3,8,ceil,wrap,93.77
4,0,ceil,wrap,10.34
4,1,ceil,wrap,12.39
4,2,ceil,wrap,15.43
4,3,ceil,wrap,10.73
4,4,ceil,wrap,12.74
4,5,ceil,wrap,83.71
4,6,ceil,wrap,97.3
4,7,ceil,wrap,98.38
4,8,ceil,wrap,98.49
5,0,ceil,wrap,11.49
5,1,ceil,wrap,10.42
5,2,ceil,wrap,9.8
5,3,ceil,wrap,9.8
5,4,ceil,wrap,10.79
5,5,ceil,wrap,83.62
5,6,ceil,wrap,97.37
5,7,ceil,wrap,98.32
5,8,ceil,wrap,98.57
