m,n,rounding,overflow,acc
0,0,floor,wrap,9.8
0,1,floor,wrap,9.8
0,2,floor,wrap,10.06
0,3,floor,wrap,10.18
0,4,floor,wrap,10.38
0,5,floor,wrap,10.54
0,6,floor,wrap,10.61
0,7,floor,wrap,10.03
0,8,floor,wrap,10.13
1,0,floor,wrap,9.96
1,1,floor,wrap,9.98
1,2,floor,wrap,9.78
1,3,floor,wrap,9.94
1,4,floor,wrap,9.55
1,5,floor,wrap,9.7
1,6,floor,wrap,10.21
1,7,floor,wrap,9.83
1,8,floor,wrap,9.91
2,0,floor,wrap,9.74
2,1,floor,wrap,10.06
2,2,floor,wrap,10.51
2,3,floor,wrap,9.32
2,4,floor,wrap,9.38
2,5,floor,wrap,13.92
2,6,floor,wrap,8.89
2,7,floor,wrap,6.18
2,8,floor,wrap,4.58
3,0,floor,wrap,9.98
3,1,floor,wrap,10.19
3,2,floor,wrap,15.11
3,3,floor,wrap,8.67
3,4,floor,wrap,18.46
3,5,floor,wrap,59.51
3,6,floor,wrap,85.37
3,7,floor,wrap,91.56
3,8,floor,wrap,92.74
4,0,floor,wrap,10.38
4,1,floor,wrap,9.9
4,2,floor,wrap,7.86
4,3,floor,wrap,9.47
4,4,floor,wrap,24.35
4,5,floor,wrap,87.92
4,6,floor,wrap,97.37
4,7,floor,wrap,98.55
4,8,floor,wrap,98.55
5,0,floor,wrap,11.94
5,1,floor,wrap,6.6
5,2,floor,wrap,9.8
5,3,floor,wrap,9.61
5,4,floor,wrap,25.47
5,5,floor,wrap,88.13
5,6,floor,wrap,97.5
5,7,floor,wrap,98.43
5,8,floor,wrap,98.49
