m,n,rounding,overflow,acc
0,0,nearest,wrap,9.8
0,1,nearest,wrap,9.8
0,2,nearest,wrap,10.32
0,3,nearest,wrap,9.95
0,4,nearest,wrap,9.6
0,5,nearest,wrap,9.89
0,6,nearest,wrap,10.21
0,7,nearest,wrap,9.96
0,8,nearest,wrap,9.92
1,0,nearest,wrap,8.69
1,1,nearest,wrap,10.06
1,2,nearest,wrap,9.49
1,3,nearest,wrap,10.06
1,4,nearest,wrap,10.21
1,5,nearest,wrap,10.27
1,6,nearest,wrap,9.7
1,7,nearest,wrap,9.28
1,8,nearest,wrap,10.09
2,0,nearest,wrap,8.3
2,1,nearest,wrap,9.72
2,2,nearest,wrap,3.72
2,3,nearest,wrap,4.28
2,4,nearest,wrap,4.15
2,5,nearest,wrap,3.6
2,6,nearest,wrap,3.87
2,7,nearest,wrap,3.82
2,8,nearest,wrap,3.83
3,0,nearest,wrap,9.8
3,1,nearest,wrap,33.9
3,2,nearest,wrap,92.21
3,3,nearest,wrap,94.96
3,4,nearest,wrap,93.84
3,5,nearest,wrap,93.45
3,6,nearest,wrap,93.65
3,7,nearest,wrap,93.86
3,8,nearest,wrap,93.58
4,0,nearest,wrap,9.8
4,1,nearest,wrap,38.31
4,2,nearest,wrap,97.75
4,3,nearest,wrap,98.45
4,4,nearest,wrap,98.6
4,5,nearest,wrap,98.58
4,6,nearest,wrap,98.61
4,7,nearest,wrap,98.64
4,8,nearest,wrap,98.48
5,0,nearest,wrap,9.8
5,1,nearest,wrap,38.58
5,2,nearest,wrap,97.8
5,3,nearest,wrap,98.46
5,4,nearest,wrap,98.55
5,5,nearest,wrap,98.56
5,6,nearest,wrap,98.61
5,7,nearest,wrap,98.58
5,8,nearest,wrap,98.54
