m,n,rounding,overflow,acc
0,0,stochastic,wrap,9.8
0,1,stochastic,wrap,9.8
0,2,stochastic,wrap,9.33
0,3,stochastic,wrap,10.08
0,4,stochastic,wrap,10.37
0,5,stochastic,wrap,10.16
0,6,stochastic,wrap,10.07
0,7,stochastic,wrap,10.01
0,8,stochastic,wrap,9.79
1,0,stochastic,wrap,10.22
1,1,stochastic,wrap,10.38
1,2,stochastic,wrap,10.02
1,3,stochastic,wrap,10.01
1,4,stochastic,wrap,10.01
1,5,stochastic,wrap,10.67
1,6,stochastic,wrap,9.69
1,7,stochastic,wrap,9.64
1,8,stochastic,wrap,9.49
2,0,stochastic,wrap,10.33
2,1,stochastic,wrap,9.81
2,2,stochastic,wrap,10.9
2,3,stochastic,wrap,11.77
2,4,stochastic,wrap,11.17
2,5,stochastic,wrap,9.24
2,6,stochastic,wrap,6.77
2,7,stochastic,wrap,5.04
2,8,stochastic,wrap,4.4
3,0,stochastic,wrap,10.17
3,1,stochastic,wrap,14.58
3,2,stochastic,wrap,9.01
3,3,stochastic,wrap,19.46
3,4,stochastic,wrap,59.62
3,5,stochastic,wrap,85.14
3,6,stochastic,wrap,91.11
3,7,stochastic,wrap,92.76
3,8,stochastic,wrap,93.31
4,0,stochastic,wrap,12.51
4,1,stochastic,wrap,10.55
4,2,stochastic,wrap,12.28
4,3,stochastic,wrap,36.48
4,4,stochastic,wrap,90.18
4,5,stochastic,wrap,97.68
4,6,stochastic,wrap,98.52
4,7,stochastic,wrap,98.58
4,8,stochastic,wrap,98.57
5,0,stochastic,wrap,13.87
5,1,stochastic,wrap,6.85
5,2,stochastic,wrap,10.78
5,3,stochastic,wrap,42.63
5,4,stochastic,wrap,90.9
5,5,stochastic,wrap,97.59
5,6,stochastic,wrap,98.51
5,7,stochastic,wrap,98.56
5,8,stochastic,wrap,98.51
