m,n,rounding,overflow,acc
0,0,nearest,saturate,9.8
0,1,nearest,saturate,9.8
0,2,nearest,saturate,97.6
0,3,nearest,saturate,98.61
0,4,nearest,saturate,98.47
0,5,nearest,saturate,98.57
0,6,nearest,saturate,98.44
0,7,nearest,saturate,98.5
0,8,nearest,saturate,98.56
1,0,nearest,saturate,11.2
1,1,nearest,saturate,42.96
1,2,nearest,saturate,97.62
1,3,nearest,saturate,98.59
1,4,nearest,saturate,98.5
1,5,nearest,saturate,98.52
1,6,nearest,saturate,98.56
1,7,nearest,saturate,98.52
1,8,nearest,saturate,98.5
2,0,nearest,saturate,11.15
2,1,nearest,saturate,42.97
2,2,nearest,saturate,97.66
2,3,nearest,saturate,98.51
2,4,nearest,saturate,98.55
2,5,nearest,saturate,98.55
2,6,nearest,saturate,98.49
2,7,nearest,saturate,98.65
2,8,nearest,saturate,98.49
3,0,nearest,saturate,11.18
3,1,nearest,saturate,43.17
3,2,nearest,saturate,97.61
3,3,nearest,saturate,98.53
3,4,nearest,saturate,98.51
3,5,nearest,saturate,98.55
3,6,nearest,saturate,98.51
3,7,nearest,saturate,98.54
3,8,nearest,saturate,98.44
4,0,nearest,saturate,11.16
4,1,nearest,saturate,43.0
4,2,nearest,saturate,97.68
4,3,nearest,saturate,98.47
4,4,nearest,saturate,98.45
4,5,nearest,saturate,98.57
4,6,nearest,saturate,98.53
4,7,nearest,saturate,98.47
4,8,nearest,saturate,98.55
5,0,nearest,saturate,11.14
5,1,nearest,saturate,43.13
5,2,nearest,saturate,97.73
5,3,nearest,saturate,98.47
5,4,nearest,saturate,98.41
5,5,nearest,saturate,98.54
5,6,nearest,saturate,98.51
5,7,nearest,saturate,98.49
5,8,nearest,saturate,98.49
