m,n,rounding,overflow,acc
0,0,ceil,saturate,9.8
0,1,ceil,saturate,9.8
0,2,ceil,saturate,9.8
0,3,ceil,saturate,9.79
0,4,ceil,saturate,10.58
0,5,ceil,saturate,90.06
0,6,ceil,saturate,98.14
0,7,ceil,saturate,98.62
0,8,ceil,saturate,98.67
1,0,ceil,saturate,9.8
1,1,ceil,saturate,9.8
1,2,ceil,saturate,9.8
1,3,ceil,saturate,9.79
1,4,ceil,saturate,10.38
1,5,ceil,saturate,89.9
1,6,ceil,saturate,98.08
1,7,ceil,saturate,98.54
1,8,ceil,saturate,98.68
2,0,ceil,saturate,9.8
2,1,ceil,saturate,9.8
2,2,ceil,saturate,9.8
2,3,ceil,saturate,9.8
2,4,ceil,saturate,10.4
2,5,ceil,saturate,90.29
2,6,ceil,saturate,98.03
2,7,ceil,saturate,98.6
2,8,ceil,saturate,98.69
3,0,ceil,saturate,9.8
3,1,ceil,saturate,9.8
3,2,ceil,saturate,9.8
3,3,ceil,saturate,9.79
3,4,ceil,saturate,10.32
3,5,ceil,saturate,90.1
3,6,ceil,saturate,98.16
3,7,ceil,saturate,98.6
3,8,ceil,saturate,98.72
4,0,ceil,saturate,9.8
4,1,ceil,saturate,9.8
4,2,ceil,saturate,9.8
4,3,ceil,saturate,9.8
4,4,ceil,saturate,10.32
4,5,ceil,saturate,90.05
4,6,ceil,saturate,98.09
4,7,ceil,saturate,98.58
4,8,ceil,saturate,98.71
5,0,ceil,saturate,9.8
5,1,ceil,saturate,9.8
5,2,ceil,saturate,9.8
5,3,ceil,saturate,9.79
5,4,ceil,saturate,10.34
5,5,ceil,saturate,90.15
5,6,ceil,saturate,98.14
5,7,ceil,saturate,98.6
5,8,ceil,saturate,98.69
