m,n,rounding,overflow,acc
0,0,nearest,saturate,9.8
0,1,nearest,saturate,9.8
0,2,nearest,saturate,98.36
0,3,nearest,saturate,98.59
0,4,nearest,saturate,98.76
0,5,nearest,saturate,98.74
0,6,nearest,saturate,98.74
0,7,nearest,saturate,98.72
0,8,nearest,saturate,98.72
1,0,nearest,saturate,9.8
1,1,nearest,saturate,32.13
1,2,nearest,saturate,98.29
1,3,nearest,saturate,98.68
1,4,nearest,saturate,98.71
1,5,nearest,saturate,98.71
1,6,nearest,saturate,98.67
1,7,nearest,saturate,98.74
1,8,nearest,saturate,98.73
2,0,nearest,saturate,9.8
2,1,nearest,saturate,32.28
2,2,nearest,saturate,98.35
2,3,nearest,saturate,98.64
2,4,nearest,saturate,98.76
2,5,nearest,saturate,98.7
2,6,nearest,saturate,98.78
2,7,nearest,saturate,98.74
2,8,nearest,saturate,98.73
3,0,nearest,saturate,9.8
3,1,nearest,saturate,31.87
3,2,nearest,saturate,98.29
3,3,nearest,saturate,98.62
3,4,nearest,saturate,98.86
3,5,nearest,saturate,98.68
3,6,nearest,saturate,98.72
3,7,nearest,saturate,98.74
3,8,nearest,saturate,98.75
4,0,nearest,saturate,9.8
4,1,nearest,saturate,32.34
4,2,nearest,saturate,98.38
4,3,nearest,saturate,98.64
4,4,nearest,saturate,98.71
4,5,nearest,saturate,98.76
4,6,nearest,saturate,98.67
4,7,nearest,saturate,98.71
4,8,nearest,saturate,98.74
5,0,nearest,saturate,9.8
5,1,nearest,saturate,31.96
5,2,nearest,saturate,98.32
5,3,nearest,saturate,98.65
5,4,nearest,saturate,98.73
5,5,nearest,saturate,98.72
5,6,nearest,saturate,98.8
5,7,nearest,saturate,98.76
5,8,nearest,saturate,98.76
