m,n,rounding,overflow,acc
0,0,stochastic,saturate,9.8
0,1,stochastic,saturate,9.8
0,2,stochastic,saturate,11.82
0,3,stochastic,saturate,51.12
0,4,stochastic,saturate,93.45
0,5,stochastic,saturate,98.14
0,6,stochastic,saturate,98.61
0,7,stochastic,saturate,98.66
0,8,stochastic,saturate,98.68
1,0,stochastic,saturate,10.15
1,1,stochastic,saturate,10.16
1,2,stochastic,saturate,12.34
1,3,stochastic,saturate,47.45
1,4,stochastic,saturate,93.57
1,5,stochastic,saturate,98.03
1,6,stochastic,saturate,98.63
1,7,stochastic,saturate,98.62
1,8,stochastic,saturate,98.69
2,0,stochastic,saturate,9.82
2,1,stochastic,saturate,10.45
2,2,stochastic,saturate,13.43
2,3,stochastic,saturate,48.15
2,4,stochastic,saturate,92.89
2,5,stochastic,saturate,98.22
2,6,stochastic,saturate,98.55
2,7,stochastic,saturate,98.81
2,8,stochastic,saturate,98.8
3,0,stochastic,saturate,10.1
3,1,stochastic,saturate,10.0
3,2,stochastic,saturate,12.23
3,3,stochastic,saturate,51.6
3,4,stochastic,saturate,93.28
3,5,stochastic,saturate,98.17
3,6,stochastic,saturate,98.65
3,7,stochastic,saturate,98.66
3,8,stochastic,saturate,98.72
4,0,stochastic,saturate,9.21
4,1,stochastic,saturate,10.17
4,2,stochastic,saturate,13.53
4,3,stochastic,saturate,50.12
4,4,stochastic,saturate,93.21
4,5,stochastic,saturate,98.25
4,6,stochastic,saturate,98.67
4,7,stochastic,saturate,98.79
4,8,stochastic,saturate,98.71
5,0,stochastic,saturate,10.02
5,1,stochastic,saturate,10.41
5,2,stochastic,saturate,11.9
5,3,stochastic,saturate,54.07
5,4,stochastic,saturate,93.86
5,5,stochastic,saturate,98.23
5,6,stochastic,saturate,98.64
5,7,stochastic,saturate,98.64
5,8,stochastic,saturate,98.7
