m,n,rounding,overflow,acc,bits
0,0,floor,saturate,9.8,0
0,0,floor,wrap,9.8,0
0,0,ceil,saturate,9.8,0
0,0,ceil,wrap,9.8,0
0,0,trunc,saturate,9.8,0
0,0,trunc,wrap,9.8,0
0,0,nearest,saturate,9.8,0
0,0,nearest,wrap,9.8,0
0,0,stochastic,saturate,9.8,0
0,0,stochastic,wrap,9.8,0
1,0,floor,wrap,10.51,1
1,0,stochastic,wrap,10.29,1
1,0,stochastic,saturate,10.06,1
1,0,ceil,wrap,9.9,1
1,0,nearest,saturate,9.82,1
0,1,floor,saturate,9.8,1
1,0,floor,saturate,9.8,1
0,1,floor,wrap,9.8,1
0,1,ceil,saturate,9.8,1
1,0,ceil,saturate,9.8,1
0,1,ceil,wrap,9.8,1
0,1,trunc,saturate,9.8,1
1,0,trunc,saturate,9.8,1
0,1,trunc,wrap,9.8,1
1,0,trunc,wrap,9.8,1
0,1,nearest,saturate,9.8,1
0,1,nearest,wrap,9.8,1
0,1,stochastic,saturate,9.8,1
0,1,stochastic,wrap,9.8,1
1,0,nearest,wrap,5.71,1
0,2,nearest,saturate,98.11,2
1,1,nearest,saturate,54.92,2
0,2,trunc,saturate,22.69,2
1,1,stochastic,saturate,10.99,2
1,1,floor,wrap,10.47,2
0,2,trunc,wrap,10.22,2
0,2,stochastic,saturate,10.15,2
2,0,floor,wrap,10.07,2
0,2,stochastic,wrap,10.06,2
2,0,ceil,wrap,10.04,2
0,2,floor,wrap,10.02,2
2,0,stochastic,wrap,9.99,2
0,2,ceil,wrap,9.98,2
1,1,stochastic,wrap,9.97,2
0,2,nearest,wrap,9.9,2
2,0,nearest,saturate,9.82,2
0,2,floor,saturate,9.8,2
1,1,floor,saturate,9.8,2
2,0,floor,saturate,9.8,2
0,2,ceil,saturate,9.8,2
1,1,ceil,saturate,9.8,2
2,0,ceil,saturate,9.8,2
1,1,trunc,saturate,9.8,2
2,0,trunc,saturate,9.8,2
2,0,trunc,wrap,9.8,2
1,1,ceil,wrap,9.75,2
1,1,nearest,wrap,9.44,2
2,0,stochastic,saturate,9.29,2
1,1,trunc,wrap,9.27,2
2,0,nearest,wrap,7.82,2
0,3,nearest,saturate,98.61,3
1,2,nearest,saturate,98.26,3
0,3,trunc,saturate,97.27,3
2,1,nearest,saturate,54.53,3
0,3,stochastic,saturate,26.08,3
1,2,trunc,saturate,22.64,3
0,3,ceil,saturate,14.09,3
2,1,stochastic,saturate,12.95,3
1,2,stochastic,saturate,10.41,3
2,1,ceil,wrap,10.31,3
0,3,nearest,wrap,10.29,3
0,3,floor,wrap,10.17,3
1,2,ceil,wrap,10.14,3
1,2,nearest,wrap,10.13,3
0,3,ceil,wrap,10.1,3
0,3,stochastic,wrap,10.03,3
3,0,stochastic,saturate,9.97,3
1,2,floor,wrap,9.87,3
2,1,stochastic,wrap,9.87,3
1,2,stochastic,wrap,9.86,3
3,0,stochastic,wrap,9.85,3
0,3,floor,saturate,9.82,3
3,0,nearest,saturate,9.81,3
1,2,floor,saturate,9.8,3
2,1,floor,saturate,9.8,3
3,0,floor,saturate,9.8,3
1,2,ceil,saturate,9.8,3
2,1,ceil,saturate,9.8,3
3,0,ceil,saturate,9.8,3
2,1,trunc,saturate,9.8,3
3,0,trunc,saturate,9.8,3
3,0,trunc,wrap,9.8,3
0,3,trunc,wrap,9.75,3
2,1,floor,wrap,9.74,3
3,0,floor,wrap,9.74,3
3,0,ceil,wrap,9.57,3
2,1,trunc,wrap,8.83,3
1,2,trunc,wrap,8.44,3
2,1,nearest,wrap,6.86,3
3,0,nearest,wrap,5.1,3
0,4,nearest,saturate,98.73,4
1,3,nearest,saturate,98.58,4
0,4,trunc,saturate,98.51,4
2,2,nearest,saturate,98.15,4
1,3,trunc,saturate,97.18,4
0,4,stochastic,saturate,89.57,4
3,1,nearest,saturate,55.04,4
0,4,ceil,saturate,37.2,4
1,3,stochastic,saturate,29.76,4
2,2,trunc,saturate,22.58,4
3,1,nearest,wrap,20.51,4
0,4,floor,saturate,19.61,4
1,3,ceil,saturate,14.08,4
4,0,stochastic,saturate,11.18,4
2,2,stochastic,saturate,11.01,4
3,1,stochastic,saturate,10.97,4
4,0,ceil,wrap,10.81,4
4,0,floor,wrap,10.78,4
3,1,ceil,wrap,10.51,4
1,3,nearest,wrap,10.39,4
0,4,stochastic,wrap,10.25,4
0,4,trunc,wrap,10.2,4
1,3,trunc,wrap,10.13,4
2,2,floor,wrap,10.05,4
3,1,floor,wrap,10.02,4
0,4,ceil,wrap,9.96,4
1,3,floor,saturate,9.85,4
1,3,ceil,wrap,9.83,4
4,0,nearest,saturate,9.82,4
4,0,nearest,wrap,9.82,4
2,2,ceil,wrap,9.81,4
2,2,floor,saturate,9.8,4
3,1,floor,saturate,9.8,4
4,0,floor,saturate,9.8,4
2,2,ceil,saturate,9.8,4
3,1,ceil,saturate,9.8,4
4,0,ceil,saturate,9.8,4
3,1,trunc,saturate,9.8,4
4,0,trunc,saturate,9.8,4
3,1,trunc,wrap,9.8,4
4,0,trunc,wrap,9.8,4
0,4,floor,wrap,9.78,4
2,2,stochastic,wrap,9.77,4
1,3,floor,wrap,9.74,4
0,4,nearest,wrap,9.71,4
1,3,stochastic,wrap,9.7,4
3,1,stochastic,wrap,9.7,4
4,0,stochastic,wrap,9.63,4
2,2,nearest,wrap,8.74,4
2,2,trunc,wrap,7.7,4
0,5,nearest,saturate,98.74,5
0,5,trunc,saturate,98.67,5
1,4,nearest,saturate,98.67,5
2,3,nearest,saturate,98.62,5
1,4,trunc,saturate,98.48,5
3,2,nearest,saturate,98.17,5
0,5,stochastic,saturate,97.83,5
2,3,trunc,saturate,97.11,5
0,5,ceil,saturate,91.87,5
1,4,stochastic,saturate,89.24,5
0,5,floor,saturate,86.82,5
4,1,nearest,saturate,54.81,5
4,1,nearest,wrap,53.55,5
1,4,ceil,saturate,37.06,5
3,2,nearest,wrap,36.12,5
2,3,stochastic,saturate,27.28,5
3,2,trunc,saturate,22.71,5
4,1,ceil,wrap,21.55,5
3,2,trunc,wrap,21.36,5
5,0,ceil,wrap,20.43,5
1,4,floor,saturate,19.46,5
3,2,ceil,wrap,16.31,5
5,0,stochastic,wrap,15.18,5
2,3,ceil,saturate,14.22,5
5,0,floor,wrap,13.93,5
4,1,floor,wrap,13.35,5
4,1,stochastic,saturate,12.3,5
3,2,floor,wrap,11.17,5
2,3,trunc,wrap,10.83,5
3,2,stochastic,saturate,10.7,5
1,4,ceil,wrap,10.39,5
0,5,floor,wrap,10.26,5
2,3,floor,wrap,10.03,5
0,5,trunc,wrap,10.0,5
2,3,floor,saturate,9.84,5
5,0,nearest,saturate,9.81,5
5,0,nearest,wrap,9.81,5
3,2,floor,saturate,9.8,5
4,1,floor,saturate,9.8,5
5,0,floor,saturate,9.8,5
3,2,ceil,saturate,9.8,5
4,1,ceil,saturate,9.8,5
5,0,ceil,saturate,9.8,5
4,1,trunc,saturate,9.8,5
5,0,trunc,saturate,9.8,5
4,1,trunc,wrap,9.8,5
5,0,trunc,wrap,9.8,5
0,5,stochastic,wrap,9.8,5
0,5,ceil,wrap,9.79,5
2,3,ceil,wrap,9.72,5
1,4,trunc,wrap,9.71,5
1,4,stochastic,wrap,9.7,5
0,5,nearest,wrap,9.61,5
1,4,floor,wrap,9.57,5
1,4,nearest,wrap,9.47,5
5,0,stochastic,saturate,9.44,5
2,3,nearest,wrap,9.15,5
4,1,stochastic,wrap,9.14,5
2,3,stochastic,wrap,8.75,5
3,2,stochastic,wrap,7.75,5
0,6,trunc,saturate,98.77,6
2,4,nearest,saturate,98.74,6
0,6,nearest,saturate,98.73,6
1,5,nearest,saturate,98.66,6
3,3,nearest,saturate,98.64,6
1,5,trunc,saturate,98.63,6
0,6,stochastic,saturate,98.5,6
2,4,trunc,saturate,98.47,6
4,2,nearest,saturate,98.2,6
0,6,ceil,saturate,98.0,6
4,2,nearest,wrap,97.8,6
1,5,stochastic,saturate,97.75,6
0,6,floor,saturate,97.59,6
3,3,trunc,saturate,97.28,6
1,5,ceil,saturate,92.01,6
2,4,stochastic,saturate,89.21,6
1,5,floor,saturate,86.86,6
3,3,trunc,wrap,75.99,6
5,1,nearest,saturate,54.74,6
5,1,nearest,wrap,54.74,6
2,4,ceil,saturate,37.29,6
3,3,nearest,wrap,35.1,6
3,3,stochastic,saturate,28.22,6
4,2,trunc,saturate,22.79,6
4,2,trunc,wrap,22.79,6
2,4,floor,saturate,19.97,6
3,3,ceil,saturate,14.25,6
4,2,ceil,wrap,13.93,6
4,2,floor,wrap,11.67,6
5,1,ceil,wrap,10.86,6
5,1,stochastic,wrap,10.72,6
5,1,floor,wrap,10.5,6
1,5,stochastic,wrap,10.2,6
0,6,nearest,wrap,10.16,6
4,2,stochastic,saturate,10.16,6
1,5,nearest,wrap,10.13,6
0,6,ceil,wrap,10.1,6
0,6,stochastic,wrap,10.08,6
5,1,stochastic,saturate,10.0,6
1,5,floor,wrap,9.93,6
1,5,trunc,wrap,9.91,6
3,3,floor,saturate,9.85,6
1,5,ceil,wrap,9.82,6
4,2,floor,saturate,9.8,6
5,1,floor,saturate,9.8,6
4,2,ceil,saturate,9.8,6
5,1,ceil,saturate,9.8,6
5,1,trunc,saturate,9.8,6
5,1,trunc,wrap,9.8,6
0,6,trunc,wrap,9.68,6
0,6,floor,wrap,9.57,6
3,3,ceil,wrap,8.74,6
2,4,nearest,wrap,8.72,6
3,3,floor,wrap,8.62,6
2,4,stochastic,wrap,8.49,6
2,4,trunc,wrap,7.92,6
2,4,floor,wrap,7.88,6
2,4,ceil,wrap,7.64,6
4,2,stochastic,wrap,6.84,6
3,3,stochastic,wrap,6.05,6
0,7,stochastic,saturate,98.75,7
0,7,trunc,saturate,98.7,7
1,6,nearest,saturate,98.68,7
2,5,nearest,saturate,98.68,7
1,6,trunc,saturate,98.66,7
0,7,nearest,saturate,98.66,7
3,4,nearest,saturate,98.64,7
2,5,trunc,saturate,98.63,7
0,7,ceil,saturate,98.56,7
4,3,nearest,saturate,98.54,7
3,4,trunc,saturate,98.53,7
1,6,stochastic,saturate,98.52,7
0,7,floor,saturate,98.51,7
4,3,nearest,wrap,98.44,7
5,2,nearest,saturate,98.2,7
5,2,nearest,wrap,98.2,7
1,6,ceil,saturate,97.99,7
2,5,stochastic,saturate,97.89,7
1,6,floor,saturate,97.64,7
4,3,trunc,saturate,97.27,7
4,3,trunc,wrap,97.25,7
2,5,ceil,saturate,91.9,7
3,4,stochastic,saturate,88.78,7
2,5,floor,saturate,86.91,7
3,4,trunc,wrap,60.98,7
3,4,nearest,wrap,38.0,7
3,4,ceil,saturate,37.49,7
4,3,stochastic,saturate,29.77,7
5,2,trunc,saturate,22.66,7
5,2,trunc,wrap,22.66,7
4,3,stochastic,wrap,20.17,7
3,4,floor,saturate,19.56,7
4,3,ceil,saturate,14.18,7
3,4,ceil,wrap,11.7,7
5,2,ceil,wrap,11.31,7
1,6,ceil,wrap,10.88,7
0,7,nearest,wrap,10.67,7
0,7,floor,wrap,10.6,7
5,2,stochastic,saturate,10.49,7
1,6,floor,wrap,10.36,7
4,3,ceil,wrap,10.27,7
1,6,trunc,wrap,10.24,7
1,6,nearest,wrap,10.12,7
0,7,trunc,wrap,9.91,7
4,3,floor,saturate,9.83,7
5,2,floor,saturate,9.8,7
5,2,ceil,saturate,9.8,7
0,7,stochastic,wrap,9.53,7
3,4,stochastic,wrap,9.48,7
0,7,ceil,wrap,9.44,7
1,6,stochastic,wrap,9.35,7
2,5,floor,wrap,9.01,7
2,5,nearest,wrap,8.77,7
5,2,stochastic,wrap,8.72,7
2,5,ceil,wrap,8.24,7
2,5,trunc,wrap,7.99,7
2,5,stochastic,wrap,7.24,7
5,2,floor,wrap,7.14,7
3,4,floor,wrap,5.26,7
4,3,floor,wrap,5.12,7
0,8,nearest,saturate,98.75,8
0,8,stochastic,saturate,98.75,8
0,8,trunc,saturate,98.74,8
1,7,trunc,saturate,98.74,8
3,5,nearest,saturate,98.73,8
0,8,floor,saturate,98.72,8
4,4,nearest,saturate,98.72,8
0,8,ceil,saturate,98.71,8
1,7,nearest,saturate,98.71,8
3,5,trunc,saturate,98.7,8
1,7,stochastic,saturate,98.7,8
2,6,nearest,saturate,98.69,8
2,6,trunc,saturate,98.66,8
4,4,trunc,wrap,98.57,8
4,4,trunc,saturate,98.56,8
2,6,stochastic,saturate,98.55,8
4,4,nearest,wrap,98.54,8
5,3,nearest,saturate,98.53,8
5,3,nearest,wrap,98.53,8
1,7,floor,saturate,98.51,8
1,7,ceil,saturate,98.51,8
2,6,ceil,saturate,97.98,8
3,5,stochastic,saturate,97.78,8
2,6,floor,saturate,97.63,8
5,3,trunc,saturate,97.09,8
5,3,trunc,wrap,97.09,8
3,5,ceil,saturate,91.99,8
4,4,stochastic,saturate,89.25,8
3,5,floor,saturate,86.75,8
4,4,stochastic,wrap,81.56,8
3,5,trunc,wrap,50.12,8
4,4,ceil,saturate,37.31,8
4,4,ceil,wrap,37.02,8
3,5,nearest,wrap,36.53,8
5,3,stochastic,saturate,28.77,8
5,3,stochastic,wrap,28.61,8
3,5,ceil,wrap,26.76,8
3,5,stochastic,wrap,20.13,8
4,4,floor,saturate,19.75,8
4,4,floor,wrap,15.29,8
5,3,ceil,wrap,14.13,8
5,3,ceil,saturate,14.12,8
3,5,floor,wrap,12.75,8
1,7,nearest,wrap,10.54,8
0,8,ceil,wrap,10.2,8
0,8,nearest,wrap,10.08,8
0,8,stochastic,wrap,10.06,8
0,8,trunc,wrap,10.03,8
1,7,trunc,wrap,10.03,8
5,3,floor,saturate,9.86,8
0,8,floor,wrap,9.84,8
1,7,floor,wrap,9.72,8
1,7,ceil,wrap,9.57,8
1,7,stochastic,wrap,9.51,8
2,6,nearest,wrap,8.69,8
5,3,floor,wrap,8.36,8
2,6,stochastic,wrap,8.05,8
2,6,trunc,wrap,7.65,8
2,6,ceil,wrap,7.18,8
2,6,floor,wrap,7.03,8
1,8,stochastic,saturate,98.75,9
1,8,nearest,saturate,98.73,9
2,7,trunc,saturate,98.71,9
5,4,nearest,saturate,98.71,9
5,4,nearest,wrap,98.71,9
2,7,nearest,saturate,98.7,9
4,5,nearest,saturate,98.7,9
2,7,stochastic,saturate,98.68,9
3,6,trunc,saturate,98.67,9
3,6,nearest,saturate,98.66,9
1,8,trunc,saturate,98.65,9
1,8,floor,saturate,98.63,9
1,8,ceil,saturate,98.63,9
4,5,trunc,saturate,98.62,9
2,7,ceil,saturate,98.6,9
4,5,trunc,wrap,98.59,9
3,6,stochastic,saturate,98.56,9
4,5,nearest,wrap,98.55,9
2,7,floor,saturate,98.52,9
5,4,trunc,saturate,98.49,9
5,4,trunc,wrap,98.49,9
3,6,ceil,saturate,98.0,9
4,5,stochastic,saturate,97.81,9
3,6,floor,saturate,97.66,9
4,5,stochastic,wrap,96.07,9
4,5,ceil,saturate,91.95,9
4,5,ceil,wrap,91.89,9
5,4,stochastic,saturate,88.77,9
5,4,stochastic,wrap,88.77,9
4,5,floor,saturate,86.65,9
4,5,floor,wrap,81.51,9
3,6,trunc,wrap,42.97,9
3,6,ceil,wrap,40.02,9
5,4,ceil,saturate,37.39,9
5,4,ceil,wrap,37.39,9
3,6,nearest,wrap,36.07,9
3,6,stochastic,wrap,27.48,9
3,6,floor,wrap,23.11,9
5,4,floor,saturate,19.83,9
5,4,floor,wrap,19.82,9
1,8,stochastic,wrap,10.46,9
1,8,floor,wrap,10.42,9
1,8,ceil,wrap,10.42,9
1,8,trunc,wrap,10.11,9
1,8,nearest,wrap,10.05,9
2,7,stochastic,wrap,8.82,9
2,7,trunc,wrap,8.65,9
2,7,nearest,wrap,8.58,9
2,7,floor,wrap,7.94,9
2,7,ceil,wrap,7.65,9
2,8,nearest,saturate,98.71,10
5,5,nearest,saturate,98.71,10
5,5,nearest,wrap,98.71,10
3,7,stochastic,saturate,98.7,10
2,8,trunc,saturate,98.69,10
2,8,ceil,saturate,98.68,10
2,8,floor,saturate,98.65,10
3,7,trunc,saturate,98.65,10
4,6,trunc,saturate,98.65,10
2,8,stochastic,saturate,98.65,10
5,5,trunc,saturate,98.64,10
5,5,trunc,wrap,98.64,10
4,6,nearest,saturate,98.64,10
3,7,nearest,saturate,98.63,10
4,6,trunc,wrap,98.56,10
3,7,ceil,saturate,98.55,10
4,6,nearest,wrap,98.48,10
3,7,floor,saturate,98.46,10
4,6,stochastic,saturate,98.46,10
4,6,ceil,wrap,98.1,10
4,6,ceil,saturate,98.06,10
5,5,stochastic,saturate,97.81,10
5,5,stochastic,wrap,97.81,10
4,6,stochastic,wrap,97.77,10
4,6,floor,saturate,97.63,10
4,6,floor,wrap,96.2,10
5,5,ceil,saturate,91.94,10
5,5,ceil,wrap,91.94,10
5,5,floor,saturate,86.92,10
5,5,floor,wrap,86.92,10
3,7,ceil,wrap,40.03,10
3,7,trunc,wrap,39.67,10
3,7,nearest,wrap,36.26,10
3,7,stochastic,wrap,31.75,10
3,7,floor,wrap,30.01,10
2,8,stochastic,wrap,9.32,10
2,8,floor,wrap,8.99,10
2,8,ceil,wrap,8.47,10
2,8,nearest,wrap,8.44,10
2,8,trunc,wrap,8.13,10
4,7,trunc,saturate,98.72,11
3,8,stochastic,saturate,98.72,11
4,7,nearest,saturate,98.71,11
4,7,stochastic,saturate,98.71,11
3,8,nearest,saturate,98.69,11
3,8,trunc,saturate,98.68,11
5,6,trunc,saturate,98.68,11
5,6,trunc,wrap,98.68,11
5,6,nearest,saturate,98.67,11
5,6,nearest,wrap,98.67,11
3,8,floor,saturate,98.63,11
3,8,ceil,saturate,98.62,11
4,7,trunc,wrap,98.62,11
4,7,nearest,wrap,98.56,11
5,6,stochastic,saturate,98.52,11
5,6,stochastic,wrap,98.52,11
4,7,floor,saturate,98.49,11
4,7,stochastic,wrap,98.46,11
4,7,ceil,saturate,98.45,11
4,7,ceil,wrap,98.43,11
5,6,ceil,saturate,97.98,11
5,6,ceil,wrap,97.98,11
4,7,floor,wrap,97.9,11
5,6,floor,saturate,97.66,11
5,6,floor,wrap,97.66,11
3,8,ceil,wrap,38.21,11
3,8,trunc,wrap,37.69,11
3,8,nearest,wrap,35.87,11
3,8,stochastic,wrap,34.22,11
3,8,floor,wrap,33.29,11
4,8,floor,saturate,98.72,12
5,7,trunc,saturate,98.7,12
5,7,trunc,wrap,98.7,12
5,7,nearest,saturate,98.7,12
5,7,nearest,wrap,98.7,12
5,7,stochastic,saturate,98.68,12
5,7,stochastic,wrap,98.68,12
4,8,nearest,saturate,98.67,12
4,8,trunc,saturate,98.65,12
4,8,ceil,saturate,98.63,12
4,8,stochastic,saturate,98.61,12
5,7,floor,saturate,98.58,12
5,7,floor,wrap,98.58,12
4,8,ceil,wrap,98.58,12
4,8,nearest,wrap,98.58,12
4,8,trunc,wrap,98.54,12
5,7,ceil,saturate,98.52,12
5,7,ceil,wrap,98.52,12
4,8,stochastic,wrap,98.44,12
4,8,floor,wrap,98.4,12
5,8,trunc,saturate,98.75,13
5,8,trunc,wrap,98.75,13
5,8,stochastic,saturate,98.74,13
5,8,stochastic,wrap,98.74,13
5,8,nearest,saturate,98.72,13
5,8,nearest,wrap,98.72,13
