m,n,rounding,overflow,acc
0,0,floor,wrap,9.8
0,1,floor,wrap,9.8
0,2,floor,wrap,10.02
0,3,floor,wrap,10.17
0,4,floor,wrap,9.78
0,5,floor,wrap,10.26
0,6,floor,wrap,9.57
0,7,floor,wrap,10.6
0,8,floor,wrap,9.84
1,0,floor,wrap,10.51
1,1,floor,wrap,10.47
1,2,floor,wrap,9.87
1,3,floor,wrap,9.74
1,4,floor,wrap,9.57
1,5,floor,wrap,9.93
1,6,floor,wrap,10.36
1,7,floor,wrap,9.72
1,8,floor,wrap,10.42
2,0,floor,wrap,10.07
2,1,floor,wrap,9.74
2,2,floor,wrap,10.05
2,3,floor,wrap,10.03
2,4,floor,wrap,7.88
2,5,floor,wrap,9.01
2,6,floor,wrap,7.03
2,7,floor,wrap,7.94
2,8,floor,wrap,8.99
3,0,floor,wrap,9.74
3,1,floor,wrap,10.02
3,2,floor,wrap,11.17
3,3,floor,wrap,8.62
3,4,floor,wrap,5.26
3,5,floor,wrap,12.75
3,6,floor,wrap,23.11
3,7,floor,wrap,30.01
3,8,floor,wrap,33.29
4,0,floor,wrap,10.78
4,1,floor,wrap,13.35
4,2,floor,wrap,11.67
4,3,floor,wrap,5.12
4,4,floor,wrap,15.29
4,5,floor,wrap,81.51
4,6,floor,wrap,96.2
4,7,floor,wrap,97.9
4,8,floor,wrap,98.4
5,0,floor,wrap,13.93
5,1,floor,wrap,10.5
5,2,floor,wrap,7.14
5,3,floor,wrap,8.36
5,4,floor,wrap,19.82
5,5,floor,wrap,86.92
5,6,floor,wrap,97.66
5,7,floor,wrap,98.58
5,8,floor,wrap,98.63
