m,n,rounding,overflow,acc
0,0,nearest,wrap,9.8
0,1,nearest,wrap,9.8
0,2,nearest,wrap,9.9
0,3,nearest,wrap,10.29
0,4,nearest,wrap,9.71
0,5,nearest,wrap,9.61
0,6,nearest,wrap,10.16
0,7,nearest,wrap,10.67
0,8,nearest,wrap,10.08
1,0,nearest,wrap,5.71
1,1,nearest,wrap,9.44
1,2,nearest,wrap,10.13
1,3,nearest,wrap,10.39
1,4,nearest,wrap,9.47
1,5,nearest,wrap,10.13
1,6,nearest,wrap,10.12
1,7,nearest,wrap,10.54
1,8,nearest,wrap,10.05
2,0,nearest,wrap,7.82
2,1,nearest,wrap,6.86
2,2,nearest,wrap,8.74
2,3,nearest,wrap,9.15
2,4,nearest,wrap,8.72
2,5,nearest,wrap,8.77
2,6,nearest,wrap,8.69
2,7,nearest,wrap,8.58
2,8,nearest,wrap,8.44
3,0,nearest,wrap,5.1
3,1,nearest,wrap,20.51
3,2,nearest,wrap,36.12
3,3,nearest,wrap,35.1
3,4,nearest,wrap,38.0
3,5,nearest,wrap,36.53
3,6,nearest,wrap,36.07
3,7,nearest,wrap,36.26
3,8,nearest,wrap,35.87
4,0,nearest,wrap,9.82
4,1,nearest,wrap,53.55
4,2,nearest,wrap,97.8
4,3,nearest,wrap,98.44
4,4,nearest,wrap,98.54
4,5,nearest,wrap,98.55
4,6,nearest,wrap,98.48
4,7,nearest,wrap,98.56
4,8,nearest,wrap,98.58
5,0,nearest,wrap,9.81
5,1,nearest,wrap,54.74
5,2,nearest,wrap,98.2
5,3,nearest,wrap,98.53
5,4,nearest,wrap,98.71
5,5,nearest,wrap,98.71
5,6,nearest,wrap,98.67
5,7,nearest,wrap,98.7
5,8,nearest,wrap,98.72
