m,n,rounding,overflow,acc
0,0,stochastic,saturate,9.8
0,1,stochastic,saturate,9.8
0,2,stochastic,saturate,10.15
0,3,stochastic,saturate,26.08
0,4,stochastic,saturate,89.57
0,5,stochastic,saturate,97.83
0,6,stochastic,saturate,98.5
0,7,stochastic,saturate,98.75
0,8,stochastic,saturate,98.75
1,0,stochastic,saturate,10.06
1,1,stochastic,saturate,10.99
1,2,stochastic,saturate,10.41
1,3,stochastic,saturate,29.76
1,4,stochastic,saturate,89.24
1,5,stochastic,saturate,97.75
1,6,stochastic,saturate,98.52
1,7,stochastic,saturate,98.7
1,8,stochastic,saturate,98.75
2,0,stochastic,saturate,9.29
2,1,stochastic,saturate,12.95
2,2,stochastic,saturate,11.01
2,3,stochastic,saturate,27.28
2,4,stochastic,saturate,89.21
2,5,stochastic,saturate,97.89
2,6,stochastic,saturate,98.55
2,7,stochastic,saturate,98.68
2,8,stochastic,saturate,98.65
3,0,stochastic,saturate,9.97
3,1,stochastic,saturate,10.97
3,2,stochastic,saturate,10.7
3,3,stochastic,saturate,28.22
3,4,stochastic,saturate,88.78
3,5,stochastic,saturate,97.78
3,6,stochastic,saturate,98.56
3,7,stochastic,saturate,98.7
3,8,stochastic,saturate,98.72
4,0,stochastic,saturate,11.18
4,1,stochastic,saturate,12.3
4,2,stochastic,saturate,10.16
4,3,stochastic,saturate,29.77
4,4,stochastic,saturate,89.25
4,5,stochastic,saturate,97.81
4,6,stochastic,saturate,98.46
4,7,stochastic,saturate,98.71
4,8,stochastic,saturate,98.61
5,0,stochastic,saturate,9.44
5,1,stochastic,saturate,10.0
5,2,stochastic,saturate,10.49
5,3,stochastic,saturate,28.77
5,4,stochastic,saturate,88.77
5,5,stochastic,saturate,97.81
5,6,stochastic,saturate,98.52
5,7,stochastic,saturate,98.68
5,8,stochastic,saturate,98.74
