m,n,rounding,overflow,acc
0,0,stochastic,wrap,9.8
0,1,stochastic,wrap,9.8
0,2,stochastic,wrap,10.06
0,3,stochastic,wrap,10.03
0,4,stochastic,wrap,10.25
0,5,stochastic,wrap,9.8
0,6,stochastic,wrap,10.08
0,7,stochastic,wrap,9.53
0,8,stochastic,wrap,10.06
1,0,stochastic,wrap,10.29
1,1,stochastic,wrap,9.97
1,2,stochastic,wrap,9.86
1,3,stochastic,wrap,9.7
1,4,stochastic,wrap,9.7
1,5,stochastic,wrap,10.2
1,6,stochastic,wrap,9.35
1,7,stochastic,wrap,9.51
1,8,stochastic,wrap,10.46
2,0,stochastic,wrap,9.99
2,1,stochastic,wrap,9.87
2,2,stochastic,wrap,9.77
2,3,stochastic,wrap,8.75
2,4,stochastic,wrap,8.49
2,5,stochastic,wrap,7.24
2,6,stochastic,wrap,8.05
2,7,stochastic,wrap,8.82
2,8,stochastic,wrap,9.32
3,0,stochastic,wrap,9.85
3,1,stochastic,wrap,9.7
3,2,stochastic,wrap,7.75
3,3,stochastic,wrap,6.05
3,4,stochastic,wrap,9.48
3,5,stochastic,wrap,20.13
3,6,stochastic,wrap,27.48
3,7,stochastic,wrap,31.75
3,8,stochastic,wrap,34.22
4,0,stochastic,wrap,9.63
4,1,stochastic,wrap,9.14
4,2,stochastic,wrap,6.84
4,3,stochastic,wrap,20.17
4,4,stochastic,wrap,81.56
4,5,stochastic,wrap,96.07
4,6,stochastic,wrap,97.77
4,7,stochastic,wrap,98.46
4,8,stochastic,wrap,98.44
5,0,stochastic,wrap,15.18
5,1,stochastic,wrap,10.72
5,2,stochastic,wrap,8.72
5,3,stochastic,wrap,28.61
5,4,stochastic,wrap,88.77
5,5,stochastic,wrap,97.81
5,6,stochastic,wrap,98.52
5,7,stochastic,wrap,98.68
5,8,stochastic,wrap,98.74
