m,n,rounding,overflow,acc
0,0,trunc,saturate,9.8
0,1,trunc,saturate,9.8
0,2,trunc,saturate,22.69
0,3,trunc,saturate,97.27
0,4,trunc,saturate,98.51
0,5,trunc,saturate,98.67
0,6,trunc,saturate,98.77
0,7,trunc,saturate,98.7
0,8,trunc,saturate,98.74
1,0,trunc,saturate,9.8
1,1,trunc,saturate,9.8
1,2,trunc,saturate,22.64
1,3,trunc,saturate,97.18
1,4,trunc,saturate,98.48
1,5,trunc,saturate,98.63
1,6,trunc,saturate,98.66
1,7,trunc,saturate,98.74
1,8,trunc,saturate,98.65
2,0,trunc,saturate,9.8
2,1,trunc,saturate,9.8
2,2,trunc,saturate,22.58
2,3,trunc,saturate,97.11
2,4,trunc,saturate,98.47
2,5,trunc,saturate,98.63
2,6,trunc,saturate,98.66
2,7,trunc,saturate,98.71
2,8,trunc,saturate,98.69
3,0,trunc,saturate,9.8
3,1,trunc,saturate,9.8
3,2,trunc,saturate,22.71
3,3,trunc,saturate,97.28
3,4,trunc,saturate,98.53
3,5,trunc,saturate,98.7
3,6,trunc,saturate,98.67
3,7,trunc,saturate,98.65
3,8,trunc,saturate,98.68
4,0,trunc,saturate,9.8
4,1,trunc,saturate,9.8
4,2,trunc,saturate,22.79
4,3,trunc,saturate,97.27
4,4,trunc,saturate,98.56
4,5,trunc,saturate,98.62
4,6,trunc,saturate,98.65
4,7,trunc,saturate,98.72
4,8,trunc,saturate,98.65
5,0,trunc,saturate,9.8
5,1,trunc,saturate,9.8
5,2,trunc,saturate,22.66
5,3,trunc,saturate,97.09
5,4,trunc,saturate,98.49
5,5,trunc,saturate,98.64
5,6,trunc,saturate,98.68
5,7,trunc,saturate,98.7
5,8,trunc,saturate,98.75
