m,n,rounding,overflow,acc
0,0,trunc,wrap,9.8
0,1,trunc,wrap,9.8
0,2,trunc,wrap,10.22
0,3,trunc,wrap,9.75
0,4,trunc,wrap,10.2
0,5,trunc,wrap,10.0
0,6,trunc,wrap,9.68
0,7,trunc,wrap,9.91
0,8,trunc,wrap,10.03
1,0,trunc,wrap,9.8
1,1,trunc,wrap,9.27
1,2,trunc,wrap,8.44
1,3,trunc,wrap,10.13
1,4,trunc,wrap,9.71
1,5,trunc,wrap,9.91
1,6,trunc,wrap,10.24
1,7,trunc,wrap,10.03
1,8,trunc,wrap,10.11
2,0,trunc,wrap,9.8
2,1,trunc,wrap,8.83
2,2,trunc,wrap,7.7
2,3,trunc,wrap,10.83
2,4,trunc,wrap,7.92
2,5,trunc,wrap,7.99
2,6,trunc,wrap,7.65
2,7,trunc,wrap,8.65
2,8,trunc,wrap,8.13
3,0,trunc,wrap,9.8
3,1,trunc,wrap,9.8
3,2,trunc,wrap,21.36
3,3,trunc,wrap,75.99
3,4,trunc,wrap,60.98
3,5,trunc,wrap,50.12
3,6,trunc,wrap,42.97
3,7,trunc,wrap,39.67
3,8,trunc,wrap,37.69
4,0,trunc,wrap,9.8
4,1,trunc,wrap,9.8
4,2,trunc,wrap,22.79
4,3,trunc,wrap,97.25
4,4,trunc,wrap,98.57
4,5,trunc,wrap,98.59
4,6,trunc,wrap,98.56
4,7,trunc,wrap,98.62
4,8,trunc,wrap,98.54
5,0,trunc,wrap,9.8
5,1,trunc,wrap,9.8
5,2,trunc,wrap,22.66
5,3,trunc,wrap,97.09
5,4,trunc,wrap,98.49
5,5,trunc,wrap,98.64
5,6,trunc,wrap,98.68
5,7,trunc,wrap,98.7
5,8,trunc,wrap,98.75
