m,n,rounding,overflow,acc
0,0,stochastic,saturate,9.8
0,1,stochastic,saturate,9.8
0,2,stochastic,saturate,10.51
0,3,stochastic,saturate,11.13
0,4,stochastic,saturate,13.42
0,5,stochastic,saturate,13.4
0,6,stochastic,saturate,13.69
0,7,stochastic,saturate,10.9
0,8,stochastic,saturate,11.97
1,0,stochastic,saturate,6.73
1,1,stochastic,saturate,12.73
1,2,stochastic,saturate,10.82
1,3,stochastic,saturate,9.32
1,4,stochastic,saturate,9.73
1,5,stochastic,saturate,10.76
1,6,stochastic,saturate,11.32
1,7,stochastic,saturate,12.04
1,8,stochastic,saturate,11.98
2,0,stochastic,saturate,9.43
2,1,stochastic,saturate,10.96
2,2,stochastic,saturate,10.25
2,3,stochastic,saturate,10.13
2,4,stochastic,saturate,13.21
2,5,stochastic,saturate,12.04
2,6,stochastic,saturate,12.89
2,7,stochastic,saturate,12.94
2,8,stochastic,saturate,11.51
3,0,stochastic,saturate,7.54
3,1,stochastic,saturate,11.51
3,2,stochastic,saturate,8.16
3,3,stochastic,saturate,10.69
3,4,stochastic,saturate,10.99
3,5,stochastic,saturate,10.09
3,6,stochastic,saturate,11.78
3,7,stochastic,saturate,13.42
3,8,stochastic,saturate,12.03
4,0,stochastic,saturate,8.4
4,1,stochastic,saturate,9.48
4,2,stochastic,saturate,14.29
4,3,stochastic,saturate,12.01
4,4,stochastic,saturate,10.44
4,5,stochastic,saturate,13.79
4,6,stochastic,saturate,11.62
4,7,stochastic,saturate,10.42
4,8,stochastic,saturate,14.04
5,0,stochastic,saturate,8.75
5,1,stochastic,saturate,12.0
5,2,stochastic,saturate,11.9
5,3,stochastic,saturate,11.95
5,4,stochastic,saturate,11.75
5,5,stochastic,saturate,13.12
5,6,stochastic,saturate,9.73
5,7,stochastic,saturate,11.58
5,8,stochastic,saturate,11.96
