m,n,rounding,overflow,acc,bits
0,0,floor,saturate,9.8,0
0,0,floor,wrap,9.8,0
0,0,ceil,saturate,9.8,0
0,0,ceil,wrap,9.8,0
0,0,trunc,saturate,9.8,0
0,0,trunc,wrap,9.8,0
0,0,nearest,saturate,9.8,0
0,0,nearest,wrap,9.8,0
0,0,stochastic,saturate,9.8,0
0,0,stochastic,wrap,9.8,0
1,0,nearest,saturate,97.62,1
1,0,stochastic,wrap,10.24,1
1,0,nearest,wrap,10.19,1
1,0,ceil,wrap,9.89,1
0,1,floor,saturate,9.8,1
1,0,floor,saturate,9.8,1
0,1,floor,wrap,9.8,1
0,1,ceil,saturate,9.8,1
1,0,ceil,saturate,9.8,1
0,1,ceil,wrap,9.8,1
0,1,trunc,saturate,9.8,1
1,0,trunc,saturate,9.8,1
0,1,trunc,wrap,9.8,1
0,1,nearest,saturate,9.8,1
0,1,nearest,wrap,9.8,1
0,1,stochastic,saturate,9.8,1
0,1,stochastic,wrap,9.8,1
1,0,floor,wrap,9.76,1
1,0,stochastic,saturate,9.43,1
1,0,trunc,wrap,8.24,1
2,0,nearest,saturate,97.77,2
0,2,nearest,saturate,97.5,2
1,1,nearest,saturate,97.44,2
2,0,floor,wrap,11.27,2
1,1,nearest,wrap,10.96,2
0,2,stochastic,saturate,10.77,2
1,1,stochastic,saturate,10.58,2
0,2,nearest,wrap,10.32,2
1,1,floor,wrap,10.15,2
1,1,ceil,wrap,10.11,2
0,2,floor,wrap,10.06,2
0,2,ceil,wrap,10.02,2
0,2,trunc,saturate,9.87,2
0,2,trunc,wrap,9.86,2
0,2,floor,saturate,9.8,2
1,1,floor,saturate,9.8,2
2,0,floor,saturate,9.8,2
0,2,ceil,saturate,9.8,2
1,1,ceil,saturate,9.8,2
2,0,ceil,saturate,9.8,2
1,1,trunc,saturate,9.8,2
2,0,trunc,saturate,9.8,2
2,0,trunc,wrap,9.74,2
1,1,stochastic,wrap,9.65,2
2,0,stochastic,wrap,9.48,2
0,2,stochastic,wrap,9.33,2
2,0,stochastic,saturate,8.56,2
2,0,ceil,wrap,8.01,2
1,1,trunc,wrap,5.38,2
2,0,nearest,wrap,4.01,2
0,3,nearest,saturate,97.67,3
3,0,nearest,saturate,97.67,3
1,2,nearest,saturate,97.65,3
2,1,nearest,saturate,97.44,3
3,0,nearest,wrap,93.66,3
3,0,floor,wrap,16.07,3
0,3,stochastic,saturate,11.43,3
1,2,stochastic,saturate,11.05,3
3,0,stochastic,wrap,10.95,3
2,1,floor,wrap,10.89,3
0,3,trunc,saturate,10.7,3
1,2,floor,wrap,10.28,3
0,3,ceil,wrap,10.22,3
0,3,nearest,wrap,10.2,3
1,2,stochastic,wrap,10.11,3
1,2,nearest,wrap,10.07,3
0,3,stochastic,wrap,10.01,3
0,3,floor,wrap,9.89,3
1,2,trunc,saturate,9.89,3
2,1,stochastic,saturate,9.89,3
0,3,floor,saturate,9.8,3
1,2,floor,saturate,9.8,3
2,1,floor,saturate,9.8,3
3,0,floor,saturate,9.8,3
0,3,ceil,saturate,9.8,3
1,2,ceil,saturate,9.8,3
2,1,ceil,saturate,9.8,3
3,0,ceil,saturate,9.8,3
2,1,trunc,saturate,9.8,3
3,0,trunc,saturate,9.8,3
3,0,trunc,wrap,9.8,3
1,2,trunc,wrap,9.78,3
2,1,stochastic,wrap,9.71,3
1,2,ceil,wrap,9.64,3
0,3,trunc,wrap,9.59,3
2,1,trunc,wrap,9.43,3
3,0,stochastic,saturate,9.33,3
3,0,ceil,wrap,8.39,3
2,1,ceil,wrap,8.09,3
2,1,nearest,wrap,4.27,3
4,0,nearest,saturate,97.73,4
4,0,nearest,wrap,97.69,4
1,3,nearest,saturate,97.64,4
0,4,nearest,saturate,97.63,4
2,2,nearest,saturate,97.62,4
3,1,nearest,saturate,97.42,4
3,1,nearest,wrap,93.66,4
3,1,floor,wrap,16.4,4
4,0,stochastic,wrap,15.5,4
0,4,trunc,saturate,13.94,4
4,0,ceil,wrap,12.34,4
2,2,stochastic,saturate,12.01,4
0,4,stochastic,saturate,11.98,4
3,1,stochastic,wrap,11.91,4
1,3,stochastic,saturate,11.7,4
1,3,trunc,wrap,11.06,4
2,2,floor,wrap,11.01,4
3,1,stochastic,saturate,10.75,4
1,3,trunc,saturate,10.73,4
2,2,trunc,wrap,10.73,4
0,4,floor,wrap,10.57,4
2,2,stochastic,wrap,10.39,4
0,4,stochastic,wrap,10.24,4
1,3,nearest,wrap,10.13,4
1,3,ceil,wrap,9.95,4
0,4,trunc,wrap,9.92,4
2,2,trunc,saturate,9.89,4
0,4,ceil,wrap,9.87,4
0,4,floor,saturate,9.8,4
1,3,floor,saturate,9.8,4
2,2,floor,saturate,9.8,4
3,1,floor,saturate,9.8,4
4,0,floor,saturate,9.8,4
0,4,ceil,saturate,9.8,4
1,3,ceil,saturate,9.8,4
2,2,ceil,saturate,9.8,4
3,1,ceil,saturate,9.8,4
4,0,ceil,saturate,9.8,4
3,1,trunc,saturate,9.8,4
4,0,trunc,saturate,9.8,4
3,1,trunc,wrap,9.8,4
4,0,trunc,wrap,9.8,4
0,4,nearest,wrap,9.73,4
1,3,stochastic,wrap,9.67,4
1,3,floor,wrap,9.43,4
3,1,ceil,wrap,8.93,4
2,2,ceil,wrap,8.25,4
4,0,stochastic,saturate,7.62,4
4,0,floor,wrap,7.52,4
2,2,nearest,wrap,3.91,4
0,5,nearest,saturate,97.8,5
3,2,nearest,saturate,97.71,5
1,4,nearest,saturate,97.7,5
5,0,nearest,wrap,97.63,5
5,0,nearest,saturate,97.62,5
2,3,nearest,saturate,97.6,5
4,1,nearest,saturate,97.44,5
4,1,nearest,wrap,97.41,5
3,2,nearest,wrap,92.22,5
0,5,trunc,saturate,16.76,5
3,2,floor,wrap,16.01,5
4,1,ceil,wrap,15.84,5
1,4,trunc,saturate,13.96,5
2,3,trunc,wrap,12.8,5
3,2,stochastic,saturate,12.68,5
1,4,stochastic,saturate,12.29,5
2,3,stochastic,saturate,11.96,5
0,5,stochastic,saturate,10.97,5
2,3,trunc,saturate,10.68,5
0,5,trunc,wrap,10.58,5
1,4,ceil,wrap,10.57,5
4,1,stochastic,wrap,10.5,5
2,3,floor,wrap,10.46,5
1,4,trunc,wrap,10.43,5
1,4,stochastic,wrap,10.35,5
4,1,stochastic,saturate,10.31,5
0,5,nearest,wrap,10.18,5
2,3,stochastic,wrap,10.14,5
1,4,floor,wrap,10.1,5
0,5,stochastic,wrap,10.09,5
0,5,ceil,wrap,10.03,5
3,2,trunc,wrap,10.0,5
0,5,floor,wrap,9.99,5
3,2,trunc,saturate,9.88,5
0,5,floor,saturate,9.8,5
1,4,floor,saturate,9.8,5
2,3,floor,saturate,9.8,5
3,2,floor,saturate,9.8,5
4,1,floor,saturate,9.8,5
5,0,floor,saturate,9.8,5
5,0,floor,wrap,9.8,5
0,5,ceil,saturate,9.8,5
1,4,ceil,saturate,9.8,5
2,3,ceil,saturate,9.8,5
3,2,ceil,saturate,9.8,5
4,1,ceil,saturate,9.8,5
5,0,ceil,saturate,9.8,5
5,0,ceil,wrap,9.8,5
4,1,trunc,saturate,9.8,5
5,0,trunc,saturate,9.8,5
4,1,trunc,wrap,9.8,5
5,0,trunc,wrap,9.8,5
1,4,nearest,wrap,9.72,5
5,0,stochastic,wrap,9.33,5
3,2,ceil,wrap,9.19,5
5,0,stochastic,saturate,9.17,5
2,3,ceil,wrap,8.45,5
3,2,stochastic,wrap,8.42,5
4,1,floor,wrap,7.48,5
2,3,nearest,wrap,4.39,5
0,6,nearest,saturate,97.83,6
2,4,nearest,saturate,97.76,6
1,5,nearest,saturate,97.75,6
4,2,nearest,wrap,97.75,6
4,2,nearest,saturate,97.74,6
3,3,nearest,saturate,97.58,6
5,1,nearest,wrap,97.41,6
5,1,nearest,saturate,97.4,6
3,3,nearest,wrap,92.0,6
0,6,trunc,saturate,18.97,6
1,5,trunc,saturate,16.76,6
3,3,floor,wrap,15.46,6
4,2,ceil,wrap,15.34,6
2,4,trunc,wrap,15.19,6
2,4,trunc,saturate,14.07,6
0,6,stochastic,saturate,12.25,6
3,3,stochastic,saturate,12.17,6
1,5,stochastic,saturate,12.01,6
5,1,stochastic,saturate,11.68,6
5,1,stochastic,wrap,11.28,6
4,2,stochastic,wrap,11.25,6
3,3,trunc,wrap,11.2,6
2,4,floor,wrap,10.71,6
3,3,trunc,saturate,10.69,6
2,4,stochastic,saturate,10.58,6
2,4,stochastic,wrap,10.5,6
0,6,nearest,wrap,10.28,6
0,6,trunc,wrap,10.25,6
3,3,stochastic,wrap,10.23,6
0,6,ceil,wrap,10.05,6
0,6,floor,wrap,10.01,6
1,5,ceil,wrap,9.99,6
1,5,nearest,wrap,9.94,6
4,2,trunc,saturate,9.9,6
4,2,trunc,wrap,9.9,6
1,5,trunc,wrap,9.82,6
0,6,floor,saturate,9.8,6
1,5,floor,saturate,9.8,6
2,4,floor,saturate,9.8,6
3,3,floor,saturate,9.8,6
4,2,floor,saturate,9.8,6
5,1,floor,saturate,9.8,6
5,1,floor,wrap,9.8,6
0,6,ceil,saturate,9.8,6
1,5,ceil,saturate,9.8,6
2,4,ceil,saturate,9.8,6
3,3,ceil,saturate,9.8,6
4,2,ceil,saturate,9.8,6
5,1,ceil,saturate,9.8,6
5,1,ceil,wrap,9.8,6
5,1,trunc,saturate,9.8,6
5,1,trunc,wrap,9.8,6
1,5,stochastic,wrap,9.78,6
1,5,floor,wrap,9.63,6
0,6,stochastic,wrap,9.61,6
4,2,stochastic,saturate,9.03,6
3,3,ceil,wrap,8.63,6
2,4,ceil,wrap,8.24,6
4,2,floor,wrap,7.28,6
2,4,nearest,wrap,4.06,6
2,5,nearest,saturate,97.8,7
5,2,nearest,saturate,97.8,7
0,7,nearest,saturate,97.79,7
5,2,nearest,wrap,97.78,7
1,6,nearest,saturate,97.75,7
4,3,nearest,wrap,97.66,7
3,4,nearest,saturate,97.65,7
4,3,nearest,saturate,97.63,7
3,4,nearest,wrap,91.75,7
0,7,trunc,saturate,20.28,7
1,6,trunc,saturate,18.65,7
2,5,trunc,saturate,16.86,7
2,5,trunc,wrap,16.21,7
3,4,floor,wrap,15.52,7
4,3,ceil,wrap,15.2,7
3,4,trunc,wrap,14.6,7
3,4,trunc,saturate,14.03,7
3,4,stochastic,wrap,12.66,7
4,3,stochastic,wrap,12.51,7
3,4,stochastic,saturate,12.22,7
2,5,stochastic,saturate,11.71,7
2,5,stochastic,wrap,11.61,7
1,6,stochastic,saturate,11.25,7
4,3,stochastic,saturate,11.2,7
5,2,stochastic,saturate,10.96,7
2,5,floor,wrap,10.9,7
0,7,trunc,wrap,10.77,7
4,3,trunc,saturate,10.62,7
4,3,trunc,wrap,10.62,7
5,2,stochastic,wrap,10.42,7
1,6,floor,wrap,10.38,7
0,7,stochastic,saturate,10.38,7
1,6,stochastic,wrap,10.28,7
1,6,trunc,wrap,10.22,7
0,7,stochastic,wrap,10.17,7
0,7,floor,wrap,10.01,7
5,2,trunc,saturate,9.88,7
5,2,trunc,wrap,9.88,7
0,7,ceil,wrap,9.87,7
0,7,floor,saturate,9.8,7
1,6,floor,saturate,9.8,7
2,5,floor,saturate,9.8,7
3,4,floor,saturate,9.8,7
4,3,floor,saturate,9.8,7
5,2,floor,saturate,9.8,7
0,7,ceil,saturate,9.8,7
1,6,ceil,saturate,9.8,7
2,5,ceil,saturate,9.8,7
3,4,ceil,saturate,9.8,7
4,3,ceil,saturate,9.8,7
5,2,ceil,saturate,9.8,7
5,2,ceil,wrap,9.8,7
1,6,nearest,wrap,9.73,7
1,6,ceil,wrap,9.66,7
0,7,nearest,wrap,9.59,7
5,2,floor,wrap,9.5,7
3,4,ceil,wrap,8.25,7
2,5,ceil,wrap,7.93,7
4,3,floor,wrap,7.38,7
2,5,nearest,wrap,4.47,7
3,5,nearest,saturate,97.83,8
0,8,nearest,saturate,97.73,8
1,7,nearest,saturate,97.71,8
4,4,nearest,saturate,97.7,8
5,3,nearest,saturate,97.7,8
5,3,nearest,wrap,97.7,8
4,4,nearest,wrap,97.69,8
2,6,nearest,saturate,97.61,8
3,5,nearest,wrap,91.46,8
0,8,trunc,saturate,20.89,8
1,7,trunc,saturate,20.4,8
2,6,trunc,saturate,18.75,8
3,5,trunc,wrap,17.26,8
2,6,trunc,wrap,16.96,8
3,5,trunc,saturate,16.59,8
3,5,floor,wrap,15.75,8
4,4,stochastic,wrap,15.23,8
4,4,ceil,wrap,14.88,8
4,4,trunc,saturate,14.19,8
4,4,trunc,wrap,14.19,8
4,4,stochastic,saturate,13.97,8
3,5,stochastic,saturate,13.51,8
0,8,stochastic,saturate,13.35,8
2,6,stochastic,saturate,12.17,8
1,7,stochastic,saturate,11.96,8
5,3,stochastic,saturate,11.89,8
5,3,stochastic,wrap,11.51,8
3,5,stochastic,wrap,10.93,8
2,6,stochastic,wrap,10.84,8
5,3,trunc,saturate,10.68,8
5,3,trunc,wrap,10.68,8
1,7,nearest,wrap,10.55,8
1,7,stochastic,wrap,10.51,8
0,8,nearest,wrap,10.41,8
2,6,floor,wrap,10.33,8
0,8,ceil,wrap,10.13,8
0,8,trunc,wrap,10.04,8
1,7,floor,wrap,9.99,8
0,8,stochastic,wrap,9.86,8
0,8,floor,wrap,9.81,8
1,7,ceil,wrap,9.81,8
0,8,floor,saturate,9.8,8
1,7,floor,saturate,9.8,8
2,6,floor,saturate,9.8,8
3,5,floor,saturate,9.8,8
4,4,floor,saturate,9.8,8
5,3,floor,saturate,9.8,8
0,8,ceil,saturate,9.8,8
1,7,ceil,saturate,9.8,8
2,6,ceil,saturate,9.8,8
3,5,ceil,saturate,9.8,8
4,4,ceil,saturate,9.8,8
5,3,ceil,saturate,9.8,8
5,3,ceil,wrap,9.8,8
5,3,floor,wrap,9.53,8
1,7,trunc,wrap,8.53,8
2,6,ceil,wrap,8.2,8
3,5,ceil,wrap,8.05,8
4,4,floor,wrap,7.71,8
2,6,nearest,wrap,4.0,8
4,5,nearest,wrap,97.81,9
4,5,nearest,saturate,97.8,9
1,8,nearest,saturate,97.76,9
3,6,nearest,saturate,97.75,9
5,4,nearest,saturate,97.7,9
5,4,nearest,wrap,97.68,9
2,7,nearest,saturate,97.67,9
3,6,nearest,wrap,91.06,9
1,8,trunc,saturate,20.97,9
2,7,trunc,saturate,20.39,9
3,6,trunc,wrap,19.41,9
3,6,trunc,saturate,18.81,9
2,7,trunc,wrap,17.91,9
4,5,trunc,saturate,16.9,9
4,5,trunc,wrap,16.9,9
3,6,floor,wrap,15.79,9
4,5,ceil,wrap,15.14,9
5,4,trunc,saturate,14.13,9
5,4,trunc,wrap,14.13,9
4,5,stochastic,wrap,11.89,9
3,6,stochastic,saturate,11.52,9
2,7,stochastic,wrap,11.52,9
2,7,stochastic,saturate,11.28,9
1,8,stochastic,saturate,11.25,9
1,8,floor,wrap,10.57,9
2,7,floor,wrap,10.48,9
4,5,stochastic,saturate,10.37,9
1,8,nearest,wrap,10.12,9
1,8,ceil,wrap,9.94,9
1,8,stochastic,wrap,9.92,9
1,8,floor,saturate,9.8,9
2,7,floor,saturate,9.8,9
3,6,floor,saturate,9.8,9
4,5,floor,saturate,9.8,9
5,4,floor,saturate,9.8,9
1,8,ceil,saturate,9.8,9
2,7,ceil,saturate,9.8,9
3,6,ceil,saturate,9.8,9
4,5,ceil,saturate,9.8,9
5,4,ceil,saturate,9.8,9
5,4,ceil,wrap,9.8,9
5,4,floor,wrap,9.47,9
5,4,stochastic,saturate,9.44,9
5,4,stochastic,wrap,9.43,9
3,6,stochastic,wrap,8.85,9
3,6,ceil,wrap,8.7,9
1,8,trunc,wrap,8.42,9
2,7,ceil,wrap,8.08,9
4,5,floor,wrap,7.86,9
2,7,nearest,wrap,4.24,9
4,6,nearest,wrap,97.75,10
3,7,nearest,saturate,97.73,10
4,6,nearest,saturate,97.72,10
2,8,nearest,saturate,97.7,10
5,5,nearest,saturate,97.7,10
5,5,nearest,wrap,97.69,10
3,7,nearest,wrap,90.88,10
2,8,trunc,saturate,21.08,10
3,7,trunc,wrap,21.08,10
3,7,trunc,saturate,20.51,10
4,6,trunc,saturate,18.8,10
4,6,trunc,wrap,18.8,10
2,8,trunc,wrap,17.68,10
5,5,trunc,saturate,16.76,10
5,5,trunc,wrap,16.76,10
3,7,floor,wrap,15.56,10
4,6,ceil,wrap,15.13,10
4,6,stochastic,wrap,12.95,10
4,6,stochastic,saturate,12.22,10
5,5,stochastic,saturate,11.41,10
5,5,stochastic,wrap,11.38,10
3,7,stochastic,wrap,11.25,10
3,7,stochastic,saturate,11.0,10
2,8,floor,wrap,10.86,10
2,8,stochastic,wrap,10.15,10
2,8,stochastic,saturate,10.06,10
2,8,floor,saturate,9.8,10
3,7,floor,saturate,9.8,10
4,6,floor,saturate,9.8,10
5,5,floor,saturate,9.8,10
2,8,ceil,saturate,9.8,10
3,7,ceil,saturate,9.8,10
4,6,ceil,saturate,9.8,10
5,5,ceil,saturate,9.8,10
5,5,ceil,wrap,9.8,10
5,5,floor,wrap,9.44,10
3,7,ceil,wrap,8.7,10
2,8,ceil,wrap,8.57,10
4,6,floor,wrap,7.88,10
2,8,nearest,wrap,3.67,10
3,8,nearest,saturate,97.81,11
4,7,nearest,wrap,97.79,11
4,7,nearest,saturate,97.76,11
5,6,nearest,saturate,97.68,11
5,6,nearest,wrap,97.67,11
3,8,nearest,wrap,90.95,11
3,8,trunc,wrap,21.36,11
3,8,trunc,saturate,20.9,11
4,7,trunc,saturate,20.69,11
4,7,trunc,wrap,20.69,11
5,6,trunc,saturate,18.89,11
5,6,trunc,wrap,18.89,11
3,8,floor,wrap,16.03,11
4,7,ceil,wrap,14.85,11
4,7,stochastic,wrap,13.75,11
3,8,stochastic,saturate,12.61,11
4,7,stochastic,saturate,12.54,11
5,6,stochastic,saturate,11.17,11
5,6,stochastic,wrap,9.91,11
3,8,floor,saturate,9.8,11
4,7,floor,saturate,9.8,11
5,6,floor,saturate,9.8,11
3,8,ceil,saturate,9.8,11
4,7,ceil,saturate,9.8,11
5,6,ceil,saturate,9.8,11
5,6,ceil,wrap,9.8,11
3,8,stochastic,wrap,9.62,11
5,6,floor,wrap,9.45,11
3,8,ceil,wrap,8.69,11
4,7,floor,wrap,8.1,11
5,7,nearest,saturate,97.75,12
4,8,nearest,saturate,97.74,12
4,8,nearest,wrap,97.73,12
5,7,nearest,wrap,97.72,12
4,8,trunc,saturate,21.13,12
4,8,trunc,wrap,21.13,12
5,7,trunc,saturate,20.32,12
5,7,trunc,wrap,20.32,12
4,8,ceil,wrap,14.81,12
5,7,stochastic,saturate,13.03,12
4,8,stochastic,wrap,12.24,12
4,8,stochastic,saturate,11.47,12
5,7,stochastic,wrap,10.83,12
4,8,floor,saturate,9.8,12
5,7,floor,saturate,9.8,12
4,8,ceil,saturate,9.8,12
5,7,ceil,saturate,9.8,12
5,7,ceil,wrap,9.8,12
5,7,floor,wrap,9.54,12
4,8,floor,wrap,7.88,12
5,8,nearest,saturate,97.73,13
5,8,nearest,wrap,97.73,13
5,8,trunc,saturate,21.17,13
5,8,trunc,wrap,21.17,13
5,8,stochastic,saturate,11.04,13
5,8,floor,saturate,9.8,13
