m,n,rounding,overflow,acc
0,0,nearest,wrap,9.8
0,1,nearest,wrap,9.8
0,2,nearest,wrap,10.32
0,3,nearest,wrap,10.2
0,4,nearest,wrap,9.73
0,5,nearest,wrap,10.18
0,6,nearest,wrap,10.28
0,7,nearest,wrap,9.59
0,8,nearest,wrap,10.41
1,0,nearest,wrap,10.19
1,1,nearest,wrap,10.96
1,2,nearest,wrap,10.07
1,3,nearest,wrap,10.13
1,4,nearest,wrap,9.72
1,5,nearest,wrap,9.94
1,6,nearest,wrap,9.73
1,7,nearest,wrap,10.55
1,8,nearest,wrap,10.12
2,0,nearest,wrap,4.01
2,1,nearest,wrap,4.27
2,2,nearest,wrap,3.91
2,3,nearest,wrap,4.39
2,4,nearest,wrap,4.06
2,5,nearest,wrap,4.47
2,6,nearest,wrap,4.0
2,7,nearest,wrap,4.24
2,8,nearest,wrap,3.67
3,0,nearest,wrap,93.66
3,1,nearest,wrap,93.66
3,2,nearest,wrap,92.22
3,3,nearest,wrap,92.0
3,4,nearest,wrap,91.75
3,5,nearest,wrap,91.46
3,6,nearest,wrap,91.06
3,7,nearest,wrap,90.88
3,8,nearest,wrap,90.95
4,0,nearest,wrap,97.69
4,1,nearest,wrap,97.41
4,2,nearest,wrap,97.75
4,3,nearest,wrap,97.66
4,4,nearest,wrap,97.69
4,5,nearest,wrap,97.81
4,6,nearest,wrap,97.75
4,7,nearest,wrap,97.79
4,8,nearest,wrap,97.73
5,0,nearest,wrap,97.63
5,1,nearest,wrap,97.41
5,2,nearest,wrap,97.78
5,3,nearest,wrap,97.7
5,4,nearest,wrap,97.68
5,5,nearest,wrap,97.69
5,6,nearest,wrap,97.67
5,7,nearest,wrap,97.72
5,8,nearest,wrap,97.73
