m,n,rounding,overflow,acc
0,0,stochastic,wrap,9.8
0,1,stochastic,wrap,9.8
0,2,stochastic,wrap,9.62
0,3,stochastic,wrap,10.66
0,4,stochastic,wrap,10.14
0,5,stochastic,wrap,9.66
0,6,stochastic,wrap,10.71
0,7,stochastic,wrap,10.1
0,8,stochastic,wrap,10.2
1,0,stochastic,wrap,10.19
1,1,stochastic,wrap,9.78
1,2,stochastic,wrap,10.16
1,3,stochastic,wrap,10.24
1,4,stochastic,wrap,10.11
1,5,stochastic,wrap,9.87
1,6,stochastic,wrap,9.99
1,7,stochastic,wrap,10.0
1,8,stochastic,wrap,10.06
2,0,stochastic,wrap,9.9
2,1,stochastic,wrap,9.35
2,2,stochastic,wrap,8.88
2,3,stochastic,wrap,9.21
2,4,stochastic,wrap,9.29
2,5,stochastic,wrap,8.72
2,6,stochastic,wrap,8.91
2,7,stochastic,wrap,9.82
2,8,stochastic,wrap,9.55
3,0,stochastic,wrap,6.23
3,1,stochastic,wrap,5.34
3,2,stochastic,wrap,4.97
3,3,stochastic,wrap,5.23
3,4,stochastic,wrap,5.05
3,5,stochastic,wrap,6.47
3,6,stochastic,wrap,5.3
3,7,stochastic,wrap,5.14
3,8,stochastic,wrap,4.61
4,0,stochastic,wrap,8.46
4,1,stochastic,wrap,6.08
4,2,stochastic,wrap,7.44
4,3,stochastic,wrap,7.24
4,4,stochastic,wrap,7.84
4,5,stochastic,wrap,7.04
4,6,stochastic,wrap,8.03
4,7,stochastic,wrap,7.1
4,8,stochastic,wrap,7.88
5,0,stochastic,wrap,10.81
5,1,stochastic,wrap,9.7
5,2,stochastic,wrap,9.0
5,3,stochastic,wrap,10.84
5,4,stochastic,wrap,9.86
5,5,stochastic,wrap,9.94
5,6,stochastic,wrap,13.43
5,7,stochastic,wrap,9.85
5,8,stochastic,wrap,9.46
