m,n,rounding,overflow,acc
0,0,floor,saturate,9.8
0,1,floor,saturate,9.8
0,2,floor,saturate,9.83
0,3,floor,saturate,9.68
0,4,floor,saturate,9.72
0,5,floor,saturate,9.56
0,6,floor,saturate,9.75
0,7,floor,saturate,9.71
0,8,floor,saturate,9.76
1,0,floor,saturate,9.8
1,1,floor,saturate,9.8
1,2,floor,saturate,9.84
1,3,floor,saturate,9.59
1,4,floor,saturate,9.54
1,5,floor,saturate,9.67
1,6,floor,saturate,9.82
1,7,floor,saturate,9.54
1,8,floor,saturate,9.8
2,0,floor,saturate,9.8
2,1,floor,saturate,9.8
2,2,floor,saturate,9.84
2,3,floor,saturate,9.62
2,4,floor,saturate,9.66
2,5,floor,saturate,9.59
2,6,floor,saturate,9.59
2,7,floor,saturate,9.76
2,8,floor,saturate,9.76
3,0,floor,saturate,9.8
3,1,floor,saturate,9.8
3,2,floor,saturate,9.84
3,3,floor,saturate,9.61
3,4,floor,saturate,9.76
3,5,floor,saturate,9.67
3,6,floor,saturate,9.63
3,7,floor,saturate,9.56
3,8,floor,saturate,9.81
4,0,floor,saturate,9.8
4,1,floor,saturate,9.8
4,2,floor,saturate,9.85
4,3,floor,saturate,9.57
4,4,floor,saturate,9.62
4,5,floor,saturate,9.63
4,6,floor,saturate,9.76
4,7,floor,saturate,9.59
4,8,floor,saturate,9.73
5,0,floor,saturate,9.8
5,1,floor,saturate,9.8
5,2,floor,saturate,9.83
5,3,floor,saturate,9.66
5,4,floor,saturate,9.74
5,5,floor,saturate,9.72
5,6,floor,saturate,9.71
5,7,floor,saturate,9.83
5,8,floor,saturate,9.61
