m,n,rounding,overflow,acc
0,0,floor,wrap,9.8
0,1,floor,wrap,9.8
0,2,floor,wrap,10.57
0,3,floor,wrap,10.1
0,4,floor,wrap,9.72
0,5,floor,wrap,10.04
0,6,floor,wrap,10.08
0,7,floor,wrap,10.19
0,8,floor,wrap,10.13
1,0,floor,wrap,10.06
1,1,floor,wrap,10.0
1,2,floor,wrap,10.13
1,3,floor,wrap,9.77
1,4,floor,wrap,10.09
1,5,floor,wrap,10.11
1,6,floor,wrap,10.56
1,7,floor,wrap,9.85
1,8,floor,wrap,10.04
2,0,floor,wrap,9.57
2,1,floor,wrap,9.98
2,2,floor,wrap,8.3
2,3,floor,wrap,8.5
2,4,floor,wrap,8.93
2,5,floor,wrap,8.15
2,6,floor,wrap,8.32
2,7,floor,wrap,8.5
2,8,floor,wrap,8.2
3,0,floor,wrap,6.57
3,1,floor,wrap,6.71
3,2,floor,wrap,8.46
3,3,floor,wrap,8.73
3,4,floor,wrap,8.69
3,5,floor,wrap,9.24
3,6,floor,wrap,9.21
3,7,floor,wrap,9.18
3,8,floor,wrap,9.26
4,0,floor,wrap,9.74
4,1,floor,wrap,9.74
4,2,floor,wrap,8.29
4,3,floor,wrap,7.14
4,4,floor,wrap,6.67
4,5,floor,wrap,7.06
4,6,floor,wrap,6.95
4,7,floor,wrap,7.06
4,8,floor,wrap,6.92
5,0,floor,wrap,9.8
5,1,floor,wrap,9.8
5,2,floor,wrap,9.8
5,3,floor,wrap,9.54
5,4,floor,wrap,9.48
5,5,floor,wrap,9.22
5,6,floor,wrap,9.18
5,7,floor,wrap,9.33
5,8,floor,wrap,9.11
