m,n,rounding,overflow,acc
0,0,nearest,saturate,9.8
0,1,nearest,saturate,9.8
0,2,nearest,saturate,98.05
0,3,nearest,saturate,97.89
0,4,nearest,saturate,97.95
0,5,nearest,saturate,97.96
0,6,nearest,saturate,98.03
0,7,nearest,saturate,97.97
0,8,nearest,saturate,97.92
1,0,nearest,saturate,97.8
1,1,nearest,saturate,97.65
1,2,nearest,saturate,97.94
1,3,nearest,saturate,97.9
1,4,nearest,saturate,97.99
1,5,nearest,saturate,98.01
1,6,nearest,saturate,98.05
1,7,nearest,saturate,97.99
1,8,nearest,saturate,97.94
2,0,nearest,saturate,97.93
2,1,nearest,saturate,97.82
2,2,nearest,saturate,97.87
2,3,nearest,saturate,97.96
2,4,nearest,saturate,97.88
2,5,nearest,saturate,97.87
2,6,nearest,saturate,98.0
2,7,nearest,saturate,97.95
2,8,nearest,saturate,97.91
3,0,nearest,saturate,97.91
3,1,nearest,saturate,97.62
3,2,nearest,saturate,97.86
3,3,nearest,saturate,97.94
3,4,nearest,saturate,98.0
3,5,nearest,saturate,98.04
3,6,nearest,saturate,98.08
3,7,nearest,saturate,97.97
3,8,nearest,saturate,98.03
4,0,nearest,saturate,97.94
4,1,nearest,saturate,97.71
4,2,nearest,saturate,97.94
4,3,nearest,saturate,97.89
4,4,nearest,saturate,97.94
4,5,nearest,saturate,97.97
4,6,nearest,saturate,97.96
4,7,nearest,saturate,97.97
4,8,nearest,saturate,97.92
5,0,nearest,saturate,97.89
5,1,nearest,saturate,97.65
5,2,nearest,saturate,97.8
5,3,nearest,saturate,97.98
5,4,nearest,saturate,97.93
5,5,nearest,saturate,97.93
5,6,nearest,saturate,98.0
5,7,nearest,saturate,97.94
5,8,nearest,saturate,98.01
