m,n,rounding,overflow,acc
0,0,floor,wrap,9.8
0,1,floor,wrap,9.8
0,2,floor,wrap,9.83
0,3,floor,wrap,10.36
0,4,floor,wrap,9.99
0,5,floor,wrap,10.4
0,6,floor,wrap,10.05
0,7,floor,wrap,10.03
0,8,floor,wrap,10.59
1,0,floor,wrap,10.55
1,1,floor,wrap,10.37
1,2,floor,wrap,9.99
1,3,floor,wrap,10.07
1,4,floor,wrap,10.08
1,5,floor,wrap,10.19
1,6,floor,wrap,9.45
1,7,floor,wrap,9.41
1,8,floor,wrap,10.33
2,0,floor,wrap,12.73
2,1,floor,wrap,12.7
2,2,floor,wrap,11.53
2,3,floor,wrap,11.14
2,4,floor,wrap,10.85
2,5,floor,wrap,10.43
2,6,floor,wrap,10.82
2,7,floor,wrap,10.15
2,8,floor,wrap,10.32
3,0,floor,wrap,3.65
3,1,floor,wrap,3.94
3,2,floor,wrap,4.32
3,3,floor,wrap,4.37
3,4,floor,wrap,4.41
3,5,floor,wrap,4.73
3,6,floor,wrap,4.53
3,7,floor,wrap,4.84
3,8,floor,wrap,4.84
4,0,floor,wrap,6.33
4,1,floor,wrap,6.35
4,2,floor,wrap,7.26
4,3,floor,wrap,8.15
4,4,floor,wrap,8.46
4,5,floor,wrap,8.99
4,6,floor,wrap,9.28
4,7,floor,wrap,9.09
4,8,floor,wrap,9.49
5,0,floor,wrap,9.48
5,1,floor,wrap,9.49
5,2,floor,wrap,9.35
5,3,floor,wrap,9.29
5,4,floor,wrap,9.31
5,5,floor,wrap,9.03
5,6,floor,wrap,9.03
5,7,floor,wrap,9.0
5,8,floor,wrap,8.92
